question_id,subject,class,chapter_number,chapter_title,medium,difficulty,answer_type,marks,text,options,key_answer,exam_type,year,group_heading,chapter_id,standard,found_in_pdf,match_score,pdf_source,pdf_section
698c2209ec065fd7420d7527,english,5,11.0,POEM: Results And Roses,English,Average,fill_in_the_blank,1.0,Once there lived a ________ businessman.,[],,LBA,2025-26,Fill in the Blanks,67449bf6065a2c5cd2dcbc5f,5,False,40.0,english_5.pdf,UNIT 6: RESULTS AND ROSES
698c2209ec065fd7420d7528,english,5,11.0,POEM: Results And Roses,English,Average,fill_in_the_blank,1.0,The businessman had a ________ son.,[],,LBA,2025-26,Fill in the Blanks,67449bf6065a2c5cd2dcbc5f,5,False,40.0,english_5.pdf,UNIT 6: RESULTS AND ROSES
698c2209ec065fd7420d7529,english,5,11.0,POEM: Results And Roses,English,Average,fill_in_the_blank,1.0,The father wanted his son to realise the value of ________,[],,LBA,2025-26,Fill in the Blanks,67449bf6065a2c5cd2dcbc5f,5,False,43.103448275862064,english_5.pdf,UNIT 6: RESULTS AND ROSES
698c2209ec065fd7420d752a,english,5,11.0,POEM: Results And Roses,English,Average,fill_in_the_blank,1.0,The boy first went to his ________ for help.,[],,LBA,2025-26,Fill in the Blanks,67449bf6065a2c5cd2dcbc5f,5,False,45.45454545454546,english_5.pdf,UNIT 6: RESULTS AND ROSES
698c2209ec065fd7420d752b,english,5,11.0,POEM: Results And Roses,English,Average,fill_in_the_blank,1.0,His mother gave him a ________ coin.,[],,LBA,2025-26,Fill in the Blanks,67449bf6065a2c5cd2dcbc5f,5,False,38.888888888888886,english_5.pdf,UNIT 6: RESULTS AND ROSES
698c2209ec065fd7420d752c,english,5,11.0,POEM: Results And Roses,English,Average,fill_in_the_blank,1.0,The father asked the son to ________ the coin into the well.,[],,LBA,2025-26,Fill in the Blanks,67449bf6065a2c5cd2dcbc5f,5,False,44.99999999999999,english_5.pdf,UNIT 6: RESULTS AND ROSES
698c2209ec065fd7420d752d,english,5,11.0,POEM: Results And Roses,English,Average,fill_in_the_blank,1.0,"The next day, the boy received a rupee coin from his ________",[],,LBA,2025-26,Fill in the Blanks,67449bf6065a2c5cd2dcbc5f,5,False,43.47826086956522,english_5.pdf,UNIT 6: RESULTS AND ROSES
698c2209ec065fd7420d752e,english,5,11.0,POEM: Results And Roses,English,Average,fill_in_the_blank,1.0,"Finally, the boy earned two rupees by carrying a ________",[],,LBA,2025-26,Fill in the Blanks,67449bf6065a2c5cd2dcbc5f,5,False,43.75,english_5.pdf,UNIT 6: RESULTS AND ROSES
698c2209ec065fd7420d752f,english,5,11.0,POEM: Results And Roses,English,Average,fill_in_the_blank,1.0,"When told to throw his hard-earned money into the well, the boy ________",[],,LBA,2025-26,Fill in the Blanks,67449bf6065a2c5cd2dcbc5f,5,False,41.666666666666664,english_5.pdf,UNIT 6: RESULTS AND ROSES
698c2209ec065fd7420d7530,english,5,11.0,POEM: Results And Roses,English,Average,fill_in_the_blank,1.0,The father was happy because the son had realised the value of ________,[],,LBA,2025-26,Fill in the Blanks,67449bf6065a2c5cd2dcbc5f,5,False,43.28358208955224,english_5.pdf,UNIT 6: RESULTS AND ROSES
698c2209ec065fd7420d7531,english,5,11.0,POEM: Results And Roses,English,Average,match_the_following,1.0,Father,[],,LBA,2025-26,Match the Following,67449bf6065a2c5cd2dcbc5f,5,True,66.66666666666667,english_5.pdf,UNIT 6: RESULTS AND ROSES
