question_id,subject,class,chapter_number,chapter_title,medium,difficulty,answer_type,marks,text,options,key_answer,exam_type,year,group_heading,chapter_id,standard,found_in_pdf,match_score,pdf_source,pdf_section
698c22e4ec065fd7420d7ab6,english,7,15.0,PROSE: WEALTH AND VALUES,English,Easy,mcq,1.0,Balaji lived in palatial house. The word palatial means,"[""small"", ""neat"", ""like a palace"", ""peaceful""]",,LBA,2025-26,Multiple Choice Questions,67449bf5065a2c5cd2dcb758,7,False,41.12149532710281,english_7.pdf,UNIT-8: WEALTH AND VALUES
698c22e4ec065fd7420d7ab7,english,7,15.0,PROSE: WEALTH AND VALUES,English,Easy,mcq,1.0,Rahul has come back. - one word for ‘come back’ is,"[""reply"", ""return"", ""trigger"", ""rest""]",,LBA,2025-26,Multiple Choice Questions,67449bf5065a2c5cd2dcb758,7,False,43.75,english_7.pdf,UNIT-8: WEALTH AND VALUES
698c22e4ec065fd7420d7ab8,english,7,15.0,PROSE: WEALTH AND VALUES,English,Easy,mcq,1.0,“In ________ there is happiness and peace”.,"[""ignorance"", ""stupidity"", ""forgiveness"", ""jealousy""]",,LBA,2025-26,Multiple Choice Questions,67449bf5065a2c5cd2dcb758,7,False,42.42424242424242,english_7.pdf,UNIT-8: WEALTH AND VALUES
698c22e4ec065fd7420d7ab9,english,7,15.0,PROSE: WEALTH AND VALUES,English,Easy,mcq,1.0,Rahul spends money ________ and leads luxurious life.,"[""lavishly"", ""reasonably"", ""modestly"", ""miserly""]",,LBA,2025-26,Multiple Choice Questions,67449bf5065a2c5cd2dcb758,7,False,34.78260869565217,english_7.pdf,UNIT-8: WEALTH AND VALUES
698c22e4ec065fd7420d7aba,english,7,15.0,PROSE: WEALTH AND VALUES,English,Easy,mcq,1.0,"“I realized my mistake, forgive my foolish behaviour”-the above sentence was uttered by","[""Gagan"", ""Rahul"", ""father"", ""friends""]",,LBA,2025-26,Multiple Choice Questions,67449bf5065a2c5cd2dcb758,7,False,42.201834862385326,english_7.pdf,UNIT-8: WEALTH AND VALUES
698c22e4ec065fd7420d7abb,english,7,15.0,PROSE: WEALTH AND VALUES,English,Average,fill_in_the_blank,2.0,How was Rahul and Gagan different from each other?,[],,LBA,2025-26,Answer in Two or More Sentences,67449bf5065a2c5cd2dcb758,7,False,37.89473684210526,english_7.pdf,UNIT-8: WEALTH AND VALUES
698c22e4ec065fd7420d7abc,english,7,15.0,PROSE: WEALTH AND VALUES,English,Average,fill_in_the_blank,2.0,How did Rahul wish to spend his share?,[],,LBA,2025-26,Answer in Two or More Sentences,67449bf5065a2c5cd2dcb758,7,False,34.78260869565217,english_7.pdf,UNIT-8: WEALTH AND VALUES
698c22e4ec065fd7420d7abd,english,7,15.0,PROSE: WEALTH AND VALUES,English,Average,fill_in_the_blank,2.0,What was Gagan’s reaction after his father explained the situation?,[],,LBA,2025-26,Answer in Two or More Sentences,67449bf5065a2c5cd2dcb758,7,False,36.36363636363637,english_7.pdf,UNIT-8: WEALTH AND VALUES
698c22e4ec065fd7420d7abe,english,7,15.0,PROSE: WEALTH AND VALUES,English,Average,fill_in_the_blank,2.0,Write a note on Rahul’s condition after he spent all his money.,[],,LBA,2025-26,Answer in Two or More Sentences,67449bf5065a2c5cd2dcb758,7,False,38.33333333333333,english_7.pdf,UNIT-8: WEALTH AND VALUES
698c22e4ec065fd7420d7abf,english,7,15.0,PROSE: WEALTH AND VALUES,English,Average,fill_in_the_blank,2.0,Did Rahul’s friends help him when he was in need of money?,[],,LBA,2025-26,Answer in Two or More Sentences,67449bf5065a2c5cd2dcb758,7,False,33.333333333333336,english_7.pdf,UNIT-8: WEALTH AND VALUES
