question_id,subject,class,chapter_number,chapter_title,medium,difficulty,answer_type,marks,text,options,key_answer,exam_type,year,group_heading,chapter_id,standard,found_in_pdf,match_score,pdf_source,pdf_section
698c22f5ec065fd7420d832e,english,9,13.0,PROSE: The Will of Sacrifice,English,Average,fill_in_the_blank,1.0,"Choose a correct phrasal verb.
A) The bombs did not hurt anyone, but they were meant to ________ (wake up/wake/woke) the nation.
B) He was the only person ------------- (Waiting for/waited for) the day of death.
C) He was -------------- (longing for/longing to) the better change.
D) The revolutionaries used violence to ________ (throw of/ throw off )the foreign rule.",[],,LBA,2025-26,Read and Answer,67449bf5065a2c5cd2dcb71e,9,False,44.17344173441734,english_9.pdf,Will Of Sacrifice
698c22f5ec065fd7420d832f,english,9,13.0,PROSE: The Will of Sacrifice,English,Average,fill_in_the_blank,1.0,"Choose a correct phrasal verb.
A) The bombs did not hurt anyone, but they were meant to ________ (wake up/wake/woke) the nation.
B) He was the only person ------------- (Waiting for/waited for) the day of death.
C) He was -------------- (longing for/longing to) the better change.
D) The revolutionaries used violence to ________ (throw of/ throw off )the foreign rule.",[],,LBA,2025-26,Read and Answer,67449bf5065a2c5cd2dcb71e,9,False,44.17344173441734,english_9.pdf,Will Of Sacrifice
698c22f5ec065fd7420d8330,english,9,13.0,PROSE: The Will of Sacrifice,English,Average,fill_in_the_blank,1.0,"Choose a correct phrasal verb.
A) The bombs did not hurt anyone, but they were meant to ________ (wake up/wake/woke) the nation.
B) He was the only person ------------- (Waiting for/waited for) the day of death.
C) He was -------------- (longing for/longing to) the better change.
D) The revolutionaries used violence to ________ (throw of/ throw off )the foreign rule.",[],,LBA,2025-26,Read and Answer,67449bf5065a2c5cd2dcb71e,9,False,44.17344173441734,english_9.pdf,Will Of Sacrifice
698c22f5ec065fd7420d8331,english,9,13.0,PROSE: The Will of Sacrifice,English,Average,fill_in_the_blank,1.0,"Choose a correct phrasal verb.
A) The bombs did not hurt anyone, but they were meant to ________ (wake up/wake/woke) the nation.
B) He was the only person ------------- (Waiting for/waited for) the day of death.
C) He was -------------- (longing for/longing to) the better change.
D) The revolutionaries used violence to ________ (throw of/ throw off )the foreign rule.",[],,LBA,2025-26,Read and Answer,67449bf5065a2c5cd2dcb71e,9,False,44.17344173441734,english_9.pdf,Will Of Sacrifice
698c22f5ec065fd7420d8332,english,9,13.0,PROSE: The Will of Sacrifice,English,Average,fill_in_the_blank,1.0,"Choose the  right answer for the following.
A) He chose to die for a cause rather than ________ (live/living/lived) a long life without purpose.
B) His courage and clarity of thought were ________ (admire/admirable/admirably).
C) He wrote several ________ (power/powerful/powerfully) letters from prison.
D) His sacrifice was not in ________ (vain/vein/vane).
e.  ________ (Despite/In spite/Although) being young, he had mature political ideas.
f. He believed that the pen was mightier than the ________ (sword/sward/word).
g. Many people regard him as a ________ (nation/national/nationalist) hero.",[],,LBA,2025-26,Read and Answer,67449bf5065a2c5cd2dcb71e,9,False,41.04347826086957,english_9.pdf,Will Of Sacrifice
698c22f5ec065fd7420d8333,english,9,13.0,PROSE: The Will of Sacrifice,English,Average,fill_in_the_blank,1.0,"Choose the  right answer for the following.
A) He chose to die for a cause rather than ________ (live/living/lived) a long life without purpose.
B) His courage and clarity of thought were ________ (admire/admirable/admirably).
C) He wrote several ________ (power/powerful/powerfully) letters from prison.
D) His sacrifice was not in ________ (vain/vein/vane).
e.  ________ (Despite/In spite/Although) being young, he had mature political ideas.
f. He believed that the pen was mightier than the ________ (sword/sward/word).
g. Many people regard him as a ________ (nation/national/nationalist) hero.",[],,LBA,2025-26,Read and Answer,67449bf5065a2c5cd2dcb71e,9,False,41.04347826086957,english_9.pdf,Will Of Sacrifice
698c22f5ec065fd7420d8334,english,9,13.0,PROSE: The Will of Sacrifice,English,Average,fill_in_the_blank,1.0,"Choose the  right answer for the following.
A) He chose to die for a cause rather than ________ (live/living/lived) a long life without purpose.
B) His courage and clarity of thought were ________ (admire/admirable/admirably).
C) He wrote several ________ (power/powerful/powerfully) letters from prison.
D) His sacrifice was not in ________ (vain/vein/vane).
e.  ________ (Despite/In spite/Although) being young, he had mature political ideas.
f. He believed that the pen was mightier than the ________ (sword/sward/word).
g. Many people regard him as a ________ (nation/national/nationalist) hero.",[],,LBA,2025-26,Read and Answer,67449bf5065a2c5cd2dcb71e,9,False,41.04347826086957,english_9.pdf,Will Of Sacrifice
698c22f5ec065fd7420d8335,english,9,13.0,PROSE: The Will of Sacrifice,English,Average,fill_in_the_blank,1.0,"Choose the  right answer for the following.
A) He chose to die for a cause rather than ________ (live/living/lived) a long life without purpose.
B) His courage and clarity of thought were ________ (admire/admirable/admirably).
C) He wrote several ________ (power/powerful/powerfully) letters from prison.
D) His sacrifice was not in ________ (vain/vein/vane).
e.  ________ (Despite/In spite/Although) being young, he had mature political ideas.
f. He believed that the pen was mightier than the ________ (sword/sward/word).
g. Many people regard him as a ________ (nation/national/nationalist) hero.",[],,LBA,2025-26,Read and Answer,67449bf5065a2c5cd2dcb71e,9,False,41.04347826086957,english_9.pdf,Will Of Sacrifice
698c22f5ec065fd7420d8336,english,9,13.0,PROSE: The Will of Sacrifice,English,Average,fill_in_the_blank,1.0,Change the following into passive voice,[],,LBA,2025-26,Read and Answer,67449bf5065a2c5cd2dcb71e,9,True,61.53846153846154,english_9.pdf,Will Of Sacrifice
698c22f5ec065fd7420d8337,english,9,13.0,PROSE: The Will of Sacrifice,English,Average,fill_in_the_blank,1.0,Change the following into passive voice,[],,LBA,2025-26,Read and Answer,67449bf5065a2c5cd2dcb71e,9,True,61.53846153846154,english_9.pdf,Will Of Sacrifice
