question_id,subject,class,chapter_number,chapter_title,medium,difficulty,answer_type,marks,text,options,key_answer,exam_type,year,group_heading,chapter_id,standard,found_in_pdf,match_score,pdf_source,pdf_section
6982fed297c92115623a57a8,social science,7,10.0,INDIA AND NEIGHBOURING COUNTRIES,english,Average,mcq,1.0,"The  Shimla Agreement held in.       
A 1970                               B. 1971 
C. 1972                              D. 1973",[],To be provided,LBA,2025-26,Multiple Choice Questions,67caa8c59f0501ae9196c50f,7,False,30.000000000000004,social_science_7.pdf,And
6982fed297c92115623a57ab,social science,7,10.0,INDIA AND NEIGHBOURING COUNTRIES,english,Average,mcq,1.0,"The year SAARC was established:       
A. 1982                                  B. 1988 
C. 1983                                  D. 1985",[],To be provided,LBA,2025-26,Multiple Choice Questions,67caa8c59f0501ae9196c50f,7,False,31.746031746031743,social_science_7.pdf,And
6982fed297c92115623a57ac,social science,7,10.0,INDIA AND NEIGHBOURING COUNTRIES,english,Average,mcq,1.0,"The nation which doesn’t hold SAARC membership:       
A. Chinese                 B. India 
C. Nepal                    D. Srilanka",[],To be provided,LBA,2025-26,Multiple Choice Questions,67caa8c59f0501ae9196c50f,7,False,37.5,social_science_7.pdf,And
6982fed297c92115623a57ae,social science,7,10.0,INDIA AND NEIGHBOURING COUNTRIES,english,Average,mcq,1.0,The Tibetan monk is ______,[],To be provided,LBA,2025-26,Multiple Choice Questions,67caa8c59f0501ae9196c50f,7,False,38.46153846153846,social_science_7.pdf,And
6982fed297c92115623a57b3,social science,7,10.0,INDIA AND NEIGHBOURING COUNTRIES,english,Average,mcq,1.0,Please state the neighboring countries of India.,[],To be provided,LBA,2025-26,Multiple Choice Questions,67caa8c59f0501ae9196c50f,7,False,42.553191489361694,social_science_7.pdf,And
6982fed297c92115623a57aa,social science,7,10.0,INDIA AND NEIGHBOURING COUNTRIES,english,Average,mcq,1.0,"Tibetans who came to India in despair due to Chinese aggression established their settlements in 
these places in Karnataka.       
A. Mysore and Belur                       B. Mundagod and Karwar 
C. Mundagod and Bailukupped.     D.Mysore and Mangalore",[],To be provided,LBA,2025-26,Multiple Choice Questions,67caa8c59f0501ae9196c50f,7,False,47.36842105263158,social_science_7.pdf,And
6982fed297c92115623a57ad,social science,7,10.0,INDIA AND NEIGHBOURING COUNTRIES,english,Average,mcq,1.0,"The Island country that is insouthern part of India:       
A. Japan                       B. Bhutan 
C. Myanmar                  D. Srilanka",[],To be provided,LBA,2025-26,Multiple Choice Questions,67caa8c59f0501ae9196c50f,7,False,44.15584415584416,social_science_7.pdf,And
6982fed297c92115623a57b0,social science,7,10.0,INDIA AND NEIGHBOURING COUNTRIES,english,Average,mcq,1.0,The year of the Panchashil defeat was also called the year of the _______.,[],To be provided,LBA,2025-26,Multiple Choice Questions,67caa8c59f0501ae9196c50f,7,False,38.02816901408451,social_science_7.pdf,And
6982fed297c92115623a57b6,social science,7,10.0,INDIA AND NEIGHBOURING COUNTRIES,english,Average,mcq,1.0,State the principles of SAARC,[],To be provided,LBA,2025-26,Multiple Choice Questions,67caa8c59f0501ae9196c50f,7,False,47.27272727272728,social_science_7.pdf,And
6982fed297c92115623a57a6,social science,7,10.0,INDIA AND NEIGHBOURING COUNTRIES,english,Average,mcq,1.0,"Which part of the Asia continent is India located in       
A. Eastern part                            B. Northern part 
C. Western part                           D. Southern part",[],To be provided,LBA,2025-26,Multiple Choice Questions,67caa8c59f0501ae9196c50f,7,False,42.85714285714286,social_science_7.pdf,And
