question_id,subject,class,chapter_number,chapter_title,medium,difficulty,answer_type,marks,text,options,key_answer,exam_type,year,group_heading,chapter_id,standard,found_in_pdf,match_score,pdf_source,pdf_section
6982fed297c92115623a564d,social science,7,1.0,SOCIAL AND RELIGIOUS REFORMS,english,Average,mcq,1.0,In this year was the Atmiya Sabha (Friendly Society) established.,"[""1819"", ""1816"", ""1814"", ""1828""]",To be provided,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca709,7,False,39.682539682539684,social_science_7.pdf,And
6982fed297c92115623a564e,social science,7,1.0,SOCIAL AND RELIGIOUS REFORMS,english,Average,mcq,1.0,The British Governor-General declared the practice of Sati illegal.,"[""William Bentinck"", ""Dalhousie"", ""Lord Macaulay"", ""Lord Wellesley""]",To be provided,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca709,7,False,38.80597014925373,social_science_7.pdf,And
6982fed297c92115623a5651,social science,7,1.0,SOCIAL AND RELIGIOUS REFORMS,english,Average,mcq,1.0,Swami Vivekananda : Narendranath :: Dayananda Saraswati :,"[""Mul Shankar"", ""Dayananda"", ""Prakashan"", ""Keshav Dixit""]",To be provided,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca709,7,False,42.10526315789473,social_science_7.pdf,And
6982fed297c92115623a5653,social science,7,1.0,SOCIAL AND RELIGIOUS REFORMS,english,Average,mcq,1.0,"Swami Vivekananda, who introduced Indian Vedanta to the world, was born on","[""October 2, 1863"", ""November 12, 1863"", ""September 12, 1863"", ""January 12, 1863""]",To be provided,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca709,7,False,39.455782312925166,social_science_7.pdf,And
6982fed297c92115623a5654,social science,7,1.0,SOCIAL AND RELIGIOUS REFORMS,english,Average,mcq,1.0,The  president of the Theosophical Society established in India.,"[""H. S. Olcott"", ""Madam H. P. Blavatsky"", ""Dr. Annie Besant"", ""None of the above""]",To be provided,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca709,7,False,40.36697247706422,social_science_7.pdf,And
6982fed297c92115623a5657,social science,7,1.0,SOCIAL AND RELIGIOUS REFORMS,english,Average,mcq,1.0,The book Gulamgiri was written by __________.,[],To be provided,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca709,7,False,37.77777777777778,social_science_7.pdf,And
6982fed297c92115623a565e,social science,7,1.0,SOCIAL AND RELIGIOUS REFORMS,english,Average,mcq,1.0,The newspaper Aligarh Institute Gazette was started by __________.,[],To be provided,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca709,7,False,40.67796610169492,social_science_7.pdf,And
6982fed297c92115623a566b,social science,7,1.0,SOCIAL AND RELIGIOUS REFORMS,english,Average,mcq,1.0,Who was a prominent Christian social reformer in India?,[],To be provided,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca709,7,False,41.584158415841586,social_science_7.pdf,And
6982fed297c92115623a566c,social science,7,1.0,SOCIAL AND RELIGIOUS REFORMS,english,Average,mcq,1.0,Who was the first woman president of the Indian National Congress?,[],To be provided,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca709,7,False,44.24778761061947,social_science_7.pdf,And
6982fed297c92115623a5672,social science,7,1.0,SOCIAL AND RELIGIOUS REFORMS,english,Average,mcq,1.0,Mention the important newspapers started by Dr. Annie Besant.,[],To be provided,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca709,7,False,40.0,social_science_7.pdf,And
