question_id,subject,class,chapter_number,chapter_title,medium,difficulty,answer_type,marks,text,options,key_answer,exam_type,year,group_heading,chapter_id,standard,found_in_pdf,match_score,pdf_source,pdf_section
6982ff0697c92115623a596a,science,7,6.0,Forests: Our Lifeline,english,Average,mcq,1.0,The process happening in this picture:,"[""Balance of oxygen and carbon dioxide"", ""Photosynthesis"", ""Evaporation"", ""Urbanization""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca625,7,True,50.0,science_7.pdf,Liver
6982ff0697c92115623a5970,science,7,6.0,Forests: Our Lifeline,english,Easy,mcq,1.0,The process responsible for oxygen production in forests:,"[""Respiration"", ""Digestion"", ""Stimulation"", ""Photosynthesis""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca625,7,True,50.0,science_7.pdf,Liver
6982ff0697c92115623a5971,science,7,6.0,Forests: Our Lifeline,english,Easy,mcq,1.0,Green snake belongs to this group:,"[""Heterotroph"", ""Decomposer"", ""Carnivore"", ""Autotroph""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca625,7,False,0.0,science_7.pdf,Liver
6982ff0697c92115623a5976,science,7,6.0,Forests: Our Lifeline,english,Easy,fill_in_the_blank,1.0,Forests help to keep _________ under control.,[],Required Answer,LBA,2025-26,Fill in the Blanks,67449b18065a2c5cd2dca625,7,True,66.66666666666667,science_7.pdf,Liver
6982ff0697c92115623a5985,science,7,6.0,Forests: Our Lifeline,english,Average,short_answer,1.0,At what stage are invisible insects found?,[],Required Answer,LBA,2025-26,One Sentence Answers,67449b18065a2c5cd2dca625,7,True,50.0,science_7.pdf,Liver
6982ff0697c92115623a5988,science,7,6.0,Forests: Our Lifeline,english,Average,short_answer,2.0,Write the difference between producers and consumers.,[],Required Answer,LBA,2025-26,Answer in Two Sentences,67449b18065a2c5cd2dca625,7,True,66.66666666666667,science_7.pdf,Liver
6982ff0697c92115623a598c,science,7,6.0,Forests: Our Lifeline,english,Average,short_answer,2.0,Deforestation reduce rainfall.Justify.,[],Required Answer,LBA,2025-26,Answer in Two Sentences,67449b18065a2c5cd2dca625,7,True,66.66666666666667,science_7.pdf,Liver
6982ff0697c92115623a599d,science,7,6.0,Forests: Our Lifeline,english,Difficult,fill_in_the_blank,1.0,"A forest has 10,000 trees. Each tree releases 100 litres of oxygen per year. What is the 
total oxygen production?",[],Required Answer,LBA,2025-26,Short Answers,67449b18065a2c5cd2dca625,7,True,50.0,science_7.pdf,Liver
6982ff0697c92115623a5966,science,7,6.0,Forests: Our Lifeline,english,Average,mcq,1.0,The reason for maintaining the balance of oxygen and carbon dioxide in the,[],Keep it empty for now,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca625,7,True,50.0,science_7.pdf,Liver
6982ff0697c92115623a5968,science,7,6.0,Forests: Our Lifeline,english,Average,mcq,1.0,The reason forests are called green lungs is:,"[""Providing shelter for wildlife"", ""Not providing oxygen to the atmosphere"", ""Releasing carbon dioxide into the atmosphere"", ""Maintaining the balance of oxygen and carbon dioxide in the \natmosphere.""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca625,7,True,50.0,science_7.pdf,Liver
