question_id,subject,class,chapter_number,chapter_title,medium,difficulty,answer_type,marks,text,options,key_answer,exam_type,year,group_heading,chapter_id,standard,found_in_pdf,match_score,pdf_source,pdf_section
698c2304ec065fd7420d8a41,english,10,15.0,PROSE: Science and Hope of Survival,English,Average,mcq,1.0,"i. Businessmen, lawyers, and doctors enjoy a much higher income, ________","[""didn\u2019t they?"", ""did they ?  (C) do they?"", ""don't they ?\nii. Science is an exciting adventure________"", ""isn't it?""]",,LBA,2025-26,Multiple Choice Questions,67ca912d9f0501ae9196af1f,10,False,45.205479452054796,english_10.pdf,I
698c2304ec065fd7420d8a42,english,10,15.0,PROSE: Science and Hope of Survival,English,Average,mcq,1.0,"i. Suman : You look sad. Why are you worried Tejas?
Tejas: I didn’t get a seat. If I had worked hard, I …… got the seat in the university.","[""would have"", ""wouldn\u2019t have (C)wouldn\u2019t"", ""would\nii. Suma: Hello Sujatha, You're a bit down today.\nSujatha: Yes Suma. We've lost the cricket match by just two runs.\nSuma: If your team had selected one more fast bowler, your team________ won the match"", ""will have""]",,LBA,2025-26,Multiple Choice Questions,67ca912d9f0501ae9196af1f,10,False,48.22695035460993,english_10.pdf,I
698c2304ec065fd7420d8a43,english,10,15.0,PROSE: Science and Hope of Survival,English,Easy,mcq,1.0,"Read the conversation and choose the correct infinitive.

i. Meghana: Hi Arati will you come to the market ? I want to buy vegetables
Arati: Sure. Shall we go by bus?
Meghana : No let’s take an auto","[""let\u2019s take"", ""come to"", ""to buy"", ""go by\nii. Sanjay : Shantha, where are you going now ?\nShantha ; I'm going to the library to read a novel""]",,LBA,2025-26,Multiple Choice Questions,67ca912d9f0501ae9196af1f,10,False,46.93877551020408,english_10.pdf,I
698c2304ec065fd7420d8a44,english,10,15.0,PROSE: Science and Hope of Survival,English,Average,mcq,1.0,"i. Ganesh : It’s cloudy, we can’t play.
Gouri :Yeah,it may rain today.","[""predicting"", ""advising"", ""requesting"", ""possibility\nii. Mahesh: Hi, Good morning. How are you?\nSuresh: I am not feeling well.\nMahesh: Oh, shall I drop you to the hospital ?\nSuresh: That\u2019ll be great""]",,LBA,2025-26,Multiple Choice Questions,67ca912d9f0501ae9196af1f,10,False,45.58823529411765,english_10.pdf,I
698c2304ec065fd7420d8a45,english,10,15.0,PROSE: Science and Hope of Survival,English,Easy,fill_in_the_blank,1.0,"Combine the word in Column-A with its collocative word in Column-B. 
A
B
i. scientific
(attachment, research, summon, energy)
ii. seismic
(ban, call, entry, waves)
iii. commit
(crime, doubt, money, lay)
iv. rapid
(glance, draw, walk, decline)
v. quick
(train, speech, glance, doubt)
vi. speedy
(payment, recovery, progress, action)",[],,LBA,2025-26,One Sentence Answers,67ca912d9f0501ae9196af1f,10,False,41.515151515151516,english_10.pdf,I
698c2304ec065fd7420d8a46,english,10,15.0,PROSE: Science and Hope of Survival,English,Easy,fill_in_the_blank,1.0,"i. Practical, mathematics, reward, scientific
ii. nation, country, school, shoes",[],,LBA,2025-26,Syllable Counting,67ca912d9f0501ae9196af1f,10,False,44.99999999999999,english_10.pdf,I
698c2304ec065fd7420d8a47,english,10,15.0,PROSE: Science and Hope of Survival,English,Average,fill_in_the_blank,1.0,"i. The technical experts ________(be + summon) to solve the problem that arose .
ii. Nobody ________ (be + satisfy ) with his wealth, everybody is satisfied with his wisdom.",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196af1f,10,False,44.50867052023122,english_10.pdf,I
698c2304ec065fd7420d8a48,english,10,15.0,PROSE: Science and Hope of Survival,English,Average,fill_in_the_blank,1.0,"i. In a nuclear war, ________ one who strikes first will be the survivor.
ii. A writer is ________ person who cannot live without writing.",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196af1f,10,False,44.927536231884055,english_10.pdf,I
698c2304ec065fd7420d8a49,english,10,15.0,PROSE: Science and Hope of Survival,English,Average,fill_in_the_blank,1.0,"i. Everyone lived under the fear of annihilation ________ nuclear weapons.
ii. The summons came________ the President of Russia.",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196af1f,10,False,44.53125,english_10.pdf,I
698c2304ec065fd7420d8a4a,english,10,15.0,PROSE: Science and Hope of Survival,English,Average,fill_in_the_blank,1.0,"Fill in the blank using suitable linker.

i. ________ trillions of dollars are spent to contain them by all known techniques.
ii. Science is an existing adventure ________major rewards comes from the discovery.",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196af1f,10,False,44.019138755980855,english_10.pdf,I
698c2304ec065fd7420d8a4b,english,10,15.0,PROSE: Science and Hope of Survival,English,Average,fill_in_the_blank,1.0,"Fill in the blank using the correct word given in bracket.

i. My theoretical knowledge had a great ________ (apply) in the area of survival of the mankind.
ii. The scientists get rewards from their ________ (discover).",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196af1f,10,False,47.247706422018354,english_10.pdf,I
698c2304ec065fd7420d8a4c,english,10,15.0,PROSE: Science and Hope of Survival,English,Average,fill_in_the_blank,1.0,"Identify the parts of speech of the underlined word.

i. If humanly used, science is the indispensable guardian and care taker.
ii. If you are so clever, why are you so poor?",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196af1f,10,False,47.398843930635834,english_10.pdf,I
698c2304ec065fd7420d8a4d,english,10,15.0,PROSE: Science and Hope of Survival,English,Average,fill_in_the_blank,1.0,"i. Use the word ‘show’ as a verb in your own sentence.

ii. Use the word ‘problem’ as a noun in your own sentence.",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196af1f,10,False,49.54128440366973,english_10.pdf,I
698c2304ec065fd7420d8a4e,english,10,15.0,PROSE: Science and Hope of Survival,English,Difficult,fill_in_the_blank,1.0,"Change into passive voice.

i. The basic research can create spring board for developing new disaster preparedness industry.
ii. The resident showed me a letter.",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196af1f,10,False,47.5,english_10.pdf,I
698c2304ec065fd7420d8a4f,english,10,15.0,PROSE: Science and Hope of Survival,English,Average,fill_in_the_blank,1.0,"Change the following sentence into other two degrees.

i. Money is more popular than any other thing in the world.",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196af1f,10,True,55.75221238938053,english_10.pdf,I
698c2304ec065fd7420d8a50,english,10,15.0,PROSE: Science and Hope of Survival,English,Difficult,fill_in_the_blank,1.0,"Read the following conversation and change the underlined sentence into reported speech.

i. Naveen : Hemanth did you meet Akash
Hemanth : Yes, I met him in college yesterday
Hemanth replied that ________
ii. Pavithra: Hello Kusuma, how are you?
Kusuma: Hi, I am not feeling well.
Kusuma told Pavithra ________ .
iii. Chandan: I met Rani last week in Mysore.
Raghu: Oh. Does she look the same?
Chandan: There’s a little bit change in her appearance.
Chandan informed Raghu ________
iv. Arathi: How much is that camera?
Henry: It’s 13500
Arathi: I think this one will be fine.
Arathi told Henry ………………………….",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196af1f,10,False,43.40836012861736,english_10.pdf,I
698c2304ec065fd7420d8a51,english,10,15.0,PROSE: Science and Hope of Survival,English,Average,fill_in_the_blank,1.0,"i) It is common recognised that the very survival of our civilization is threaten by natural and man made
disasters.
Clues: a) Adverb to be corrected
B) Verb form to be corrected
ii. It thaught me never to feel lone abroad.
Clues: a) Adverb to be corrected
B) Spelling mistake to be corrected
iii. A common lore is that immersion in sicence does not goes with practical sense.
Clues: a)spelling mistake to be corrected
B) Verb form to be corrected
iv. He had receive a messages from the Palace of Nations in Geneva.
Clues: a) Verb form to be corrected
B) Noun plural to be corrected
v. Each super power had more than enough nuclear bomb to destroy the others of the strike.
Clues: a) Preposition to be corrected
B) Noun plural to be corrected
IV Answer the following questions in 2-3 sentences each:",[],,LBA,2025-26,Paragraph Writing,67ca912d9f0501ae9196af1f,10,False,45.18147684605756,english_10.pdf,I
698c2304ec065fd7420d8a52,english,10,15.0,PROSE: Science and Hope of Survival,English,Average,fill_in_the_blank,1.0,"Despite low income, why do some people choose to become scientists ?
(2018 April)",[],,LBA,2025-26,Paragraph Writing,67ca912d9f0501ae9196af1f,10,False,44.44444444444444,english_10.pdf,I
698c2304ec065fd7420d8a53,english,10,15.0,PROSE: Science and Hope of Survival,English,Average,fill_in_the_blank,1.0,"“According to Kellis Borok,being a scientist is more exciting than being a doctor or an engineer.” Why?
(2018 June)",[],,LBA,2025-26,Paragraph Writing,67ca912d9f0501ae9196af1f,10,False,46.01769911504425,english_10.pdf,I
698c2304ec065fd7420d8a54,english,10,15.0,PROSE: Science and Hope of Survival,English,Average,fill_in_the_blank,1.0,"According to Kellis Borok “Science is an exciting adventure”. Explain.
(2019 April)",[],,LBA,2025-26,Paragraph Writing,67ca912d9f0501ae9196af1f,10,False,45.67901234567901,english_10.pdf,I
698c2304ec065fd7420d8a55,english,10,15.0,PROSE: Science and Hope of Survival,English,Average,fill_in_the_blank,1.0,Everybody lived under the threat of annihilation. What caused this threat?,[],,LBA,2025-26,Paragraph Writing,67ca912d9f0501ae9196af1f,10,True,52.702702702702695,english_10.pdf,I
698c2304ec065fd7420d8a56,english,10,15.0,PROSE: Science and Hope of Survival,English,Average,fill_in_the_blank,1.0,"Why did the President of Russian Academy of Sciences summon Borok?
OR
Why were the technical experts summoned by the three super powers of the world ? (2019 June, 2020
April,2023 June)
OR
Why did the super powers meet in Geneva?
OR
Why did the UK, USSR and USA meet in Geneva?
(April 2016, June 2015, June 2016)",[],,LBA,2025-26,Paragraph Writing,67ca912d9f0501ae9196af1f,10,False,43.72990353697749,english_10.pdf,I
698c2304ec065fd7420d8a57,english,10,15.0,PROSE: Science and Hope of Survival,English,Average,fill_in_the_blank,1.0,"Name the three nations which possessed nuclear weapons. Who had summoned the writer Kellis Borok
to attend the meeting ?",[],,LBA,2025-26,Paragraph Writing,67ca912d9f0501ae9196af1f,10,True,55.00000000000001,english_10.pdf,I
698c2304ec065fd7420d8a58,english,10,15.0,PROSE: Science and Hope of Survival,English,Average,fill_in_the_blank,1.0,"How, according to Borok, is the survival of civilization, threatened?",[],,LBA,2025-26,Paragraph Writing,67ca912d9f0501ae9196af1f,10,True,50.72463768115942,english_10.pdf,I
698c2304ec065fd7420d8a59,english,10,15.0,PROSE: Science and Hope of Survival,English,Average,fill_in_the_blank,1.0,What did the threat of Mutually Assured destruction imply?,[],,LBA,2025-26,Paragraph Writing,67ca912d9f0501ae9196af1f,10,True,50.0,english_10.pdf,I
