question_id,subject,class,chapter_number,chapter_title,medium,difficulty,answer_type,marks,text,options,key_answer,exam_type,year,group_heading,chapter_id,standard,found_in_pdf,match_score,pdf_source,pdf_section
6982fed297c92115623a575f,social science,7,7.0,PROGRESS IN DIFFERENT FIELDS,english,Average,mcq,1.0,"This is the powerful tool that can deliver news from one corner of the world to another in an 
instant.","[""Advanced transportation system"", ""Internet"", ""Internet system"", ""Newspapers""]",To be provided,LBA,2025-26,Multiple Choice Questions,67caa8c59f0501ae9196c507,7,False,43.47826086956522,social_science_7.pdf,PROGRESS IN DIFFERENT FIELDS
6982fed297c92115623a5764,social science,7,7.0,PROGRESS IN DIFFERENT FIELDS,english,Average,fill_in_the_blank,1.0,Bengaluru is known as the ___ city.,[],To be provided,LBA,2025-26,Fill in the Blanks,67caa8c59f0501ae9196c507,7,False,38.46153846153846,social_science_7.pdf,PROGRESS IN DIFFERENT FIELDS
6982fed297c92115623a576f,social science,7,7.0,PROGRESS IN DIFFERENT FIELDS,english,Average,short_answer,1.0,What are natural resources?,[],To be provided,LBA,2025-26,One Sentence Answers,67caa8c59f0501ae9196c507,7,False,24.0,social_science_7.pdf,PROGRESS IN DIFFERENT FIELDS
6982fed297c92115623a5770,social science,7,7.0,PROGRESS IN DIFFERENT FIELDS,english,Average,short_answer,1.0,What is information technology?,[],To be provided,LBA,2025-26,One Sentence Answers,67caa8c59f0501ae9196c507,7,False,30.76923076923077,social_science_7.pdf,PROGRESS IN DIFFERENT FIELDS
6982fed297c92115623a5777,social science,7,7.0,PROGRESS IN DIFFERENT FIELDS,english,Average,short_answer,2.0,Which sectors have benefited from the use of information technology?,[],To be provided,LBA,2025-26,Answer in Two Sentences,67caa8c59f0501ae9196c507,7,False,38.46153846153846,social_science_7.pdf,PROGRESS IN DIFFERENT FIELDS
6982fed297c92115623a577a,social science,7,7.0,PROGRESS IN DIFFERENT FIELDS,english,Average,fill_in_the_blank,4.0,List the major industries in Karnataka.,[],To be provided,LBA,2025-26,Answer in Six Sentences,67caa8c59f0501ae9196c507,7,False,40.0,social_science_7.pdf,PROGRESS IN DIFFERENT FIELDS
6982fed297c92115623a577c,social science,7,7.0,PROGRESS IN DIFFERENT FIELDS,english,Average,fill_in_the_blank,4.0,How do industries contribute to the development of the community?,[],To be provided,LBA,2025-26,Answer in Six Sentences,67caa8c59f0501ae9196c507,7,False,38.46153846153846,social_science_7.pdf,PROGRESS IN DIFFERENT FIELDS
6982fed297c92115623a575e,social science,7,7.0,PROGRESS IN DIFFERENT FIELDS,english,Average,mcq,1.0,This medium is effective in reaching both literate and illiterate people.,"[""Mobile"", ""Television"", ""Radio"", ""None""]",To be provided,LBA,2025-26,Multiple Choice Questions,67caa8c59f0501ae9196c507,7,False,31.999999999999996,social_science_7.pdf,PROGRESS IN DIFFERENT FIELDS
6982fed297c92115623a5761,social science,7,7.0,PROGRESS IN DIFFERENT FIELDS,english,Average,mcq,1.0,The Biotechnology Centre in Karnataka located in.,"[""Belagavi"", ""Bidar"", ""Mangalore"", ""Karwar \n \n \n9""]",To be provided,LBA,2025-26,Multiple Choice Questions,67caa8c59f0501ae9196c507,7,False,26.66666666666667,social_science_7.pdf,PROGRESS IN DIFFERENT FIELDS
6982fed297c92115623a576d,social science,7,7.0,PROGRESS IN DIFFERENT FIELDS,english,Average,short_answer,1.0,What is soil erosion?,[],To be provided,LBA,2025-26,One Sentence Answers,67caa8c59f0501ae9196c507,7,False,23.076923076923073,social_science_7.pdf,PROGRESS IN DIFFERENT FIELDS
6982fed297c92115623a576e,social science,7,7.0,PROGRESS IN DIFFERENT FIELDS,english,Average,short_answer,1.0,What is industrialization?,[],To be provided,LBA,2025-26,One Sentence Answers,67caa8c59f0501ae9196c507,7,False,30.76923076923077,social_science_7.pdf,PROGRESS IN DIFFERENT FIELDS
6982fed297c92115623a5779,social science,7,7.0,PROGRESS IN DIFFERENT FIELDS,english,Average,short_answer,2.0,"What irrigation projects has the Karnataka government undertaken for the growth of agricultural 
products?",[],To be provided,LBA,2025-26,Answer in Two Sentences,67caa8c59f0501ae9196c507,7,False,30.76923076923077,social_science_7.pdf,PROGRESS IN DIFFERENT FIELDS
6982fed297c92115623a577b,social science,7,7.0,PROGRESS IN DIFFERENT FIELDS,english,Average,fill_in_the_blank,4.0,What are the aspects covered under industrial policy?,[],To be provided,LBA,2025-26,Answer in Six Sentences,67caa8c59f0501ae9196c507,7,False,33.333333333333336,social_science_7.pdf,PROGRESS IN DIFFERENT FIELDS
6982fed297c92115623a575d,social science,7,7.0,PROGRESS IN DIFFERENT FIELDS,english,Average,mcq,1.0,"Postal and telegraph systems were the most widely used means of communication until the end of 
this century.","[""17th"", ""18th"", ""19th"", ""20th""]",To be provided,LBA,2025-26,Multiple Choice Questions,67caa8c59f0501ae9196c507,7,False,38.46153846153846,social_science_7.pdf,PROGRESS IN DIFFERENT FIELDS
6982fed297c92115623a5768,social science,7,7.0,PROGRESS IN DIFFERENT FIELDS,english,Average,fill_in_the_blank,1.0,A ___ program is broadcast on radio and television to provide information to farmers.,[],To be provided,LBA,2025-26,Fill in the Blanks,67caa8c59f0501ae9196c507,7,False,38.46153846153846,social_science_7.pdf,PROGRESS IN DIFFERENT FIELDS
6982fed297c92115623a576a,social science,7,7.0,PROGRESS IN DIFFERENT FIELDS,english,Average,short_answer,1.0,What were the means of communication used in ancient times?,[],To be provided,LBA,2025-26,One Sentence Answers,67caa8c59f0501ae9196c507,7,False,31.999999999999996,social_science_7.pdf,PROGRESS IN DIFFERENT FIELDS
6982fed297c92115623a576b,social science,7,7.0,PROGRESS IN DIFFERENT FIELDS,english,Average,short_answer,1.0,Where are biotechnology parks established?,[],To be provided,LBA,2025-26,One Sentence Answers,67caa8c59f0501ae9196c507,7,False,30.76923076923077,social_science_7.pdf,PROGRESS IN DIFFERENT FIELDS
6982fed297c92115623a576c,social science,7,7.0,PROGRESS IN DIFFERENT FIELDS,english,Average,short_answer,1.0,"What are the giant companies in Bengaluru?       
0",[],To be provided,LBA,2025-26,One Sentence Answers,67caa8c59f0501ae9196c507,7,False,33.333333333333336,social_science_7.pdf,PROGRESS IN DIFFERENT FIELDS
6982fed297c92115623a5771,social science,7,7.0,PROGRESS IN DIFFERENT FIELDS,english,Average,short_answer,1.0,What is biotechnology?,[],To be provided,LBA,2025-26,One Sentence Answers,67caa8c59f0501ae9196c507,7,False,30.76923076923077,social_science_7.pdf,PROGRESS IN DIFFERENT FIELDS
6982fed297c92115623a5775,social science,7,7.0,PROGRESS IN DIFFERENT FIELDS,english,Average,short_answer,2.0,Name the three categories of industries.,[],To be provided,LBA,2025-26,Answer in Two Sentences,67caa8c59f0501ae9196c507,7,False,38.46153846153846,social_science_7.pdf,PROGRESS IN DIFFERENT FIELDS
6982fed297c92115623a5760,social science,7,7.0,PROGRESS IN DIFFERENT FIELDS,english,Average,mcq,1.0,"The  Government of India and the Government of Karnataka jointly launch the Cyber Park 
initiative in.","[""1998"", ""2000"", ""1999"", ""2002""]",To be provided,LBA,2025-26,Multiple Choice Questions,67caa8c59f0501ae9196c507,7,False,46.15384615384615,social_science_7.pdf,PROGRESS IN DIFFERENT FIELDS
6982fed297c92115623a5762,social science,7,7.0,PROGRESS IN DIFFERENT FIELDS,english,Average,mcq,1.0,This percentage of people in Karnataka were engaged in agriculture in 2011.,"[""49"", ""50"", ""45"", ""48""]",To be provided,LBA,2025-26,Multiple Choice Questions,67caa8c59f0501ae9196c507,7,False,38.095238095238095,social_science_7.pdf,PROGRESS IN DIFFERENT FIELDS
6982fed297c92115623a5763,social science,7,7.0,PROGRESS IN DIFFERENT FIELDS,english,Average,mcq,1.0,This percentage of Karnataka's geographical area is covered by forests.,"[""15"", ""19"", ""21"", ""23""]",To be provided,LBA,2025-26,Multiple Choice Questions,67caa8c59f0501ae9196c507,7,False,30.76923076923077,social_science_7.pdf,PROGRESS IN DIFFERENT FIELDS
6982fed297c92115623a5765,social science,7,7.0,PROGRESS IN DIFFERENT FIELDS,english,Average,fill_in_the_blank,1.0,The first newspaper published in Kannada was ___.,[],To be provided,LBA,2025-26,Fill in the Blanks,67caa8c59f0501ae9196c507,7,False,30.76923076923077,social_science_7.pdf,PROGRESS IN DIFFERENT FIELDS
6982fed297c92115623a5766,social science,7,7.0,PROGRESS IN DIFFERENT FIELDS,english,Average,fill_in_the_blank,1.0,The world's first cloned animal is ___.,[],To be provided,LBA,2025-26,Fill in the Blanks,67caa8c59f0501ae9196c507,7,False,30.76923076923077,social_science_7.pdf,PROGRESS IN DIFFERENT FIELDS
6982fed297c92115623a5767,social science,7,7.0,PROGRESS IN DIFFERENT FIELDS,english,Average,fill_in_the_blank,1.0,Most families in India depend on ___ for their livelihood.,[],To be provided,LBA,2025-26,Fill in the Blanks,67caa8c59f0501ae9196c507,7,False,38.46153846153846,social_science_7.pdf,PROGRESS IN DIFFERENT FIELDS
6982fed297c92115623a5769,social science,7,7.0,PROGRESS IN DIFFERENT FIELDS,english,Average,short_answer,1.0,What is communication system?,[],To be provided,LBA,2025-26,One Sentence Answers,67caa8c59f0501ae9196c507,7,False,25.0,social_science_7.pdf,PROGRESS IN DIFFERENT FIELDS
6982fed297c92115623a5772,social science,7,7.0,PROGRESS IN DIFFERENT FIELDS,english,Average,short_answer,2.0,What are the three major groups of mass media?,[],To be provided,LBA,2025-26,Answer in Two Sentences,67caa8c59f0501ae9196c507,7,False,38.46153846153846,social_science_7.pdf,PROGRESS IN DIFFERENT FIELDS
6982fed297c92115623a5773,social science,7,7.0,PROGRESS IN DIFFERENT FIELDS,english,Average,short_answer,2.0,Analyze the role of mass media in the development of a country.,[],To be provided,LBA,2025-26,Answer in Two Sentences,67caa8c59f0501ae9196c507,7,False,38.46153846153846,social_science_7.pdf,PROGRESS IN DIFFERENT FIELDS
6982fed297c92115623a5774,social science,7,7.0,PROGRESS IN DIFFERENT FIELDS,english,Average,short_answer,2.0,What steps has the Karnataka government taken for agricultural development?,[],To be provided,LBA,2025-26,Answer in Two Sentences,67caa8c59f0501ae9196c507,7,False,38.46153846153846,social_science_7.pdf,PROGRESS IN DIFFERENT FIELDS
