question_id,subject,class,chapter_number,chapter_title,medium,difficulty,answer_type,marks,text,options,key_answer,exam_type,year,group_heading,chapter_id,standard,found_in_pdf,match_score,pdf_source,pdf_section
6982fed297c92115623a57b7,social science,7,11.0,UNITED NATIONS ORGANIZATION (U.N.O.),english,Average,mcq,1.0,"The year the United Nations was established       
A. November 24, 1945 
B. October  24, 1945 
C. April 24, 1945 
D. March 24, 1945",[],To be provided,LBA,2025-26,Multiple Choice Questions,67caa8c59f0501ae9196c513,7,True,56.64739884393064,social_science_7.pdf,UNITED NATIONS ORGANIZATION (U.N.O)
6982fed297c92115623a57b9,social science,7,11.0,UNITED NATIONS ORGANIZATION (U.N.O.),english,Average,mcq,1.0,"It is responsible for maintaining peace and security in the world.       
A. Economic Council 
B. General Assembly 
C. Security Council 
D. Trusteeship Council",[],To be provided,LBA,2025-26,Multiple Choice Questions,67caa8c59f0501ae9196c513,7,False,40.476190476190474,social_science_7.pdf,UNITED NATIONS ORGANIZATION (U.N.O)
6982fed297c92115623a57bb,social science,7,11.0,UNITED NATIONS ORGANIZATION (U.N.O.),english,Average,mcq,1.0,"The trusteeship council was formed to oversee these areas.       
A. controversial 
B. not independent 
C. independent 
D. global",[],To be provided,LBA,2025-26,Multiple Choice Questions,67caa8c59f0501ae9196c513,7,False,43.69747899159664,social_science_7.pdf,UNITED NATIONS ORGANIZATION (U.N.O)
6982fed297c92115623a57c0,social science,7,11.0,UNITED NATIONS ORGANIZATION (U.N.O.),english,Average,mcq,1.0,"The year the United Nations declared human rights.       
A. December 10, 1949 
B. November10, 1949 
C. December 10, 1948 
D. November, 1949 
 
 
B.",[],To be provided,LBA,2025-26,Multiple Choice Questions,67caa8c59f0501ae9196c513,7,False,41.93548387096774,social_science_7.pdf,UNITED NATIONS ORGANIZATION (U.N.O)
6982fed297c92115623a57c3,social science,7,11.0,UNITED NATIONS ORGANIZATION (U.N.O.),english,Average,fill_in_the_blank,1.0,_ _ _ _ is the 193rd member country of  the United Nations,[],To be provided,LBA,2025-26,Fill in the Blanks,67caa8c59f0501ae9196c513,7,True,54.385964912280706,social_science_7.pdf,UNITED NATIONS ORGANIZATION (U.N.O)
6982fed297c92115623a57c8,social science,7,11.0,UNITED NATIONS ORGANIZATION (U.N.O.),english,Average,short_answer,2.0,Name the subsidiary bodies of the United Nations.,[],To be provided,LBA,2025-26,Answer in Two Sentences,67caa8c59f0501ae9196c513,7,True,57.14285714285714,social_science_7.pdf,UNITED NATIONS ORGANIZATION (U.N.O)
6982fed297c92115623a57c9,social science,7,11.0,UNITED NATIONS ORGANIZATION (U.N.O.),english,Average,short_answer,2.0,List the major achievements of the United Nations.,[],To be provided,LBA,2025-26,Answer in Two Sentences,67caa8c59f0501ae9196c513,7,True,60.0,social_science_7.pdf,UNITED NATIONS ORGANIZATION (U.N.O)
6982fed297c92115623a57bd,social science,7,11.0,UNITED NATIONS ORGANIZATION (U.N.O.),english,Average,mcq,1.0,"The organ that acts as the parliament of the United Nations       
A. General Assembly 
B. Security Council 
C. Headquarters    
 D. Trusteeship Council",[],To be provided,LBA,2025-26,Multiple Choice Questions,67caa8c59f0501ae9196c513,7,True,50.943396226415096,social_science_7.pdf,UNITED NATIONS ORGANIZATION (U.N.O)
6982fed297c92115623a57bf,social science,7,11.0,UNITED NATIONS ORGANIZATION (U.N.O.),english,Average,mcq,1.0,"The chief officer who manages the administration of the headquarters.       
A. President 
B. Secretary-General 
C. Under-Secretary-General 
D. Secretary",[],To be provided,LBA,2025-26,Multiple Choice Questions,67caa8c59f0501ae9196c513,7,False,45.1063829787234,social_science_7.pdf,UNITED NATIONS ORGANIZATION (U.N.O)
6982fed297c92115623a57c4,social science,7,11.0,UNITED NATIONS ORGANIZATION (U.N.O.),english,Average,fill_in_the_blank,1.0,Total membership strength of the Security Council is _ _ _ _ .,[],To be provided,LBA,2025-26,Fill in the Blanks,67caa8c59f0501ae9196c513,7,False,41.93548387096774,social_science_7.pdf,UNITED NATIONS ORGANIZATION (U.N.O)
