question_id,subject,class,chapter_number,chapter_title,medium,difficulty,answer_type,marks,text,options,key_answer,exam_type,year,group_heading,chapter_id,standard,found_in_pdf,match_score,pdf_source,pdf_section
698c22ecec065fd7420d7b42,english,8,7.0,PROSE: The Boy Who Asked for More,English,Easy,mcq,1.0,This novel was written in 1946,"[""When was the novel written?"", ""Where was the novel written?"", ""Why was the novel written?"", ""How was the novel written?""]",,LBA,2025-26,Multiple Choice Questions,67ca912d9f0501ae9196ad89,8,False,43.333333333333336,english_8.pdf,UNIT- 4 THE BOY WHO ASKED FOR MORE
698c22ecec065fd7420d7b43,english,8,7.0,PROSE: The Boy Who Asked for More,English,Easy,mcq,1.0,The briefcase was stolen at the station.,"[""When was the briefcase stolen?"", ""Where was the briefcase stolen?"", ""Why was the briefcase stolen?"", ""How was the briefcase stolen?""]",,LBA,2025-26,Multiple Choice Questions,67ca912d9f0501ae9196ad89,8,False,47.5,english_8.pdf,UNIT- 4 THE BOY WHO ASKED FOR MORE
698c22ecec065fd7420d7b44,english,8,7.0,PROSE: The Boy Who Asked for More,English,Easy,mcq,1.0,The servant let out the secret.,"[""Why was the secret let out?"", ""When was the secret let out?"", ""Who let out the secret?"", ""How was thesecret let out?""]",,LBA,2025-26,Multiple Choice Questions,67ca912d9f0501ae9196ad89,8,True,51.61290322580645,english_8.pdf,UNIT- 4 THE BOY WHO ASKED FOR MORE
698c22ecec065fd7420d7b45,english,8,7.0,PROSE: The Boy Who Asked for More,English,Easy,mcq,1.0,Rama eats Banana.,"[""What did Rama eat?"", ""What do Rama eat?"", ""What has Rama eaten?"", ""What does Rama eat?""]",,LBA,2025-26,Multiple Choice Questions,67ca912d9f0501ae9196ad89,8,False,47.05882352941176,english_8.pdf,UNIT- 4 THE BOY WHO ASKED FOR MORE
698c22ecec065fd7420d7b46,english,8,7.0,PROSE: The Boy Who Asked for More,English,Average,fill_in_the_blank,1.0,"Fill in the blanks by adding a prefix to the word in the brackets:  
A. The teacher asked the student to ________ (write) the essay.
B. The new employee was ________ (happy) on her first day.
C. The new policy is ________ (fair) to certain groups.
D. The company should________ (structure) the team to improve the efficiency.",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196ad89,8,False,42.19554030874786,english_8.pdf,UNIT- 4 THE BOY WHO ASKED FOR MORE
698c22ecec065fd7420d7b47,english,8,7.0,PROSE: The Boy Who Asked for More,English,Average,fill_in_the_blank,1.0,"Write the noun forms of the following verbs. 
A) invent            e. attend
B) born               f. think
C) suggest          g. excited
D) grow               h.appoint",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196ad89,8,False,48.7603305785124,english_8.pdf,UNIT- 4 THE BOY WHO ASKED FOR MORE
698c22ecec065fd7420d7b48,english,8,7.0,PROSE: The Boy Who Asked for More,English,Easy,fill_in_the_blank,1.0,"Identify the word that does not belong to the group in each case: 
A) weak, pale,robust, thin
B) farmer, former, doctor, teacher
c)table, knife, fork, spoon
D) swing, kitchen, park, seesaw
e)snowy, weather, rainy, windy",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196ad89,8,False,43.11926605504587,english_8.pdf,UNIT- 4 THE BOY WHO ASKED FOR MORE
698c22ecec065fd7420d7b49,english,8,7.0,PROSE: The Boy Who Asked for More,English,Average,fill_in_the_blank,1.0,"complete the following questions using suitable modal auxiliary verbs:
(was, does, will,do, is) 
A) ________ you come with me to the hospital?
B) ________Sumathi like sweets?
C) ________ the children love playing the Rambo?
D) ________ he asleep yesterday?
e) ________  the tea ready now?",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196ad89,8,False,43.652561247216035,english_8.pdf,UNIT- 4 THE BOY WHO ASKED FOR MORE
698c22ecec065fd7420d7b4a,english,8,7.0,PROSE: The Boy Who Asked for More,English,Average,fill_in_the_blank,2.0,Why was ‘a council' held by the boys? What did they decide in it?,[],,LBA,2025-26,Answer in Two or More Sentences,67ca912d9f0501ae9196ad89,8,False,43.75,english_8.pdf,UNIT- 4 THE BOY WHO ASKED FOR MORE
698c22ecec065fd7420d7b4b,english,8,7.0,PROSE: The Boy Who Asked for More,English,Easy,fill_in_the_blank,2.0,What was the punishment that Oliver got for ‘asking for more’?,[],,LBA,2025-26,Answer in Two or More Sentences,67ca912d9f0501ae9196ad89,8,False,46.666666666666664,english_8.pdf,UNIT- 4 THE BOY WHO ASKED FOR MORE
