question_id,subject,class,chapter_number,chapter_title,medium,difficulty,answer_type,marks,text,options,key_answer,exam_type,year,group_heading,chapter_id,standard,found_in_pdf,match_score,pdf_source,pdf_section
698c22dcec065fd7420d79a7,english,6,14.0,PROSE: 'WHAT I WANT FOR YOU AND EVERY CHILD' A LETTER FROM OBAMA TO HIS DAUGHTERS,English,Easy,fill_in_the_blank,1.0,"Obama decided to take ________ on his journey. 
A)   friends
B)   family
C)   parents
D)   citizens",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196ad29,6,False,41.91616766467065,english_6.pdf,I
698c22dcec065fd7420d79a8,english,6,14.0,PROSE: 'WHAT I WANT FOR YOU AND EVERY CHILD' A LETTER FROM OBAMA TO HIS DAUGHTERS,English,Easy,fill_in_the_blank,1.0,"Obama ensured ________ to his children. 
A)   entertainment and happiness
B)   fun and fulfilment
C)   desire and happiness
D)    happiness and fulfilment",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196ad29,6,False,41.666666666666664,english_6.pdf,I
698c22dcec065fd7420d79a9,english,6,14.0,PROSE: 'WHAT I WANT FOR YOU AND EVERY CHILD' A LETTER FROM OBAMA TO HIS DAUGHTERS,English,Easy,fill_in_the_blank,1.0,"Obama wants every child to go to ________ 
A)    library
B)    museum
C)    school
D)   exhibition",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196ad29,6,False,41.860465116279066,english_6.pdf,I
698c22dcec065fd7420d79aa,english,6,14.0,PROSE: 'WHAT I WANT FOR YOU AND EVERY CHILD' A LETTER FROM OBAMA TO HIS DAUGHTERS,English,Easy,fill_in_the_blank,1.0,"Obama wants every child to have the same chances to ________   
A)    learn and dream
B)    sing and dance
C)    play and enjoy
D)     draw and paint",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196ad29,6,False,42.85714285714286,english_6.pdf,I
698c22dcec065fd7420d79ab,english,6,14.0,PROSE: 'WHAT I WANT FOR YOU AND EVERY CHILD' A LETTER FROM OBAMA TO HIS DAUGHTERS,English,Easy,fill_in_the_blank,1.0,"Obama was the president of ________ 
A) India
B) England
C) America
D) Japan",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196ad29,6,False,42.666666666666664,english_6.pdf,I
698c22dcec065fd7420d79ac,english,6,14.0,PROSE: 'WHAT I WANT FOR YOU AND EVERY CHILD' A LETTER FROM OBAMA TO HIS DAUGHTERS,English,Average,fill_in_the_blank,1.0,Do not - ________,[],,LBA,2025-26,Short Answers,67ca912d9f0501ae9196ad29,6,False,35.29411764705882,english_6.pdf,I
698c22dcec065fd7420d79ad,english,6,14.0,PROSE: 'WHAT I WANT FOR YOU AND EVERY CHILD' A LETTER FROM OBAMA TO HIS DAUGHTERS,English,Average,fill_in_the_blank,1.0,Did not-________,[],,LBA,2025-26,Short Answers,67ca912d9f0501ae9196ad29,6,False,31.25,english_6.pdf,I
698c22dcec065fd7420d79ae,english,6,14.0,PROSE: 'WHAT I WANT FOR YOU AND EVERY CHILD' A LETTER FROM OBAMA TO HIS DAUGHTERS,English,Average,fill_in_the_blank,1.0,Are not -________,[],,LBA,2025-26,Short Answers,67ca912d9f0501ae9196ad29,6,False,41.17647058823529,english_6.pdf,I
698c22dcec065fd7420d79af,english,6,14.0,PROSE: 'WHAT I WANT FOR YOU AND EVERY CHILD' A LETTER FROM OBAMA TO HIS DAUGHTERS,English,Average,fill_in_the_blank,1.0,Has not -________,[],,LBA,2025-26,Short Answers,67ca912d9f0501ae9196ad29,6,False,35.29411764705882,english_6.pdf,I
698c22dcec065fd7420d79b0,english,6,14.0,PROSE: 'WHAT I WANT FOR YOU AND EVERY CHILD' A LETTER FROM OBAMA TO HIS DAUGHTERS,English,Average,fill_in_the_blank,1.0,It will - ________,[],,LBA,2025-26,Short Answers,67ca912d9f0501ae9196ad29,6,True,50.0,english_6.pdf,I
698c22dcec065fd7420d79b1,english,6,14.0,PROSE: 'WHAT I WANT FOR YOU AND EVERY CHILD' A LETTER FROM OBAMA TO HIS DAUGHTERS,English,Average,fill_in_the_blank,1.0,She will -________,[],,LBA,2025-26,Short Answers,67ca912d9f0501ae9196ad29,6,False,44.44444444444444,english_6.pdf,I
698c22dcec065fd7420d79b2,english,6,14.0,PROSE: 'WHAT I WANT FOR YOU AND EVERY CHILD' A LETTER FROM OBAMA TO HIS DAUGHTERS,English,Average,fill_in_the_blank,1.0,They have -________,[],,LBA,2025-26,Short Answers,67ca912d9f0501ae9196ad29,6,False,42.10526315789473,english_6.pdf,I
698c22dcec065fd7420d79b3,english,6,14.0,PROSE: 'WHAT I WANT FOR YOU AND EVERY CHILD' A LETTER FROM OBAMA TO HIS DAUGHTERS,English,Average,fill_in_the_blank,1.0,I have -________,[],,LBA,2025-26,Short Answers,67ca912d9f0501ae9196ad29,6,False,38.46153846153846,english_6.pdf,I
698c22dcec065fd7420d79b4,english,6,14.0,PROSE: 'WHAT I WANT FOR YOU AND EVERY CHILD' A LETTER FROM OBAMA TO HIS DAUGHTERS,English,Average,fill_in_the_blank,1.0,I would - ________,[],,LBA,2025-26,Short Answers,67ca912d9f0501ae9196ad29,6,False,33.333333333333336,english_6.pdf,I
698c22dcec065fd7420d79b5,english,6,14.0,PROSE: 'WHAT I WANT FOR YOU AND EVERY CHILD' A LETTER FROM OBAMA TO HIS DAUGHTERS,English,Average,fill_in_the_blank,1.0,I am- ________,[],,LBA,2025-26,Short Answers,67ca912d9f0501ae9196ad29,6,False,35.71428571428571,english_6.pdf,I
698c22dcec065fd7420d79b6,english,6,14.0,PROSE: 'WHAT I WANT FOR YOU AND EVERY CHILD' A LETTER FROM OBAMA TO HIS DAUGHTERS,English,Easy,fill_in_the_blank,1.0,Young     x ________,[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196ad29,6,False,31.25,english_6.pdf,I
698c22dcec065fd7420d79b7,english,6,14.0,PROSE: 'WHAT I WANT FOR YOU AND EVERY CHILD' A LETTER FROM OBAMA TO HIS DAUGHTERS,English,Easy,fill_in_the_blank,1.0,big          x ________,[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196ad29,6,False,35.71428571428571,english_6.pdf,I
