question_id,subject,class,chapter_number,chapter_title,medium,difficulty,answer_type,marks,text,options,key_answer,exam_type,year,group_heading,chapter_id,standard,found_in_pdf,match_score,pdf_source,pdf_section
698c22ecec065fd7420d7b1e,english,8,5.0,PROSE: Jamaican Fragment,English,Easy,fill_in_the_blank,1.0,"Fill in the Blanks with the correct homophones: 
A. The wind will ________ the leaves away. (blow / blue)
B. She wore a beautiful ________ dress. (blue / blew)
C. I can’t ________ what you are saying. (hear / here)
D. Please come and sit over ________ (hear / here)
E. He ate the whole ________ of bread. (piece / peace)
F. The world needs more ________ (peace / piece)
G. The knight rode his horse at ________ (night / knight)
H. We saw a full moon last ________ (knight / night)",[],,LBA,2025-26,Fill in the Blanks,67449bf6065a2c5cd2dcbcab,8,False,41.02564102564102,english_8.pdf,Jamaican
698c22ecec065fd7420d7b1f,english,8,5.0,PROSE: Jamaican Fragment,English,Easy,fill_in_the_blank,1.0,"State whether the sentence is true or false. 
A. The narrator saw two girls playing on the sidewalk.
B. The black boy was giving commands to the white boy.
C. The narrator felt proud when he saw the boys playing.
D. The next day, the roles of the boys were reversed.
E. The narrator spoke to the boys’ father in the end",[],,LBA,2025-26,One Sentence Answers,67449bf6065a2c5cd2dcbcab,8,False,41.02564102564102,english_8.pdf,Jamaican
698c22ecec065fd7420d7b20,english,8,5.0,PROSE: Jamaican Fragment,English,Average,fill_in_the_blank,1.0,"Fill in the blanks with the correct opposite of the underlined word using a
prefix: 
A. The answer he gave is correct, but your answer is ________
B. She is always polite to others, you should not be ________
C. It is possible to complete the work today, It is not ________
D. His handwriting is legible, yours is ________
E.I trust her because she is honest, I cannot trust someone who is ________",[],,LBA,2025-26,Fill in the Blanks,67449bf6065a2c5cd2dcbcab,8,False,46.15384615384615,english_8.pdf,Jamaican
698c22ecec065fd7420d7b21,english,8,5.0,PROSE: Jamaican Fragment,English,Average,fill_in_the_blank,1.0,"Fill in the blanks with the correct past perfect form of the verbs in brackets:

A. She ________ (finish) her homework before dinner.
B. They ________ (leave) the house when the rain started.
C. I ________ (never/see) such a beautiful place before.
D. He ________ (eat) all the cake before we arrived.
E. We ________ (learn) the poem before the test.",[],,LBA,2025-26,Fill in the Blanks,67449bf6065a2c5cd2dcbcab,8,False,48.71794871794872,english_8.pdf,Jamaican
698c22ecec065fd7420d7b22,english,8,5.0,PROSE: Jamaican Fragment,English,Average,fill_in_the_blank,1.0,"Match the Following 
A
B
A.Portugal                      a)swedish
B.Britain                         b) Dutch
C.France                        c) French
D.Holland                       d) British
E.Thailand                      e)Portugese
F.Switzerland
f)Nepalese
G.Greece                         g)Thai
H.Nepal                           h)Israelite
I.Isrealii)Swiss
J.Sweden                        j)Greek",[],,LBA,2025-26,One Sentence Answers,67449bf6065a2c5cd2dcbcab,8,False,41.02564102564102,english_8.pdf,Jamaican
698c22ecec065fd7420d7b23,english,8,5.0,PROSE: Jamaican Fragment,English,Easy,fill_in_the_blank,1.0,What time of the day did the narrator go for a walk?,[],,LBA,2025-26,Short Answers,67449bf6065a2c5cd2dcbcab,8,False,43.24324324324324,english_8.pdf,Jamaican
698c22ecec065fd7420d7b24,english,8,5.0,PROSE: Jamaican Fragment,English,Easy,fill_in_the_blank,1.0,The white boy had hazel eyes. What is the meaning of the word ‘hazel’ here?,[],,LBA,2025-26,Short Answers,67449bf6065a2c5cd2dcbcab,8,False,45.070422535211264,english_8.pdf,Jamaican
698c22ecec065fd7420d7b25,english,8,5.0,PROSE: Jamaican Fragment,English,Easy,fill_in_the_blank,1.0,whom did the narrator speak to at the end?,[],,LBA,2025-26,Short Answers,67449bf6065a2c5cd2dcbcab,8,False,37.5,english_8.pdf,Jamaican
698c22ecec065fd7420d7b26,english,8,5.0,PROSE: Jamaican Fragment,English,Average,fill_in_the_blank,1.0,Why did the narrator's spirit laugh at him?,[],,LBA,2025-26,Short Answers,67449bf6065a2c5cd2dcbcab,8,False,38.23529411764706,english_8.pdf,Jamaican
698c22ecec065fd7420d7b27,english,8,5.0,PROSE: Jamaican Fragment,English,Difficult,fill_in_the_blank,1.0,What does the story teach us?,[],,LBA,2025-26,Short Answers,67449bf6065a2c5cd2dcbcab,8,False,35.29411764705882,english_8.pdf,Jamaican
