question_id,subject,class,chapter_number,chapter_title,medium,difficulty,answer_type,marks,text,options,key_answer,exam_type,year,group_heading,chapter_id,standard,found_in_pdf,match_score,pdf_source,pdf_section
698c2304ec065fd7420d89f9,english,10,12.0,POEM: Ballad of the Tempest,English,Average,fill_in_the_blank,1.0,"The little maiden filled the sailors with confidence. Justify
( April 2020)
OR
When the captain shouted, “ we are lost”, who instilled hope in him? How?",[],,LBA,2025-26,Short Answers,67449bf6065a2c5cd2dcbde5,10,False,49.66442953020134,english_10.pdf,POEM 6: BALLAD OF THE TEMPEST
698c2304ec065fd7420d89fa,english,10,12.0,POEM: Ballad of the Tempest,English,Average,fill_in_the_blank,1.0,"Write the substance of the poem, ‘ Ballad of the Tempest’ , in your own words.
OR
How does the poet bring out the importance of faith and hope in the poem ‘ Ballad of the Tempest’?",[],,LBA,2025-26,Short Answers,67449bf6065a2c5cd2dcbde5,10,True,51.14942528735632,english_10.pdf,POEM 6: BALLAD OF THE TEMPEST
698c2304ec065fd7420d89fb,english,10,12.0,POEM: Ballad of the Tempest,English,Average,fill_in_the_blank,1.0,"“We were crowded in the cabin not a Soul would dare to sleep”
(April 2023)
A) Who were crowded in the cabin?
B) Why were they not ready to sleep?
C) What had happened to them?",[],,LBA,2025-26,Read and Answer,67449bf6065a2c5cd2dcbde5,10,True,62.41610738255034,english_10.pdf,POEM 6: BALLAD OF THE TEMPEST
698c2304ec065fd7420d89fc,english,10,12.0,POEM: Ballad of the Tempest,English,Average,fill_in_the_blank,1.0,"Isn’t God upon the ocean,
( March 2018; March 2019)
Just the same as on the land?
A) Who is the speaker here?
B) Why does the speaker say this?
C) How did the statement influence the situation in which it was spoken?",[],,LBA,2025-26,Read and Answer,67449bf6065a2c5cd2dcbde5,10,False,49.302325581395344,english_10.pdf,POEM 6: BALLAD OF THE TEMPEST
698c2304ec065fd7420d89fd,english,10,12.0,POEM: Ballad of the Tempest,English,Average,fill_in_the_blank,1.0,"But his little daughter whispered,
( June 2019)
As she took his icy hands
A) Whose daughter, was she?
B) What did she say to him?
C) What was the effect of her words?",[],,LBA,2025-26,Read and Answer,67449bf6065a2c5cd2dcbde5,10,True,50.60240963855422,english_10.pdf,POEM 6: BALLAD OF THE TEMPEST
698c2304ec065fd7420d89fe,english,10,12.0,POEM: Ballad of the Tempest,English,Average,fill_in_the_blank,5.0,"How did the sailors regain their confidence to overcome a great peril, in the poem, ‘Ballad of the
Tempest’?
( March 2024)
OR
In the poem ‘Ballad of the Tempest’, the poet highlights faith and hope. Illustrate. ( September 2020)",[],,LBA,2025-26,Answer in Six or More Sentences,67449bf6065a2c5cd2dcbde5,10,False,48.66071428571429,english_10.pdf,POEM 6: BALLAD OF THE TEMPEST
698c2304ec065fd7420d89ff,english,10,12.0,POEM: Ballad of the Tempest,English,Average,fill_in_the_blank,1.0,IV.7.  Quote from Memory: We were …………………...…… ( March 2019) …………………………………… …………………………………… …………………………..the deep.,[],,LBA,2025-26,One Sentence Answers,67449bf6065a2c5cd2dcbde5,10,False,22.55192878338279,english_10.pdf,POEM 6: BALLAD OF THE TEMPEST
698c2304ec065fd7420d8a86,english,10,18.0,POEM: Ballad of the Tempest,English,Average,fill_in_the_blank,1.0,ON TOP OF THE WORLD,[],,LBA,2025-26,Short Answers,67449bf6065a2c5cd2dcbde5,10,True,63.1578947368421,english_10.pdf,POEM 6: BALLAD OF THE TEMPEST
698c2304ec065fd7420d8a87,english,10,18.0,POEM: Ballad of the Tempest,English,Average,fill_in_the_blank,2.0,"Give an account of hardship and challenges Dicky Dolma faced before she was qualified for this
venture.
(APRIL -2015, APRIL-2020, APRIL-2022, MARCH-2023)
OR
What hardships did Dicky Dolma face in her early life?",[],,LBA,2025-26,Answer in Two or More Sentences,67449bf6065a2c5cd2dcbde5,10,False,41.232227488151665,english_10.pdf,POEM 6: BALLAD OF THE TEMPEST
698c2304ec065fd7420d8a88,english,10,18.0,POEM: Ballad of the Tempest,English,Average,fill_in_the_blank,2.0,"How had Dolma described her preparedness for the task of scaling Mount Everest?
(JUNE-2016, JUNE- 2017)",[],,LBA,2025-26,Answer in Two or More Sentences,67449bf6065a2c5cd2dcbde5,10,False,43.689320388349515,english_10.pdf,POEM 6: BALLAD OF THE TEMPEST
