question_id,subject,class,chapter_number,chapter_title,medium,difficulty,answer_type,marks,text,options,key_answer,exam_type,year,group_heading,chapter_id,standard,found_in_pdf,match_score,pdf_source,pdf_section
698c22ecec065fd7420d7ad3,english,8,1.0,PROSE: A Day in the Ashram,English,Average,mcq,1.0,India is my country.,"[""verb"", ""pronoun"", ""noun"", ""conjunction""]",,LBA,2025-26,Multiple Choice Questions,67449bf6065a2c5cd2dcbadf,8,False,35.0,english_8.pdf,Ashram
698c22ecec065fd7420d7ad4,english,8,1.0,PROSE: A Day in the Ashram,English,Average,mcq,1.0,He is my best friend.,"[""verb"", ""pronoun"", ""noun"", ""conjunction""]",,LBA,2025-26,Multiple Choice Questions,67449bf6065a2c5cd2dcbadf,8,False,42.85714285714286,english_8.pdf,Ashram
698c22ecec065fd7420d7ad5,english,8,1.0,PROSE: A Day in the Ashram,English,Average,mcq,1.0,She writes a letter to her mother.,"[""verb"", ""pronoun"", ""noun"", ""conjunction""]",,LBA,2025-26,Multiple Choice Questions,67449bf6065a2c5cd2dcbadf,8,False,44.11764705882353,english_8.pdf,Ashram
698c22ecec065fd7420d7ad6,english,8,1.0,PROSE: A Day in the Ashram,English,Easy,fill_in_the_blank,1.0,"She quickly finished her homework.
(A) verb    (B) adjective.  (C) noun  (D) adverb
B. Choose the correct prefix for given
words.",[],,LBA,2025-26,Fill in the Blanks,67449bf6065a2c5cd2dcbadf,8,False,44.11764705882353,english_8.pdf,Ashram
698c22ecec065fd7420d7ad7,english,8,1.0,PROSE: A Day in the Ashram,English,Average,fill_in_the_blank,1.0,"Identify the correct prefix for the word ‘social’
(A) anti      (B) re     (C) non    (D) in",[],,LBA,2025-26,Fill in the Blanks,67449bf6065a2c5cd2dcbadf,8,False,36.8421052631579,english_8.pdf,Ashram
698c22ecec065fd7420d7ad8,english,8,1.0,PROSE: A Day in the Ashram,English,Average,fill_in_the_blank,1.0,"Identify the correct prefix  for the word ‘visible’
(A) non      ( B) re     (C) un    (D)  in",[],,LBA,2025-26,Fill in the Blanks,67449bf6065a2c5cd2dcbadf,8,False,39.02439024390244,english_8.pdf,Ashram
698c22ecec065fd7420d7ad9,english,8,1.0,PROSE: A Day in the Ashram,English,Average,fill_in_the_blank,1.0,"Identify the correct prefix for word ‘possible’
(A) re    ( B) im   (C)  mis   (D) in",[],,LBA,2025-26,Fill in the Blanks,67449bf6065a2c5cd2dcbadf,8,False,39.50617283950617,english_8.pdf,Ashram
698c22ecec065fd7420d7ada,english,8,1.0,PROSE: A Day in the Ashram,English,Average,fill_in_the_blank,1.0,"Identify the correct prefix for the word ‘regular’
(A) in      (B) miss ,   (C) non     (D)  ir
C. Fill in the blank with the correct article.",[],,LBA,2025-26,Fill in the Blanks,67449bf6065a2c5cd2dcbadf,8,False,36.8421052631579,english_8.pdf,Ashram
698c22ecec065fd7420d7adb,english,8,1.0,PROSE: A Day in the Ashram,English,Average,mcq,1.0,Yesterday I saw —- accident in----- market.,"[""The, an"", ""an, the"", ""a, an"", ""an, a""]",,LBA,2025-26,Multiple Choice Questions,67449bf6065a2c5cd2dcbadf,8,False,28.57142857142857,english_8.pdf,Ashram
698c22ecec065fd7420d7adc,english,8,1.0,PROSE: A Day in the Ashram,English,Average,mcq,1.0,She sat on —--- bench in----- park.,"[""the, the"", ""an, the"", ""a an"", ""an, a""]",,LBA,2025-26,Multiple Choice Questions,67449bf6065a2c5cd2dcbadf,8,False,26.470588235294112,english_8.pdf,Ashram
698c22ecec065fd7420d7add,english,8,1.0,PROSE: A Day in the Ashram,English,Average,mcq,1.0,Raju is —--- doctor working in ----- hospital.,"[""The, a"", ""an, a"", ""a , the"", ""an ,a""]",,LBA,2025-26,Multiple Choice Questions,67449bf6065a2c5cd2dcbadf,8,False,30.303030303030297,english_8.pdf,Ashram
698c22ecec065fd7420d7ade,english,8,1.0,PROSE: A Day in the Ashram,English,Easy,fill_in_the_blank,1.0,"Suresh is —--- M.L.A., who is ------ honest politician.
(A) The, a          (B) an, an     (C)  a, the     (D)  the, an
D. Choose the correct opposite for the underlined
word:",[],,LBA,2025-26,Fill in the Blanks,67449bf6065a2c5cd2dcbadf,8,False,39.02439024390244,english_8.pdf,Ashram
698c22ecec065fd7420d7adf,english,8,1.0,PROSE: A Day in the Ashram,English,Average,mcq,1.0,"Steel chair  isheavy, but plastic chair is","[""dark"", ""light"", ""strong"", ""weak""]",,LBA,2025-26,Multiple Choice Questions,67449bf6065a2c5cd2dcbadf,8,False,34.285714285714285,english_8.pdf,Ashram
698c22ecec065fd7420d7ae0,english,8,1.0,PROSE: A Day in the Ashram,English,Average,mcq,1.0,"Ranganathan  isstrong, but his brother is","[""poor"", ""dull"", ""weak"", ""hard""]",,LBA,2025-26,Multiple Choice Questions,67449bf6065a2c5cd2dcbadf,8,False,37.142857142857146,english_8.pdf,Ashram
698c22ecec065fd7420d7ae1,english,8,1.0,PROSE: A Day in the Ashram,English,Average,mcq,1.0,Some people walk fast and some others walk,"[""quick"", ""speed"", ""hurry"", ""slow""]",,LBA,2025-26,Multiple Choice Questions,67449bf6065a2c5cd2dcbadf,8,False,41.02564102564102,english_8.pdf,Ashram
698c22ecec065fd7420d7ae2,english,8,1.0,PROSE: A Day in the Ashram,English,Average,mcq,1.0,Be good but not,"[""sad"", ""bad"", ""happy"", ""better""]",,LBA,2025-26,Multiple Choice Questions,67449bf6065a2c5cd2dcbadf,8,False,33.333333333333336,english_8.pdf,Ashram
698c22ecec065fd7420d7ae3,english,8,1.0,PROSE: A Day in the Ashram,English,Easy,fill_in_the_blank,1.0,"Fill in the blanks with the correct antonyms of the underlined words. 
A. Arjuna was bold but Shakuni was —---
B.Students must go to school in time but not—--.
C.Ranganna is strong but his brother is—--
D.Learn to treat even your enemy as—---.
E.Some people walk fast but some others walk—--
[friend, weak, slowtimid, late]",[],,LBA,2025-26,Fill in the Blanks,67449bf6065a2c5cd2dcbadf,8,False,41.463414634146346,english_8.pdf,Ashram
