question_id,subject,class,chapter_number,chapter_title,medium,difficulty,answer_type,marks,text,options,key_answer,exam_type,year,group_heading,chapter_id,standard,found_in_pdf,match_score,pdf_source,pdf_section
698c2209ec065fd7420d7490,english,5,8.0,POEM: Believe,English,Easy,fill_in_the_blank,1.0,"Believe in ________ 
a) Hate  b) War  c) Love  d) Fear
Answer: c) Love",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196ac34,5,False,37.878787878787875,english_5.pdf,Believe
698c2209ec065fd7420d7491,english,5,8.0,POEM: Believe,English,Easy,fill_in_the_blank,1.0,"Believe in ________
a) Doubt  b) Faith  c) Anger  d) Pain
Answer: b) Faith",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196ac34,5,False,39.43661971830986,english_5.pdf,Believe
698c2209ec065fd7420d7492,english,5,8.0,POEM: Believe,English,Easy,fill_in_the_blank,1.0,"Believe in ________
a) Truth  b) Lies  c) Gossip  d) Revenge
Answer: a) Truth",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196ac34,5,False,39.189189189189186,english_5.pdf,Believe
698c2209ec065fd7420d7493,english,5,8.0,POEM: Believe,English,Easy,fill_in_the_blank,1.0,"Believe that no matter what happens, you have the power to ________ 
a) Quit  b) Fail  c) Prevail  d) Escape
Answer: c) Prevail",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196ac34,5,False,39.02439024390244,english_5.pdf,Believe
698c2209ec065fd7420d7494,english,5,8.0,POEM: Believe,English,Easy,fill_in_the_blank,1.0,"Believe in ________
a) Weakness  b) Strength  c) Sadness  d) Loss
Answer: b) Strength",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196ac34,5,False,40.243902439024396,english_5.pdf,Believe
698c2209ec065fd7420d7495,english,5,8.0,POEM: Believe,English,Easy,fill_in_the_blank,1.0,"Believe in ________
a) Cowardice  b) Fear  c) Courage  d) Panic
Answer: c) Courage",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196ac34,5,False,39.24050632911392,english_5.pdf,Believe
698c2209ec065fd7420d7496,english,5,8.0,POEM: Believe,English,Easy,fill_in_the_blank,1.0,"Believe in ________
a) Anger  b) Honour  c) Disrespect  d) Guilt
Answer: b) Honour",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196ac34,5,False,39.24050632911392,english_5.pdf,Believe
698c2209ec065fd7420d7497,english,5,8.0,POEM: Believe,English,Easy,fill_in_the_blank,1.0,"Believe that everyone has the power to be ________ at heart.
a) Bad  b) Strong  c) Good  d) Quiet
Answer: c) Good",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196ac34,5,False,40.0,english_5.pdf,Believe
698c2209ec065fd7420d7498,english,5,8.0,POEM: Believe,English,Easy,fill_in_the_blank,1.0,"Believe in ________
a) Silence  b) Song  c) Screaming  d) Noise
Answer: b) Song",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196ac34,5,False,39.473684210526315,english_5.pdf,Believe
698c2209ec065fd7420d7499,english,5,8.0,POEM: Believe,English,Easy,fill_in_the_blank,1.0,"Everyone is ________ 
a) Ordinary  b) Strange  c) Unique  d) Common
Answer: c) Unique",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196ac34,5,False,38.27160493827161,english_5.pdf,Believe
698c2209ec065fd7420d749a,english,5,8.0,POEM: Believe,English,Easy,fill_in_the_blank,1.0,"Believe that no matter what happens, you have the power to ________",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196ac34,5,False,41.7910447761194,english_5.pdf,Believe
698c2209ec065fd7420d749b,english,5,8.0,POEM: Believe,English,Easy,fill_in_the_blank,1.0,Believe that everyone has the power to be ________ at heart.,[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196ac34,5,False,41.666666666666664,english_5.pdf,Believe
698c2209ec065fd7420d749c,english,5,8.0,POEM: Believe,English,Easy,fill_in_the_blank,1.0,"Believe that no matter who you are or where you’re from, everyone is ________",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196ac34,5,False,42.10526315789473,english_5.pdf,Believe
