question_id,subject,class,chapter_number,chapter_title,medium,difficulty,answer_type,marks,text,options,key_answer,exam_type,year,group_heading,chapter_id,standard,found_in_pdf,match_score,pdf_source,pdf_section
698c2209ec065fd7420d74be,english,5,9.0,POEM: The Cow,English,Easy,fill_in_the_blank,1.0,"Koushika was a ________ (Soldier, king)",[],,LBA,2025-26,Fill in the Blanks,67449bf6065a2c5cd2dcbb8d,5,False,35.89743589743589,english_5.pdf,POEM:Th
698c2209ec065fd7420d74bf,english,5,9.0,POEM: The Cow,English,Easy,fill_in_the_blank,1.0,"Shabale   ________ everything that Vasishta asked for. (give, gave)",[],,LBA,2025-26,Fill in the Blanks,67449bf6065a2c5cd2dcbb8d,5,False,38.46153846153846,english_5.pdf,POEM:Th
698c2209ec065fd7420d74c0,english,5,9.0,POEM: The Cow,English,Easy,fill_in_the_blank,1.0,"Shabale was also known as ________ (Nandini, Kamadhenu)",[],,LBA,2025-26,Fill in the Blanks,67449bf6065a2c5cd2dcbb8d,5,False,34.54545454545455,english_5.pdf,POEM:Th
698c2209ec065fd7420d74c1,english,5,9.0,POEM: The Cow,English,Easy,fill_in_the_blank,1.0,"Shabale grew ________ (big, bigger)",[],,LBA,2025-26,Fill in the Blanks,67449bf6065a2c5cd2dcbb8d,5,False,28.57142857142857,english_5.pdf,POEM:Th
698c2209ec065fd7420d74c2,english,5,9.0,POEM: The Cow,English,Easy,fill_in_the_blank,1.0,"Koushika tied ________ around Shabale’s neck. (string, rope)",[],,LBA,2025-26,Fill in the Blanks,67449bf6065a2c5cd2dcbb8d,5,False,36.53846153846154,english_5.pdf,POEM:Th
698c2209ec065fd7420d74c3,english,5,9.0,POEM: The Cow,English,Easy,fill_in_the_blank,1.0,"Koushika wanted to take Shabale to his ________ (hut, palace)",[],,LBA,2025-26,Fill in the Blanks,67449bf6065a2c5cd2dcbb8d,5,False,33.333333333333336,english_5.pdf,POEM:Th
698c2209ec065fd7420d74c4,english,5,9.0,POEM: The Cow,English,Easy,fill_in_the_blank,1.0,"Koushika was ________ by shabale’s power. (surprised,
impressed)",[],,LBA,2025-26,Fill in the Blanks,67449bf6065a2c5cd2dcbb8d,5,False,33.333333333333336,english_5.pdf,POEM:Th
698c2209ec065fd7420d74c5,english,5,9.0,POEM: The Cow,English,Easy,fill_in_the_blank,1.0,"Vasishta had a cow ________ name was Shabale. (she, her)",[],,LBA,2025-26,Fill in the Blanks,67449bf6065a2c5cd2dcbb8d,5,False,30.35714285714286,english_5.pdf,POEM:Th
698c2209ec065fd7420d74c6,english,5,9.0,POEM: The Cow,English,Average,fill_in_the_blank,1.0,Who was the owner of Shabale?,[],,LBA,2025-26,Short Answers,67449bf6065a2c5cd2dcbb8d,5,False,37.93103448275862,english_5.pdf,POEM:Th
698c2209ec065fd7420d74c7,english,5,9.0,POEM: The Cow,English,Average,fill_in_the_blank,1.0,Who tried to take Shabale away?,[],,LBA,2025-26,Short Answers,67449bf6065a2c5cd2dcbb8d,5,False,35.483870967741936,english_5.pdf,POEM:Th
