question_id,subject,class,chapter_number,chapter_title,medium,difficulty,answer_type,marks,text,options,key_answer,exam_type,year,group_heading,chapter_id,standard,found_in_pdf,match_score,pdf_source,pdf_section
6982ff0697c92115623a58f9,science,7,5.0,From Gathering Food to Growing Food - The Earliest People,english,Average,mcq,1.0,"In the Panchatantra story of the lion and the rabbit, the scientific reason embedded in",[],Keep it empty for now,LBA,2025-26,Multiple Choice Questions,693950f053371e8aeb7eb0ba,7,True,50.0,science_7.pdf,Heart
6982ff0697c92115623a58fd,science,7,5.0,From Gathering Food to Growing Food - The Earliest People,english,Average,mcq,1.0,The image formed by a plane mirror:,"[""Real and erect"", ""Real and inverted"", ""Virtual and erect"", ""Virtual and inverted""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,693950f053371e8aeb7eb0ba,7,True,50.0,science_7.pdf,Heart
6982ff0697c92115623a5903,science,7,5.0,From Gathering Food to Growing Food - The Earliest People,english,Average,fill_in_the_blank,1.0,Identify the divergence that occurs in a concave lens in the ray diagram.,[],Required Answer,LBA,2025-26,Short Answers,693950f053371e8aeb7eb0ba,7,True,66.66666666666667,science_7.pdf,Heart
6982ff0697c92115623a5907,science,7,5.0,From Gathering Food to Growing Food - The Earliest People,english,Average,mcq,1.0,Rainbow is caused by:,"[""Scattering of light"", ""Refraction of light"", ""Reflection and total internal reflection of light"", ""All of the above""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,693950f053371e8aeb7eb0ba,7,True,50.0,science_7.pdf,Heart
6982ff0697c92115623a5909,science,7,5.0,From Gathering Food to Growing Food - The Earliest People,english,Easy,mcq,1.0,Number of colours in a rainbow are:,"[""6"", ""5"", ""7"", ""9""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,693950f053371e8aeb7eb0ba,7,True,50.0,science_7.pdf,Heart
6982ff0697c92115623a590b,science,7,5.0,From Gathering Food to Growing Food - The Earliest People,english,Average,mcq,1.0,These are the primary colours seen in a rainbow,"[""White, Blue, Red (WBR)"", ""Yellow, Green, Pink"", ""Green, Red, Blue (RGB)"", ""Black, White, Blue""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,693950f053371e8aeb7eb0ba,7,True,50.0,science_7.pdf,Heart
6982ff0697c92115623a590c,science,7,5.0,From Gathering Food to Growing Food - The Earliest People,english,Average,mcq,1.0,Light propagation in the atmosphere occurs due to,"[""Carbon dioxide"", ""Dust particles"", ""Helium"", ""Water vapour particles""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,693950f053371e8aeb7eb0ba,7,False,0.0,science_7.pdf,Heart
6982ff0697c92115623a590d,science,7,5.0,From Gathering Food to Growing Food - The Earliest People,english,Average,mcq,1.0,"When an astronaut goes up, the sky appears in this colour","[""Blue"", ""Black"", ""Red"", ""White""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,693950f053371e8aeb7eb0ba,7,False,0.0,science_7.pdf,Heart
6982ff0697c92115623a5913,science,7,5.0,From Gathering Food to Growing Food - The Earliest People,english,Easy,mcq,1.0,The lens used in microscopes is:,"[""Biconvex lens"", ""Concave lens"", ""Cylindrical lens"", ""Convex lens""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,693950f053371e8aeb7eb0ba,7,False,0.0,science_7.pdf,Heart
6982ff0697c92115623a5915,science,7,5.0,From Gathering Food to Growing Food - The Earliest People,english,Easy,mcq,1.0,Light travels like this:,"[""Curved"", ""Left"", ""Right"", ""Straight line""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,693950f053371e8aeb7eb0ba,7,False,0.0,science_7.pdf,Heart
6982ff0697c92115623a5916,science,7,5.0,From Gathering Food to Growing Food - The Earliest People,english,Average,mcq,1.0,The image of an object formed in a plane mirror is:,"[""Inverted and real size"", ""Erect and small"", ""Large and erect"", ""Darkened""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,693950f053371e8aeb7eb0ba,7,True,50.0,science_7.pdf,Heart
6982ff0697c92115623a5917,science,7,5.0,From Gathering Food to Growing Food - The Earliest People,english,Average,mcq,1.0,This mirror shows distant objects as small.,"[""Plane mirror"", ""Convex mirror"", ""Concave mirror"", ""Lens""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,693950f053371e8aeb7eb0ba,7,True,66.66666666666667,science_7.pdf,Heart
6982ff0697c92115623a5921,science,7,5.0,From Gathering Food to Growing Food - The Earliest People,english,Average,fill_in_the_blank,1.0,An image that can be obtained on a screen is called a ___________.,[],Required Answer,LBA,2025-26,Fill in the Blanks,693950f053371e8aeb7eb0ba,7,True,66.66666666666667,science_7.pdf,Heart
6982ff0697c92115623a5922,science,7,5.0,From Gathering Food to Growing Food - The Earliest People,english,Easy,true_false,1.0,A ray of light travels in a straight line path.,[],Keep it empty for now,LBA,2025-26,True / False,693950f053371e8aeb7eb0ba,7,True,66.66666666666667,science_7.pdf,Heart
6982ff0697c92115623a5925,science,7,5.0,From Gathering Food to Growing Food - The Earliest People,english,Average,true_false,1.0,"If reflected light falls on an object, it can be seen.",[],Keep it empty for now,LBA,2025-26,True / False,693950f053371e8aeb7eb0ba,7,True,66.66666666666667,science_7.pdf,Heart
6982ff0697c92115623a592a,science,7,5.0,From Gathering Food to Growing Food - The Earliest People,english,Average,true_false,1.0,"A large, inverted image can be obtained through a concave mirror.",[],Keep it empty for now,LBA,2025-26,True / False,693950f053371e8aeb7eb0ba,7,True,66.66666666666667,science_7.pdf,Heart
6982ff0697c92115623a592b,science,7,5.0,From Gathering Food to Growing Food - The Earliest People,english,Difficult,match_the_following,1.0,A                                       B,[],Keep it empty for now,LBA,2025-26,Match the Following,693950f053371e8aeb7eb0ba,7,True,66.66666666666667,science_7.pdf,Heart
6982ff0697c92115623a592d,science,7,5.0,From Gathering Food to Growing Food - The Earliest People,english,Difficult,match_the_following,1.0,Concave mirror            ii. Change in direction of light,[],Keep it empty for now,LBA,2025-26,Match the Following,693950f053371e8aeb7eb0ba,7,True,50.0,science_7.pdf,Heart
6982ff0697c92115623a592e,science,7,5.0,From Gathering Food to Growing Food - The Earliest People,english,Difficult,match_the_following,1.0,Convex mirror             iii. Erect image,[],Keep it empty for now,LBA,2025-26,Match the Following,693950f053371e8aeb7eb0ba,7,True,50.0,science_7.pdf,Heart
6982ff0697c92115623a5934,science,7,5.0,From Gathering Food to Growing Food - The Earliest People,english,Difficult,match_the_following,1.0,Angle of mirror           iv. Real sized image,[],Keep it empty for now,LBA,2025-26,Match the Following,693950f053371e8aeb7eb0ba,7,True,50.0,science_7.pdf,Heart
6982ff0697c92115623a594f,science,7,5.0,From Gathering Food to Growing Food - The Earliest People,english,Difficult,short_answer,2.0,Light travels in a straight line path. Explain.,[],Required Answer,LBA,2025-26,Answer in Two Sentences,693950f053371e8aeb7eb0ba,7,True,66.66666666666667,science_7.pdf,Heart
6982ff0697c92115623a5951,science,7,5.0,From Gathering Food to Growing Food - The Earliest People,english,Average,short_answer,2.0,Why does the image in a plane mirror show lateral inversion?,[],Required Answer,LBA,2025-26,Answer in Two Sentences,693950f053371e8aeb7eb0ba,7,False,0.0,science_7.pdf,Heart
6982ff0697c92115623a58f6,science,7,5.0,From Gathering Food to Growing Food - The Earliest People,english,Easy,mcq,1.0,Light travels in this type of path.,"[""Straight line path only in air medium"", ""Straight line path only in vacuum"", ""Always a straight line path"", ""Sometimes a straight line path""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,693950f053371e8aeb7eb0ba,7,True,66.66666666666667,science_7.pdf,Heart
6982ff0697c92115623a58f7,science,7,5.0,From Gathering Food to Growing Food - The Earliest People,english,Easy,mcq,1.0,"When light travels from one medium to another, it changes its direction of 
propagation. This phenomenon is called.","[""Light absorption"", ""Light reflection"", ""Light refraction"", ""Light scattering""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,693950f053371e8aeb7eb0ba,7,True,66.66666666666667,science_7.pdf,Heart
6982ff0697c92115623a58fe,science,7,5.0,From Gathering Food to Growing Food - The Earliest People,english,Average,mcq,1.0,The mirror used by drivers in vehicles to see the rear view is:,"[""Plane mirror"", ""Convex mirror"", ""Concave mirror"", ""Spherical mirror""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,693950f053371e8aeb7eb0ba,7,True,50.0,science_7.pdf,Heart
6982ff0697c92115623a58ff,science,7,5.0,From Gathering Food to Growing Food - The Earliest People,english,Easy,mcq,1.0,Number of images formed when two mirrors are placed at a 90° angle:,"[""4"", ""3"", ""2"", ""Infinite""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,693950f053371e8aeb7eb0ba,7,True,50.0,science_7.pdf,Heart
6982ff0697c92115623a5905,science,7,5.0,From Gathering Food to Growing Food - The Earliest People,english,Easy,mcq,1.0,The lens used for near-sightedness is,"[""Convex lens"", ""Concave lens"", ""Plane lens"", ""Cylindrical lens""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,693950f053371e8aeb7eb0ba,7,False,0.0,science_7.pdf,Heart
6982ff0697c92115623a590f,science,7,5.0,From Gathering Food to Growing Food - The Earliest People,english,Difficult,fill_in_the_blank,1.0,The increasing order of wavelengths for the given colours:,[],Required Answer,LBA,2025-26,Short Answers,693950f053371e8aeb7eb0ba,7,False,0.0,science_7.pdf,Heart
6982ff0697c92115623a5910,science,7,5.0,From Gathering Food to Growing Food - The Earliest People,english,Difficult,mcq,1.0,"Orange, 2. Blue, 3. Yellow, 4. Violet","[""1,2,3,4"", ""1,3,2,4"", ""4,2,1,3"", ""4,2,3,1""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,693950f053371e8aeb7eb0ba,7,True,50.0,science_7.pdf,Heart
6982ff0697c92115623a591d,science,7,5.0,From Gathering Food to Growing Food - The Earliest People,english,Average,fill_in_the_blank,1.0,"If the image of an object shows it to the right, in reality, it is in the ___________ part.",[],Required Answer,LBA,2025-26,Fill in the Blanks,693950f053371e8aeb7eb0ba,7,True,66.66666666666667,science_7.pdf,Heart
6982ff0697c92115623a5923,science,7,5.0,From Gathering Food to Growing Food - The Earliest People,english,Average,true_false,1.0,A concave mirror can form a large and erect image.,[],Keep it empty for now,LBA,2025-26,True / False,693950f053371e8aeb7eb0ba,7,True,66.66666666666667,science_7.pdf,Heart
6982ff0697c92115623a5924,science,7,5.0,From Gathering Food to Growing Food - The Earliest People,english,Average,true_false,1.0,A convex lens always forms a real image.,[],Keep it empty for now,LBA,2025-26,True / False,693950f053371e8aeb7eb0ba,7,True,66.66666666666667,science_7.pdf,Heart
6982ff0697c92115623a5926,science,7,5.0,From Gathering Food to Growing Food - The Earliest People,english,Average,true_false,1.0,A plane mirror always forms an image of the same size as the object.,[],Keep it empty for now,LBA,2025-26,True / False,693950f053371e8aeb7eb0ba,7,True,66.66666666666667,science_7.pdf,Heart
