question_id,subject,class,chapter_number,chapter_title,medium,difficulty,answer_type,marks,text,options,key_answer,exam_type,year,group_heading,chapter_id,standard,found_in_pdf,match_score,pdf_source,pdf_section
68ece95430e8a5b8a11f6177,science,10,1.0,Chemical Reactions and Equations,English,Easy,short_answer,1.0,"CuO + H2 → Cu + H2O. In this reaction, the reactants that undergo oxidation and reduction respectively are","[""CuO + H2"", ""H2 + CuO"", ""Cu + H2O"", ""H2O + Cu""]",H2 + CuO,,,Multiple Choice Questions (1 Mark),68ece95430e8a5b8a11f6169,10,True,66.66666666666667,science_10.pdf,C H
68ece95430e8a5b8a11f6179,science,10,1.0,Chemical Reactions and Equations,English,Easy,short_answer,1.0,Silver nitrate turns into gray colour in the presence of sunlight because,"[""Silver chloride decomposes to form silver."", ""Silver chloride decomposes to form chlorine."", ""Silver chloride undergoes oxidation."", ""Silver chloride undergoes reduction.""]",Silver chloride decomposes to form silver.,,,Multiple Choice Questions (1 Mark),68ece95430e8a5b8a11f6169,10,False,33.333333333333336,science_10.pdf,C H
68ece95430e8a5b8a11f6181,science,10,1.0,Chemical Reactions and Equations,English,Easy,short_answer,1.0,Identify the chemical equation in which the chemical reaction takes place in the following.,"[""FeSO4 + Pb \u2192 PbSO4 + Fe"", ""ZnSO4 + Fe \u2192 FeSO4 + Zn"", ""2AgNO3 + Cu \u2192 Cu(NO3)2 + Ag"", ""PbCl2 + Cu \u2192 CuCl2 + Pb""]",2AgNO3 + Cu → Cu(NO3)2 + Ag,,,Multiple Choice Questions (1 Mark),68ece95430e8a5b8a11f6169,10,False,33.333333333333336,science_10.pdf,C H
68ece95430e8a5b8a11f6183,science,10,1.0,Chemical Reactions and Equations,English,Easy,short_answer,1.0,When dilute hydrochloric acid is added to iron filings,"[""Hydrogen gas and iron chloride are produced"", ""Chlorine gas and ferric hydroxide are produced"", ""No reaction takes place"", ""Ferrous salt and water are produced""]",Hydrogen gas and iron chloride are produced,,,Multiple Choice Questions (1 Mark),68ece95430e8a5b8a11f6169,10,False,33.333333333333336,science_10.pdf,C H
68ece95430e8a5b8a11f6185,science,10,1.0,Chemical Reactions and Equations,English,Easy,short_answer,1.0,The metal that displaces copper from copper sulphate is,"[""Gold"", ""Silver"", ""Copper"", ""Iron""]",Iron,,,Multiple Choice Questions (1 Mark),68ece95430e8a5b8a11f6169,10,False,33.333333333333336,science_10.pdf,C H
68ece95430e8a5b8a11f6195,science,10,1.0,Chemical Reactions and Equations,English,Easy,short_answer,1.0,What is a precipitation reaction? Give an example.,[],"Formation of an insoluble product from solutions; e.g., Na2SO4 + BaCl2 → BaSO4 + 2NaCl.",,,Answer The Following (1 Mark),68ece95430e8a5b8a11f6169,10,False,33.333333333333336,science_10.pdf,C H
68ece95430e8a5b8a11f619b,science,10,1.0,Chemical Reactions and Equations,English,Easy,short_answer,1.0,Iron articles are to be painted. Why?,[],To prevent rusting (corrosion) of iron.,,,Answer The Following (1 Mark),68ece95430e8a5b8a11f6169,10,False,33.333333333333336,science_10.pdf,C H
68ece95430e8a5b8a11f619d,science,10,1.0,Chemical Reactions and Equations,English,Easy,short_answer,1.0,What is rancidity?,[],Undesirable change in smell and taste of oily/fatty food due to oxidation.,,,Answer The Following (1 Mark),68ece95430e8a5b8a11f6169,10,False,33.333333333333336,science_10.pdf,C H
68ece95430e8a5b8a11f61a1,science,10,1.0,Chemical Reactions and Equations,English,Easy,short_answer,1.0,Zn + CO → ZnO + C. Identify the substances oxidized and reduced.,[],C is oxidized; ZnO is reduced.,,,Answer The Following (1 Mark),68ece95430e8a5b8a11f6169,10,False,33.333333333333336,science_10.pdf,C H
68ece95430e8a5b8a11f61a5,science,10,1.0,Chemical Reactions and Equations,English,Easy,short_answer,1.0,Name the product formed when calcium oxide reacts with water.,[],Calcium hydroxide (Ca(OH)₂).,,,Answer The Following (1 Mark),68ece95430e8a5b8a11f6169,10,False,33.333333333333336,science_10.pdf,C H
