question_id,subject,class,chapter_number,chapter_title,medium,difficulty,answer_type,marks,text,options,key_answer,exam_type,year,group_heading,chapter_id,standard,found_in_pdf,match_score,pdf_source,pdf_section
6982ff0697c92115623a59a2,science,7,7.0,Classification of elements - the periodic table,english,Average,mcq,1.0,The process by which pollutants can be removed before water is reused or enters,[],Keep it empty for now,LBA,2025-26,Multiple Choice Questions,693950e553371e8aeb7ead74,7,False,45.56962025316456,science_7.pdf,A B
6982ff0697c92115623a59a9,science,7,7.0,Classification of elements - the periodic table,english,Easy,mcq,1.0,The bacteria that spreads cholera:,"[""Vibrio cholerae"", ""Salmonella paratyphi"", ""Protozoa"", ""Mycobacterium""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,693950e553371e8aeb7ead74,7,True,52.94117647058824,science_7.pdf,A B
6982ff0697c92115623a59b1,science,7,7.0,Classification of elements - the periodic table,english,Average,mcq,1.0,The scientist who proved that water is a compound:,"[""Henry Cavendish"", ""Lavoisier"", ""Robert Boyle"", ""Robert Hooke""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,693950e553371e8aeb7ead74,7,False,48.0,science_7.pdf,A B
6982ff0697c92115623a59b2,science,7,7.0,Classification of elements - the periodic table,english,Average,mcq,1.0,Water density is maximum at this temperature:,"[""4\u00b0C"", ""0\u00b0C to 4\u00b0C"", ""5\u00b0C to 0\u00b0C"", ""100\u00b0C""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,693950e553371e8aeb7ead74,7,False,48.88888888888889,science_7.pdf,A B
6982ff0697c92115623a59b4,science,7,7.0,Classification of elements - the periodic table,english,Average,mcq,1.0,Which water is in the purest form?,"[""Well water"", ""Mineral water"", ""Distilled water"", ""Rainwater""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,693950e553371e8aeb7ead74,7,True,61.76470588235294,science_7.pdf,A B
6982ff0697c92115623a59bb,science,7,7.0,Classification of elements - the periodic table,english,Average,mcq,1.0,Infiltration means:,"[""Process of water flowing over the ground"", ""Process of water seeping into the ground"", ""Process of absorption in the top layer of the ground"", ""Process of water standing on the ground""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,693950e553371e8aeb7ead74,7,True,73.6842105263158,science_7.pdf,A B
6982ff0697c92115623a59be,science,7,7.0,Classification of elements - the periodic table,english,Easy,mcq,1.0,Decrease in water content in the body is called:,"[""Salinization"", ""Desalination"", ""Hydration"", ""Dehydration""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,693950e553371e8aeb7ead74,7,True,52.08333333333333,science_7.pdf,A B
6982ff0697c92115623a59c0,science,7,7.0,Classification of elements - the periodic table,english,Average,mcq,1.0,Simple method of purifying fresh water:,"[""Chlorination"", ""Fluorination"", ""Aeration"", ""Filtration""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,693950e553371e8aeb7ead74,7,True,53.84615384615385,science_7.pdf,A B
6982ff0697c92115623a59c2,science,7,7.0,Classification of elements - the periodic table,english,Easy,mcq,1.0,A source from which water is obtained from a borewell or the ground is called:,"[""Pumpwell"", ""Groundwater"", ""River"", ""Lake""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,693950e553371e8aeb7ead74,7,False,47.43589743589743,science_7.pdf,A B
6982ff0697c92115623a59c3,science,7,7.0,Classification of elements - the periodic table,english,Average,mcq,1.0,Choose the correct one: Total water,"[""Remains stable in the world's lakes and rivers."", ""Remains stable underground."", ""Remains in seas and oceans."", ""Remains stable throughout the world.""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,693950e553371e8aeb7ead74,7,True,54.28571428571429,science_7.pdf,A B
6982ff0697c92115623a59c8,science,7,7.0,Classification of elements - the periodic table,english,Average,mcq,1.0,Which of the following is not a reason for water scarcity?,"[""Rapid industrial growth"", ""Population increase"", ""Heavy rainfall"", ""Improper management of water \nresources""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,693950e553371e8aeb7ead74,7,True,55.172413793103445,science_7.pdf,A B
6982ff0697c92115623a59ca,science,7,7.0,Classification of elements - the periodic table,english,Easy,mcq,1.0,Traditional methods of collecting rainwater:,"[""Borewells"", ""Tanks"", ""Rainwater harvesting"", ""Pits""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,693950e553371e8aeb7ead74,7,True,52.27272727272727,science_7.pdf,A B
6982ff0697c92115623a59cd,science,7,7.0,Classification of elements - the periodic table,english,Difficult,mcq,1.0,When the processes involved in the water cycle are written in the correct order:,"[""Precipitation, Condensation, Evaporation"", ""Evaporation, Precipitation, Condensation"", ""Evaporation, Condensation, Precipitation"", ""Condensation, Precipitation E. Precipitation, Evaporation, Condensation""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,693950e553371e8aeb7ead74,7,True,53.75,science_7.pdf,A B
6982ff0697c92115623a59d4,science,7,7.0,Classification of elements - the periodic table,english,Average,fill_in_the_blank,1.0,The process of removing pollutants from water is called ---------.,[],Required Answer,LBA,2025-26,Fill in the Blanks,693950e553371e8aeb7ead74,7,False,48.484848484848484,science_7.pdf,A B
6982ff0697c92115623a59d5,science,7,7.0,Classification of elements - the periodic table,english,Average,fill_in_the_blank,1.0,Sludge or sediment contains -------- water.,[],Required Answer,LBA,2025-26,Fill in the Blanks,693950e553371e8aeb7ead74,7,False,44.18604651162791,science_7.pdf,A B
6982ff0697c92115623a59d9,science,7,7.0,Classification of elements - the periodic table,english,Average,fill_in_the_blank,1.0,Water purification is a process of separating -------------.,[],Required Answer,LBA,2025-26,Fill in the Blanks,693950e553371e8aeb7ead74,7,False,44.99999999999999,science_7.pdf,A B
6982ff0697c92115623a59dc,science,7,7.0,Classification of elements - the periodic table,english,Average,fill_in_the_blank,1.0,Sewers are clogged by -------and ------.,[],Required Answer,LBA,2025-26,Fill in the Blanks,693950e553371e8aeb7ead74,7,False,40.0,science_7.pdf,A B
6982ff0697c92115623a59e1,science,7,7.0,Classification of elements - the periodic table,english,Difficult,short_answer,1.0,What is the difference between water before and after treatment?,[],Required Answer,LBA,2025-26,One Sentence Answers,693950e553371e8aeb7ead74,7,True,62.5,science_7.pdf,A B
6982ff0697c92115623a59ec,science,7,7.0,Classification of elements - the periodic table,english,Average,short_answer,2.0,What are other types of waste materials you encounter in your daily life?,[],Required Answer,LBA,2025-26,Answer in Two Sentences,693950e553371e8aeb7ead74,7,False,47.945205479452056,science_7.pdf,A B
6982ff0697c92115623a59ee,science,7,7.0,Classification of elements - the periodic table,english,Difficult,short_answer,2.0,How can impurities in sewage water be categorized?,[],Required Answer,LBA,2025-26,Answer in Two Sentences,693950e553371e8aeb7ead74,7,True,50.0,science_7.pdf,A B
6982ff0697c92115623a59ef,science,7,7.0,Classification of elements - the periodic table,english,Average,short_answer,2.0,What are sewers?,[],Required Answer,LBA,2025-26,Answer in Two Sentences,693950e553371e8aeb7ead74,7,True,56.25,science_7.pdf,A B
6982ff0697c92115623a59f2,science,7,7.0,Classification of elements - the periodic table,english,Difficult,short_answer,2.0,Why should cooking oil and fats be avoided from being poured into drains?,[],Required Answer,LBA,2025-26,Answer in Two Sentences,693950e553371e8aeb7ead74,7,False,46.57534246575342,science_7.pdf,A B
6982ff0697c92115623a59f3,science,7,7.0,Classification of elements - the periodic table,english,Difficult,short_answer,2.0,"What are other waterborne diseases that can arise if hygiene practices are not 
followed?",[],Required Answer,LBA,2025-26,Answer in Two Sentences,693950e553371e8aeb7ead74,7,False,48.86363636363637,science_7.pdf,A B
6982ff0697c92115623a59f7,science,7,7.0,Classification of elements - the periodic table,english,Difficult,fill_in_the_blank,3.0,"Which household items, when thrown/released into water sources, pollute ?",[],Required Answer,LBA,2025-26,Answer in Three Sentences,693950e553371e8aeb7ead74,7,False,45.205479452054796,science_7.pdf,A B
6982ff0697c92115623a59f8,science,7,7.0,Classification of elements - the periodic table,english,Difficult,fill_in_the_blank,4.0,What are the steps involved in sewage treatment?,[],Required Answer,LBA,2025-26,Answer in Four Sentences,693950e553371e8aeb7ead74,7,True,52.08333333333333,science_7.pdf,A B
6982ff0697c92115623a599f,science,7,7.0,Classification of elements - the periodic table,english,Easy,mcq,1.0,Wastewater flowing out from here is not a source of waste:,"[""Sinks"", ""Bathroom"", ""Toilet"", ""River""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,693950e553371e8aeb7ead74,7,True,53.448275862068975,science_7.pdf,A B
6982ff0697c92115623a59a3,science,7,7.0,Classification of elements - the periodic table,english,Easy,mcq,1.0,The process of treating wastewater:,"[""Sewage treatment"", ""Drinking water treatment"", ""River water treatment"", ""None of the above""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,693950e553371e8aeb7ead74,7,True,68.57142857142857,science_7.pdf,A B
6982ff0697c92115623a59a7,science,7,7.0,Classification of elements - the periodic table,english,Easy,mcq,1.0,"The objective of ""Swachh Bharat Abhiyan"" launched by the Government of India in 
2016:","[""Toilets for everyone"", ""Sewage disposal"", ""Improving sanitation in public places"", ""All of the above""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,693950e553371e8aeb7ead74,7,False,43.529411764705884,science_7.pdf,A B
6982ff0697c92115623a59a8,science,7,7.0,Classification of elements - the periodic table,english,Easy,mcq,1.0,A disease not spread by water pollution:,"[""Cholera"", ""Typhoid"", ""Beriberi"", ""Polio""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,693950e553371e8aeb7ead74,7,True,50.0,science_7.pdf,A B
6982ff0697c92115623a59aa,science,7,7.0,Classification of elements - the periodic table,english,Average,mcq,1.0,Method of separating large objects in a wastewater treatment plant:,"[""Passing wastewater through bar screens"", ""Passing through tanks to separate grit and wood"", ""Allowing water to settle in a large tank with a sloping bottom"", ""Blowing air into the wastewater""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,693950e553371e8aeb7ead74,7,True,50.74626865671642,science_7.pdf,A B
6982ff0697c92115623a59ab,science,7,7.0,Classification of elements - the periodic table,english,Average,mcq,1.0,Reason for blowing air into clarified water in a wastewater treatment plant:,"[""To separate solid impurities"", ""To promote the growth of aerobic bacteria"", ""To separate scum"", ""To remove organic matter""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,693950e553371e8aeb7ead74,7,True,52.63157894736843,science_7.pdf,A B
6982ff0697c92115623a59ac,science,7,7.0,Classification of elements - the periodic table,english,Easy,mcq,1.0,To maintain hygiene in public places:,"[""Not throwing garbage everywhere"", ""Not spreading garbage"", ""Disposing of garbage in nearby dustbins"", ""All of the above""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,693950e553371e8aeb7ead74,7,True,56.75675675675676,science_7.pdf,A B
6982ff0697c92115623a59ad,science,7,7.0,Classification of elements - the periodic table,english,Average,mcq,1.0,Reason for the decrease in aquatic plant and animal populations in water:,"[""Nitrogen deficiency"", ""Hydrogen deficiency"", ""Deficiency of dissolved oxygen in water"", ""Chlorine deficiency""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,693950e553371e8aeb7ead74,7,True,50.68493150684932,science_7.pdf,A B
6982ff0697c92115623a59b0,science,7,7.0,Classification of elements - the periodic table,english,Average,mcq,1.0,Approximate percentage of Earth's surface covered by water:,"[""90%"", ""10%"", ""27%"", ""71%""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,693950e553371e8aeb7ead74,7,False,47.45762711864406,science_7.pdf,A B
6982ff0697c92115623a59b6,science,7,7.0,Classification of elements - the periodic table,english,Easy,mcq,1.0,A word not related to the water cycle process:,"[""Groundwater"", ""Agriculture"", ""Evaporation"", ""Clouds""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,693950e553371e8aeb7ead74,7,True,58.69565217391304,science_7.pdf,A B
6982ff0697c92115623a59b8,science,7,7.0,Classification of elements - the periodic table,english,Easy,mcq,1.0,The most important reason for groundwater level depletion:,"[""Deforestation"", ""Agricultural activities"", ""Evaporation"", ""Drought""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,693950e553371e8aeb7ead74,7,True,63.793103448275865,science_7.pdf,A B
6982ff0697c92115623a59bd,science,7,7.0,Classification of elements - the periodic table,english,Easy,mcq,1.0,The process of adding substances that pollute water to water is called:,"[""Soil pollution"", ""Water pollution"", ""Aquatic animal nutrition"", ""Environmental conservation""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,693950e553371e8aeb7ead74,7,False,49.29577464788733,science_7.pdf,A B
6982ff0697c92115623a59c5,science,7,7.0,Classification of elements - the periodic table,english,Average,mcq,1.0,Drip irrigation system means:,"[""Using water sparingly"", ""Pouring water haphazardly"", ""Using water indiscriminately"", ""Not using water""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,693950e553371e8aeb7ead74,7,True,51.72413793103448,science_7.pdf,A B
6982ff0697c92115623a59cb,science,7,7.0,Classification of elements - the periodic table,english,Easy,mcq,1.0,"Complete the slogan: Our water, our ______","[""Lifeline"", ""Success"", ""Failure"", ""Fatigue""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,693950e553371e8aeb7ead74,7,False,45.45454545454546,science_7.pdf,A B
6982ff0697c92115623a59cc,science,7,7.0,Classification of elements - the periodic table,english,Average,mcq,1.0,We store the maximum amount of Earth's water here:,"[""Oceans"", ""Rivers"", ""Lakes"", ""Glaciers and ice caps""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,693950e553371e8aeb7ead74,7,False,48.0,science_7.pdf,A B
6982ff0697c92115623a59d7,science,7,7.0,Classification of elements - the periodic table,english,Average,fill_in_the_blank,1.0,The easiest method to purify fresh water is------------.,[],Required Answer,LBA,2025-26,Fill in the Blanks,693950e553371e8aeb7ead74,7,False,46.42857142857143,science_7.pdf,A B
6982ff0697c92115623a59d8,science,7,7.0,Classification of elements - the periodic table,english,Average,fill_in_the_blank,1.0,"The method of adding substances that pollute water to water is called----------
.",[],Required Answer,LBA,2025-26,Fill in the Blanks,693950e553371e8aeb7ead74,7,False,43.20987654320988,science_7.pdf,A B
6982ff0697c92115623a59da,science,7,7.0,Classification of elements - the periodic table,english,Average,fill_in_the_blank,1.0,Wastewater released from homes is called --------------.,[],Required Answer,LBA,2025-26,Fill in the Blanks,693950e553371e8aeb7ead74,7,False,44.64285714285714,science_7.pdf,A B
6982ff0697c92115623a59db,science,7,7.0,Classification of elements - the periodic table,english,Average,fill_in_the_blank,1.0,Dried --------- is used as fertilizer.,[],Required Answer,LBA,2025-26,Fill in the Blanks,693950e553371e8aeb7ead74,7,False,42.10526315789473,science_7.pdf,A B
6982ff0697c92115623a59df,science,7,7.0,Classification of elements - the periodic table,english,Average,short_answer,1.0,What can be done to manage the use of fresh water and the disposal of wastewater?,[],Required Answer,LBA,2025-26,One Sentence Answers,693950e553371e8aeb7ead74,7,True,51.85185185185186,science_7.pdf,A B
6982ff0697c92115623a59e2,science,7,7.0,Classification of elements - the periodic table,english,Difficult,short_answer,1.0,What can we do with the water obtained after sewage treatment?,[],Required Answer,LBA,2025-26,One Sentence Answers,693950e553371e8aeb7ead74,7,True,50.0,science_7.pdf,A B
6982ff0697c92115623a59e3,science,7,7.0,Classification of elements - the periodic table,english,Average,short_answer,1.0,How can we disinfect water?,[],Required Answer,LBA,2025-26,One Sentence Answers,693950e553371e8aeb7ead74,7,True,55.55555555555556,science_7.pdf,A B
6982ff0697c92115623a59e4,science,7,7.0,Classification of elements - the periodic table,english,Difficult,short_answer,1.0,What is the purpose of aeration?,[],Required Answer,LBA,2025-26,One Sentence Answers,693950e553371e8aeb7ead74,7,True,71.875,science_7.pdf,A B
6982ff0697c92115623a59eb,science,7,7.0,Classification of elements - the periodic table,english,Average,short_answer,2.0,What is wastewater?,[],Required Answer,LBA,2025-26,Answer in Two Sentences,693950e553371e8aeb7ead74,7,True,73.33333333333334,science_7.pdf,A B
6982ff0697c92115623a59f0,science,7,7.0,Classification of elements - the periodic table,english,Difficult,short_answer,2.0,"What are the environmental consequences if sewage water is not properly treated 
before being released into natural water bodies?",[],Required Answer,LBA,2025-26,Answer in Two Sentences,693950e553371e8aeb7ead74,7,True,50.78125,science_7.pdf,A B
6982ff0697c92115623a59f5,science,7,7.0,Classification of elements - the periodic table,english,Average,fill_in_the_blank,3.0,What is the necessity of sewage pipes?,[],Required Answer,LBA,2025-26,Answer in Three Sentences,693950e553371e8aeb7ead74,7,True,60.526315789473685,science_7.pdf,A B
