question_id,subject,class,chapter_number,chapter_title,medium,difficulty,answer_type,marks,text,options,key_answer,exam_type,year,group_heading,chapter_id,standard,found_in_pdf,match_score,pdf_source,pdf_section
6982ff0697c92115623a586c,science,7,3.0,Motion and Time,english,Average,mcq,1.0,Motion of eight planets around the Sun,"[""Periodic motion"", ""Rectilinear motion"", ""Circular, rotational motion"", ""Revolutionary motion""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca5c1,7,False,42.10526315789473,science_7.pdf,And
6982ff0697c92115623a5872,science,7,3.0,Motion and Time,english,Difficult,mcq,1.0,"In the image below, if Rani starts from A and reaches B, then from B to C, then from 
C to D, and then from D to E, her total distance traveled","[""32 m"", ""39 m"", ""33 m"", ""23 m""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca5c1,7,False,42.25352112676056,science_7.pdf,And
6982ff0697c92115623a587b,science,7,3.0,Motion and Time,english,Difficult,mcq,1.0,The distance time graphs shows a truck moving with speed which is not constant,"[""\u2170"", ""\u2171"", ""\u2172"", ""\u2173""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca5c1,7,False,46.15384615384615,science_7.pdf,And
6982ff0697c92115623a5881,science,7,3.0,Motion and Time,english,Easy,mcq,1.0,International unit of measurement for speed is,"[""km/h"", ""meter/second"", ""Second"", ""Kilogram""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca5c1,7,False,45.652173913043484,science_7.pdf,And
6982ff0697c92115623a5884,science,7,3.0,Motion and Time,english,Easy,mcq,1.0,"In uniform motion, distance is covered as","[""Unequal"", ""Less"", ""Equal"", ""Zero""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca5c1,7,False,46.34146341463414,science_7.pdf,And
6982ff0697c92115623a5886,science,7,3.0,Motion and Time,english,Easy,fill_in_the_blank,1.0,"If motion has both direction and distance, it is called ___________.",[],Required Answer,LBA,2025-26,Fill in the Blanks,67449b18065a2c5cd2dca5c1,7,False,45.58823529411765,science_7.pdf,And
6982ff0697c92115623a5888,science,7,3.0,Motion and Time,english,Easy,fill_in_the_blank,1.0,The ___________ instrument is used to indicate speed.,[],Required Answer,LBA,2025-26,Fill in the Blanks,67449b18065a2c5cd2dca5c1,7,False,43.39622641509434,science_7.pdf,And
6982ff0697c92115623a588b,science,7,3.0,Motion and Time,english,Easy,fill_in_the_blank,1.0,Speed = ___________ ÷ Time.,[],Required Answer,LBA,2025-26,Fill in the Blanks,67449b18065a2c5cd2dca5c1,7,False,28.000000000000004,science_7.pdf,And
6982ff0697c92115623a588e,science,7,3.0,Motion and Time,english,Easy,fill_in_the_blank,1.0,Distance travelled = Speed × ___________.,[],Required Answer,LBA,2025-26,Fill in the Blanks,67449b18065a2c5cd2dca5c1,7,False,35.89743589743589,science_7.pdf,And
6982ff0697c92115623a586b,science,7,3.0,Motion and Time,english,Average,mcq,1.0,An example of oscillatory/periodic motion.,"[""Motion of a bus"", ""Motion of a swing"", ""Motion of an ox in a sugarcane press"", ""Motion of the Earth around the Sun""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca5c1,7,False,42.85714285714286,science_7.pdf,And
6982ff0697c92115623a586e,science,7,3.0,Motion and Time,english,Easy,mcq,1.0,An example of rectilinear motion,"[""Motion of clock hands"", ""Motion of a train"", ""Motion of a snake"", ""Motion of a swing""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca5c1,7,False,43.75,science_7.pdf,And
6982ff0697c92115623a586f,science,7,3.0,Motion and Time,english,Easy,mcq,1.0,International unit of speed,"[""Meter per second (m/s)"", ""Centimetre per second (cm/s)"", ""Millimetre per second (mm/s)"", ""Kilometre per second (km/s)""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca5c1,7,False,48.14814814814815,science_7.pdf,And
6982ff0697c92115623a5870,science,7,3.0,Motion and Time,english,Average,mcq,1.0,Formula used to find speed,"[""Speed = Distance travelled \u00f7 Time taken"", ""Speed = Time taken \u00f7 Distance travelled"", ""Speed = Distance travelled \u00d7 Time"", ""Speed = Acceleration \u00d7 Time""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca5c1,7,False,46.15384615384615,science_7.pdf,And
6982ff0697c92115623a5871,science,7,3.0,Motion and Time,english,Average,mcq,1.0,Distance covered by a bus traveling at a speed of 60 km/h in 20 minutes,"[""80 km"", ""120 km"", ""30 km"", ""40 km""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca5c1,7,False,39.43661971830986,science_7.pdf,And
6982ff0697c92115623a5875,science,7,3.0,Motion and Time,english,Average,mcq,1.0,Body A covers a certain distance in less time than Body,"[""Here, the speed of Body A \nis"", ""Less than the speed of Body"", ""B. Greater than the speed of Body"", ""C. Equal to the speed of Body""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca5c1,7,False,45.45454545454546,science_7.pdf,And
6982ff0697c92115623a5878,science,7,3.0,Motion and Time,english,Difficult,mcq,1.0,"According to this distance-time graph, the speed of the object is","[""20 m/s"", ""80 m/s"", ""5 m/s"", ""4 m/s""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca5c1,7,False,46.15384615384615,science_7.pdf,And
6982ff0697c92115623a586d,science,7,3.0,Motion and Time,english,Easy,mcq,1.0,Instrument for measuring the distance travelled by a scooter,"[""Odometer"", ""Thermometer"", ""Temperature gauge"", ""Lactometer""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca5c1,7,False,46.666666666666664,science_7.pdf,And
6982ff0697c92115623a5873,science,7,3.0,Motion and Time,english,Difficult,mcq,1.0,"If an object moving in a circular path starts from point A and returns to point A again, 
the distance it traveled is","[""\ud835\udf0b\ud835\udc5f2"", ""2\ud835\udf0b\ud835\udc5f"", ""\ud835\udf0b\ud835\udc5f"", ""\ud835\udf0b\ud835\udc5f3""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca5c1,7,False,41.379310344827594,science_7.pdf,And
6982ff0697c92115623a587c,science,7,3.0,Motion and Time,english,Average,mcq,1.0,"In this bar chart (distance-time graph), which person has run more runs?","[""Person E"", ""Person F"", ""Person B"", ""Person C""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca5c1,7,False,44.44444444444444,science_7.pdf,And
6982ff0697c92115623a587d,science,7,3.0,Motion and Time,english,Average,mcq,1.0,Speed and velocity are different from each other because,"[""They have the same direction and magnitude"", ""The magnitude may be the same but the direction may be different"", ""Both have the same magnitude"", ""Both may have the same direction""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca5c1,7,False,42.85714285714286,science_7.pdf,And
6982ff0697c92115623a587f,science,7,3.0,Motion and Time,english,Easy,mcq,1.0,The unit commonly used to measure distance of motion,"[""Second"", ""Meter"", ""Litre"", ""Gram""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca5c1,7,False,48.54368932038835,science_7.pdf,And
6982ff0697c92115623a5880,science,7,3.0,Motion and Time,english,Average,mcq,1.0,Speed can be calculated as,"[""Time \u00f7 Distance"", ""Distance \u00f7 Time"", ""Speed \u00d7 Time"", ""Time \u00d7 Direction""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca5c1,7,False,42.553191489361694,science_7.pdf,And
6982ff0697c92115623a5882,science,7,3.0,Motion and Time,english,Easy,mcq,1.0,Example of uniform motion is,"[""A running person"", ""Clock hands"", ""A cyclist"", ""Blowing wind""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca5c1,7,False,44.44444444444444,science_7.pdf,And
6982ff0697c92115623a5887,science,7,3.0,Motion and Time,english,Easy,fill_in_the_blank,1.0,"In a clock, one hour = ___________ minutes.",[],Required Answer,LBA,2025-26,Fill in the Blanks,67449b18065a2c5cd2dca5c1,7,False,37.2093023255814,science_7.pdf,And
6982ff0697c92115623a5889,science,7,3.0,Motion and Time,english,Easy,fill_in_the_blank,1.0,1 hour = ___________ seconds.,[],Required Answer,LBA,2025-26,Fill in the Blanks,67449b18065a2c5cd2dca5c1,7,False,32.14285714285714,science_7.pdf,And
6982ff0697c92115623a588a,science,7,3.0,Motion and Time,english,Easy,fill_in_the_blank,1.0,The SI unit for measuring time is ___________.,[],Required Answer,LBA,2025-26,Fill in the Blanks,67449b18065a2c5cd2dca5c1,7,False,39.13043478260869,science_7.pdf,And
6982ff0697c92115623a588c,science,7,3.0,Motion and Time,english,Easy,fill_in_the_blank,1.0,"In uniform motion, an object covers ___________ distance.",[],Required Answer,LBA,2025-26,Fill in the Blanks,67449b18065a2c5cd2dca5c1,7,False,40.35087719298246,science_7.pdf,And
