question_id,subject,class,chapter_number,chapter_title,medium,difficulty,answer_type,marks,text,options,key_answer,exam_type,year,group_heading,chapter_id,standard,found_in_pdf,match_score,pdf_source,pdf_section
6982fed297c92115623a578d,social science,7,9.0,DEFENCE FORCES,english,Average,mcq,1.0,"The defence portfolios of our nation are given to the following people:       
 A. Ministers                         B. Deputy Ministers  
C. Prime Ministers                D. DefenceMinisters",[],To be provided,LBA,2025-26,Multiple Choice Questions,67caa8c59f0501ae9196c50b,7,True,84.61538461538461,social_science_7.pdf,Defence Forces
6982fed297c92115623a578f,social science,7,9.0,DEFENCE FORCES,english,Average,mcq,1.0,"Kargil war was fought in which year:       
 A.1997                                  B.1996  
 C.1999                                  D .1998",[],To be provided,LBA,2025-26,Multiple Choice Questions,67caa8c59f0501ae9196c50b,7,False,38.46153846153846,social_science_7.pdf,Defence Forces
6982fed297c92115623a5790,social science,7,9.0,DEFENCE FORCES,english,Average,mcq,1.0,"Which is the right group for Indian defence forces:       
A. Border Security Force, Border Guards Organization. 
B. Naval and Air Force 
C. Border Guards, Border Security Force 
D. National Guards, Home Guards",[],To be provided,LBA,2025-26,Multiple Choice Questions,67caa8c59f0501ae9196c50b,7,False,46.15384615384615,social_science_7.pdf,Defence Forces
6982fed297c92115623a5799,social science,7,9.0,DEFENCE FORCES,english,Average,mcq,1.0,"He is the President of the Indian red Cross Society.       
A. Chief Minister                  B. President 
C. Vice-president                  D. Prime Minister",[],To be provided,LBA,2025-26,Multiple Choice Questions,67caa8c59f0501ae9196c50b,7,True,81.81818181818181,social_science_7.pdf,Defence Forces
6982fed297c92115623a579d,social science,7,9.0,DEFENCE FORCES,english,Average,mcq,1.0,The 3 defence forces are deployed during __________ festivals in their respective areas.,[],To be provided,LBA,2025-26,Multiple Choice Questions,67caa8c59f0501ae9196c50b,7,True,53.84615384615385,social_science_7.pdf,Defence Forces
6982fed297c92115623a579e,social science,7,9.0,DEFENCE FORCES,english,Average,mcq,1.0,The naval base is in _________.,[],To be provided,LBA,2025-26,Multiple Choice Questions,67caa8c59f0501ae9196c50b,7,False,38.46153846153846,social_science_7.pdf,Defence Forces
6982fed297c92115623a57a1,social science,7,9.0,DEFENCE FORCES,english,Average,mcq,1.0,The main aim of _______ is to create awareness of the responsibility for protection of the nation.,[],To be provided,LBA,2025-26,Multiple Choice Questions,67caa8c59f0501ae9196c50b,7,False,42.10526315789473,social_science_7.pdf,Defence Forces
6982fed297c92115623a57a2,social science,7,9.0,DEFENCE FORCES,english,Average,short_answer,2.0,What are the responsibilities of the defence forces?,[],To be provided,LBA,2025-26,Answer in Two Sentences,67caa8c59f0501ae9196c50b,7,False,46.15384615384615,social_science_7.pdf,Defence Forces
6982fed297c92115623a57a5,social science,7,9.0,DEFENCE FORCES,english,Average,short_answer,2.0,What is the role of the defence force in the defence of the enemy?,[],To be provided,LBA,2025-26,Answer in Two Sentences,67caa8c59f0501ae9196c50b,7,True,53.84615384615385,social_science_7.pdf,Defence Forces
6982fed297c92115623a578e,social science,7,9.0,DEFENCE FORCES,english,Average,mcq,1.0,"Headquarters of Indian Army is located at:       
A. Bangalore                         B. New Delhi 
C. Mumbai                            D. Kolkata",[],To be provided,LBA,2025-26,Multiple Choice Questions,67caa8c59f0501ae9196c50b,7,False,40.0,social_science_7.pdf,Defence Forces
6982fed297c92115623a5792,social science,7,9.0,DEFENCE FORCES,english,Average,mcq,1.0,"Defense College of India: New Delhi:: Indian Military Academy :______       
A. Udaka Mandal                           B. Mumbai 
C. Deharadund.                              D. Pune",[],To be provided,LBA,2025-26,Multiple Choice Questions,67caa8c59f0501ae9196c50b,7,True,53.84615384615385,social_science_7.pdf,Defence Forces
6982fed297c92115623a5793,social science,7,9.0,DEFENCE FORCES,english,Average,mcq,1.0,"Seabird naval base is found in this State.       
A. Goa                        B. Kerala 
C. Maharashtra           D. Karnataka",[],To be provided,LBA,2025-26,Multiple Choice Questions,67caa8c59f0501ae9196c50b,7,False,46.15384615384615,social_science_7.pdf,Defence Forces
6982fed297c92115623a5794,social science,7,9.0,DEFENCE FORCES,english,Average,mcq,1.0,"Airport: Air ChiefMarshal: : Navy: ______       
A. General                        B. Admiral 
C. Lieutenant                    D. Commander 
5",[],To be provided,LBA,2025-26,Multiple Choice Questions,67caa8c59f0501ae9196c50b,7,False,46.15384615384615,social_science_7.pdf,Defence Forces
