question_id,subject,class,chapter_number,chapter_title,medium,difficulty,answer_type,marks,text,options,key_answer,exam_type,year,group_heading,chapter_id,standard,found_in_pdf,match_score,pdf_source,pdf_section
698c22e4ec065fd7420d7a31,english,7,6.0,POEM: WHY GOD MADE TEACHERS,English,Average,fill_in_the_blank,1.0,"Project work: Prepare bow and arrows using the available materials and use them during role
play in your class. 
WHY GOD MADE TEACHERS (Poem)",[],,LBA,2025-26,Short Answers,67ca912d9f0501ae9196ad5e,7,False,42.57028112449799,english_7.pdf,Teachers
698c22e4ec065fd7420d7a32,english,7,6.0,POEM: WHY GOD MADE TEACHERS,English,Easy,mcq,1.0,By creating teachers God gave us,"[""siblings"", ""enemies"", ""gifts"", ""special friends""]",,LBA,2025-26,Multiple Choice Questions,67ca912d9f0501ae9196ad5e,7,False,46.875,english_7.pdf,Teachers
698c22e4ec065fd7420d7a33,english,7,6.0,POEM: WHY GOD MADE TEACHERS,English,Easy,mcq,1.0,The rhyming word for strong is,"[""long"", ""short"", ""big"", ""beautiful""]",,LBA,2025-26,Multiple Choice Questions,67ca912d9f0501ae9196ad5e,7,True,50.0,english_7.pdf,Teachers
698c22e4ec065fd7420d7a34,english,7,6.0,POEM: WHY GOD MADE TEACHERS,English,Easy,mcq,1.0,Choose the correctly spelt word,"[""techer"", ""teachre"", ""teacher"", ""taechar""]",,LBA,2025-26,Multiple Choice Questions,67ca912d9f0501ae9196ad5e,7,False,48.97959183673469,english_7.pdf,Teachers
698c22e4ec065fd7420d7a35,english,7,6.0,POEM: WHY GOD MADE TEACHERS,English,Easy,fill_in_the_blank,2.0,Who created teachers?,[],,LBA,2025-26,Answer in Two or More Sentences,67ca912d9f0501ae9196ad5e,7,False,47.61904761904761,english_7.pdf,Teachers
698c22e4ec065fd7420d7a36,english,7,6.0,POEM: WHY GOD MADE TEACHERS,English,Average,fill_in_the_blank,2.0,What quality of your teacher you like the most?,[],,LBA,2025-26,Answer in Two or More Sentences,67ca912d9f0501ae9196ad5e,7,False,43.67816091954023,english_7.pdf,Teachers
698c22e4ec065fd7420d7a37,english,7,6.0,POEM: WHY GOD MADE TEACHERS,English,Difficult,fill_in_the_blank,2.0,"‘We can change the world with the help of teachers’, justify your answer.",[],,LBA,2025-26,Answer in Two or More Sentences,67ca912d9f0501ae9196ad5e,7,False,45.21739130434783,english_7.pdf,Teachers
698c22e4ec065fd7420d7a38,english,7,6.0,POEM: WHY GOD MADE TEACHERS,English,Easy,fill_in_the_blank,2.0,Who wrote the poem ‘Why God Made Teachers’?,[],,LBA,2025-26,Answer in Two or More Sentences,67ca912d9f0501ae9196ad5e,7,False,48.57142857142858,english_7.pdf,Teachers
698c22e4ec065fd7420d7a39,english,7,6.0,POEM: WHY GOD MADE TEACHERS,English,Average,fill_in_the_blank,1.0,"Re-arrange the given lines as you find in the poem: 
How to live and how to do
To show us ways in which to grow
He gave us special guides
When God created teachers,
So we can all decide",[],,LBA,2025-26,Short Answers,67ca912d9f0501ae9196ad5e,7,False,45.070422535211264,english_7.pdf,Teachers
698c22e4ec065fd7420d7a3a,english,7,6.0,POEM: WHY GOD MADE TEACHERS,English,Average,fill_in_the_blank,1.0,"Project work: Collect pictures of your teachers and prepare an album. 
-------------------------------",[],,LBA,2025-26,Short Answers,67ca912d9f0501ae9196ad5e,7,False,36.58536585365854,english_7.pdf,Teachers
698c22e4ec065fd7420d7a3b,english,7,6.0,POEM: WHY GOD MADE TEACHERS,English,Easy,mcq,1.0,Past tense form of the word” work” is,"[""working"", ""worked"", ""work"", ""works""]",,LBA,2025-26,Multiple Choice Questions,67ca912d9f0501ae9196ad5e,7,True,54.28571428571429,english_7.pdf,Teachers
698c22e4ec065fd7420d7a3c,english,7,6.0,POEM: WHY GOD MADE TEACHERS,English,Easy,mcq,1.0,Dhira was a,"[""hard working boy"", ""lazy boy"", ""neglected boy"", ""rich boy""]",,LBA,2025-26,Multiple Choice Questions,67ca912d9f0501ae9196ad5e,7,False,45.45454545454546,english_7.pdf,Teachers
