question_id,subject,class,chapter_number,chapter_title,medium,difficulty,answer_type,marks,text,options,key_answer,exam_type,year,group_heading,chapter_id,standard,found_in_pdf,match_score,pdf_source,pdf_section
6982fed297c92115623a5742,social science,7,6.0,KARNATAKA - ECONOMIC AND SOCIAL TRANSFORMATION,english,Average,mcq,1.0,"These laws played a decisive role in the abolition of the zamindari system.        
A. 1955 Land Reforms Act  
B. 1957 Land Reforms Act  
C.1974 Land Reforms Act  
D. none",[],To be provided,LBA,2025-26,Multiple Choice Questions,67caa8c59f0501ae9196c503,7,False,39.28571428571429,social_science_7.pdf,And
6982fed297c92115623a574d,social science,7,6.0,KARNATAKA - ECONOMIC AND SOCIAL TRANSFORMATION,english,Average,short_answer,1.0,Under whose leadership was a committee formed in 1955 as part of the abolition of the zamindari system?,[],To be provided,LBA,2025-26,One Sentence Answers,67caa8c59f0501ae9196c503,7,False,36.904761904761905,social_science_7.pdf,And
6982fed297c92115623a574f,social science,7,6.0,KARNATAKA - ECONOMIC AND SOCIAL TRANSFORMATION,english,Average,short_answer,1.0,Who was the chairman of the Backward Classes Commission appointed in 1975?,[],To be provided,LBA,2025-26,One Sentence Answers,67caa8c59f0501ae9196c503,7,False,40.33613445378151,social_science_7.pdf,And
6982fed297c92115623a5751,social science,7,6.0,KARNATAKA - ECONOMIC AND SOCIAL TRANSFORMATION,english,Average,short_answer,1.0,Who is the founder of the Panchayat Raj system in Karnataka?,[],To be provided,LBA,2025-26,One Sentence Answers,67caa8c59f0501ae9196c503,7,False,43.333333333333336,social_science_7.pdf,And
6982fed297c92115623a5754,social science,7,6.0,KARNATAKA - ECONOMIC AND SOCIAL TRANSFORMATION,english,Average,short_answer,1.0,What are the land reforms implemented in Karnataka?,[],To be provided,LBA,2025-26,One Sentence Answers,67caa8c59f0501ae9196c503,7,False,39.21568627450981,social_science_7.pdf,And
6982fed297c92115623a5756,social science,7,6.0,KARNATAKA - ECONOMIC AND SOCIAL TRANSFORMATION,english,Average,short_answer,1.0,What is economic tenure?,[],To be provided,LBA,2025-26,One Sentence Answers,67caa8c59f0501ae9196c503,7,False,41.666666666666664,social_science_7.pdf,And
6982fed297c92115623a5759,social science,7,6.0,KARNATAKA - ECONOMIC AND SOCIAL TRANSFORMATION,english,Average,short_answer,1.0,Who was the main leader who initiated the non-Brahmin movement in the Mysore State?,[],To be provided,LBA,2025-26,One Sentence Answers,67caa8c59f0501ae9196c503,7,False,37.704918032786885,social_science_7.pdf,And
6982fed297c92115623a573f,social science,7,6.0,KARNATAKA - ECONOMIC AND SOCIAL TRANSFORMATION,english,Average,mcq,1.0,"The measures implemented to remove the problems in land tenure are called.        
A. Social reform  
B. Land reform  
C. Economic reform  
D. Religious reform",[],To be provided,LBA,2025-26,Multiple Choice Questions,67caa8c59f0501ae9196c503,7,False,40.476190476190474,social_science_7.pdf,And
6982fed297c92115623a5740,social science,7,6.0,KARNATAKA - ECONOMIC AND SOCIAL TRANSFORMATION,english,Average,mcq,1.0,"Earlier, there were laws in favor of landowners, but they were not in favor of        
A. Laborers  
B Landlords  
C. Landowners  
D None",[],To be provided,LBA,2025-26,Multiple Choice Questions,67caa8c59f0501ae9196c503,7,False,36.904761904761905,social_science_7.pdf,And
6982fed297c92115623a5743,social science,7,6.0,KARNATAKA - ECONOMIC AND SOCIAL TRANSFORMATION,english,Average,mcq,1.0,"The Chief Minister who implemented the revolutionary law on land tenure in Karnataka        
A. S Nijalingappa 
B. KengalHanumanthaiyya 
C. D DevarajaUrs 
D. Siddaramaiah 
 
 
6",[],To be provided,LBA,2025-26,Multiple Choice Questions,67caa8c59f0501ae9196c503,7,False,44.047619047619044,social_science_7.pdf,And
