question_id,subject,class,chapter_number,chapter_title,medium,difficulty,answer_type,marks,text,options,key_answer,exam_type,year,group_heading,chapter_id,standard,found_in_pdf,match_score,pdf_source,pdf_section
68ecc60888af75bad6fbecb2,social science,10,1.0,Arrival of Europeans in India,English,Easy,short_answer,1.0,The First Carnatic War ended with the treaty of,"[""Pondicherry"", ""Aix-la-Chapelle"", ""Paris"", ""Wandi wash""]",Aix-la-Chapelle,,,Multiple Choice Questions,6953b6df7c95227c7c97ffa5,10,True,59.57446808510638,social_science_10.pdf,INDIA
68ecc60888af75bad6fbecb8,social science,10,1.0,Arrival of Europeans in India,English,Easy,short_answer,1.0,Who captured Constantinople in 1453?,[],Ottoman Turks,,,Answer in One Sentence,6953b6df7c95227c7c97ffa5,10,False,44.44444444444444,social_science_10.pdf,INDIA
68ecc60888af75bad6fbecc8,social science,10,1.0,Arrival of Europeans in India,English,Average,short_answer,3.0,What were the consequences of the Second Carnatic War? / Explain the Second Carnatic War.,[],"It ended with the Treaty of Pondicherry; the French recalled Dupleix; France suffered a political setback in India while British prestige rose, weakening French influence in South India.",,,Answer In Two To Four Sentences,6953b6df7c95227c7c97ffa5,10,True,59.45945945945945,social_science_10.pdf,INDIA
68ecc60888af75bad6fbecca,social science,10,1.0,Arrival of Europeans in India,English,Average,short_answer,3.0,What were the results of the Third Carnatic War?,[],"The British defeated the French; by the Treaty of Paris, Pondicherry was returned to France, but French political influence in India was effectively curtailed, consolidating British dominance.",,,Answer In Two To Four Sentences,6953b6df7c95227c7c97ffa5,10,True,61.728395061728406,social_science_10.pdf,INDIA
68ecc60888af75bad6fbeccc,social science,10,1.0,Arrival of Europeans in India,English,Average,short_answer,3.0,State the causes of the Battle of Buxar.,[],"Mir Qasim made Bengal trade duty-free which hurt Company interests; the Company deposed him for Mir Jafar; Mir Qasim organized resistance, leading to conflict culminating at Buxar.",,,Answer In Two To Four Sentences,6953b6df7c95227c7c97ffa5,10,True,70.0,social_science_10.pdf,INDIA
68ecc60888af75bad6fbecce,social science,10,1.0,Arrival of Europeans in India,English,Average,long_answer,5.0,State the consequences of the Battle of Buxar.,[],Shah Alam II granted the Company Diwani rights over Bengal; the Mughal emperor received an annual pension; the Company paid war indemnity; Mir Jafar’s heir got a pension; Company control over Bengal’s administration became complete; Robert Clive introduced Dual Government.,,,Answer In Six Sentences,6953b6df7c95227c7c97ffa5,10,True,65.21739130434783,social_science_10.pdf,INDIA
68ecc60888af75bad6fbecd2,social science,10,1.0,Arrival of Europeans in India,English,Average,long_answer,5.0,How did Marthanda Varma control the Dutch?,[],"He consolidated Travancore, shifted capital to Thiruvananthapuram, blocked Dutch control of the pepper trade, defeated Dutch forces (notably 1741), and by the 1753 treaty secured Dutch surrender of power and trading posts like Nedumangad and Kottarakkara.",,,Answer In Six Sentences,6953b6df7c95227c7c97ffa5,10,False,45.238095238095234,social_science_10.pdf,INDIA
68ecc60888af75bad6fbecac,social science,10,1.0,Arrival of Europeans in India,English,Easy,short_answer,1.0,The ‘Gateway to European Trade’,"[""Italy"", ""Constantinople"", ""Paris"", ""Arabia""]",Constantinople,,,Multiple Choice Questions,6953b6df7c95227c7c97ffa5,10,True,51.72413793103448,social_science_10.pdf,INDIA
68ecc60888af75bad6fbecb0,social science,10,1.0,Arrival of Europeans in India,English,Easy,short_answer,1.0,The Portuguese Viceroy who implemented the `Blue Water Policy’,"[""Vasco Gama"", ""Francisco de Almeida"", ""Alfonso de Albuquerque"", ""Duplex""]",Francisco de Almeida,,,Multiple Choice Questions,6953b6df7c95227c7c97ffa5,10,True,52.459016393442624,social_science_10.pdf,INDIA
68ecc60888af75bad6fbecbe,social science,10,1.0,Arrival of Europeans in India,English,Easy,short_answer,1.0,Which was the capital of the French in India?,[],Pondicherry,,,Answer in One Sentence,6953b6df7c95227c7c97ffa5,10,True,55.55555555555556,social_science_10.pdf,INDIA
68ecc60888af75bad6fbecc0,social science,10,1.0,Arrival of Europeans in India,English,Easy,short_answer,1.0,Where did Vasco da Gama land in India?,[],Kappad near Calicut,,,Answer in One Sentence,6953b6df7c95227c7c97ffa5,10,False,48.275862068965516,social_science_10.pdf,INDIA
68ecc60888af75bad6fbecc2,social science,10,1.0,Arrival of Europeans in India,English,Easy,short_answer,1.0,Which was the princely state ruled by Marthanda Varma?,[],Wynad,,,Answer in One Sentence,6953b6df7c95227c7c97ffa5,10,False,48.14814814814815,social_science_10.pdf,INDIA
68ecc60888af75bad6fbecc4,social science,10,1.0,Arrival of Europeans in India,English,Average,short_answer,3.0,Discuss the factors that led to the discovery of a new sea route to India.,[],"The Turkish capture of Constantinople (1453) disrupted land trade and imposed heavy taxes, hurting merchants’ profits. European monarchs encouraged voyages; and inventions like the compass, astrolabe, and use of gunpowder aided long-distance navigation.",,,Answer In Two To Four Sentences,6953b6df7c95227c7c97ffa5,10,False,48.64864864864865,social_science_10.pdf,INDIA
68ecc60888af75bad6fbecc6,social science,10,1.0,Arrival of Europeans in India,English,Average,short_answer,3.0,Explain the system of ‘Dual Government’.,[],"Introduced by Robert Clive in Bengal: the Company collected land revenue (Diwani) while the Nawab’s administration handled civil governance and justice, creating a dual control where power rested with the Company without full administrative responsibility.",,,Answer In Two To Four Sentences,6953b6df7c95227c7c97ffa5,10,True,71.05263157894737,social_science_10.pdf,INDIA
68ecc60888af75bad6fbecd0,social science,10,1.0,Arrival of Europeans in India,English,Average,long_answer,5.0,What were the causes and consequences of the Battle of Plassey?,[],"Causes: misuse of revenue by Company servants, fortification without Nawab’s permission, and the ‘Black Hole’ incident. Consequences: Mir Jafar became Nawab; Company obtained unrestricted trade rights in Bengal; huge payments (about Rs. 17 crore 70 lakhs) were extracted; the disunity and greed of Indian merchant classes was exposed, paving the way for British expansion.",,,Answer In Six Sentences,6953b6df7c95227c7c97ffa5,10,True,77.77777777777779,social_science_10.pdf,INDIA
68ecc60888af75bad6fbecae,social science,10,1.0,Arrival of Europeans in India,English,Easy,short_answer,1.0,The person who discovered a new sea route to India (June-2022),"[""Vasco da Gama"", ""Dupleix"", ""Almeida"", ""Albuquerque""]",Vasco da Gama,,,Multiple Choice Questions,6953b6df7c95227c7c97ffa5,10,False,45.16129032258065,social_science_10.pdf,INDIA
68ecc60888af75bad6fbecb4,social science,10,1.0,Arrival of Europeans in India,English,Easy,short_answer,1.0,Who introduced the Dual Government in Bengal?,[],Robert Clive,,,Answer in One Sentence,6953b6df7c95227c7c97ffa5,10,True,57.77777777777777,social_science_10.pdf,INDIA
68ecc60888af75bad6fbecb6,social science,10,1.0,Arrival of Europeans in India,English,Easy,short_answer,1.0,What is meant by Blue Water Policy?,[],Strengthening naval power to monopolize the sea instead of dominating land.,,,Answer in One Sentence,6953b6df7c95227c7c97ffa5,10,False,48.57142857142858,social_science_10.pdf,INDIA
68ecc60888af75bad6fbecba,social science,10,1.0,Arrival of Europeans in India,English,Easy,short_answer,1.0,Who was the real founder of the Portuguese Empire in India?,[],Alfonso de Albuquerque,,,Answer in One Sentence,6953b6df7c95227c7c97ffa5,10,True,54.23728813559322,social_science_10.pdf,INDIA
68ecc60888af75bad6fbecbc,social science,10,1.0,Arrival of Europeans in India,English,Easy,short_answer,1.0,Which treaty ended the Third Carnatic War?,[],Treaty of Paris,,,Answer in One Sentence,6953b6df7c95227c7c97ffa5,10,True,64.0,social_science_10.pdf,INDIA
