question_id,subject,class,chapter_number,chapter_title,medium,difficulty,answer_type,marks,text,options,key_answer,exam_type,year,group_heading,chapter_id,standard,found_in_pdf,match_score,pdf_source,pdf_section
698c22e4ec065fd7420d7a0a,english,7,4.0,POEM: AWARENESS,English,Easy,mcq,1.0,Broken bottles are tossed on,"[""earth"", ""table"", ""grass"", ""floor""]",,LBA,2025-26,Multiple Choice Questions,67449bf6065a2c5cd2dcba89,7,False,36.0,english_7.pdf,AWARENESS (Poem)
698c22e4ec065fd7420d7a0b,english,7,4.0,POEM: AWARENESS,English,Easy,mcq,1.0,According to the poet ________ is sprayed on our food.,"[""insecticide"", ""powder"", ""colour"", ""water""]",,LBA,2025-26,Multiple Choice Questions,67449bf6065a2c5cd2dcba89,7,False,30.434782608695656,english_7.pdf,AWARENESS (Poem)
698c22e4ec065fd7420d7a0c,english,7,4.0,POEM: AWARENESS,English,Easy,mcq,1.0,Mills pumping out iron expels________ fumes.,"[""red"", ""black"", ""white"", ""yellow""]",,LBA,2025-26,Multiple Choice Questions,67449bf6065a2c5cd2dcba89,7,False,30.000000000000004,english_7.pdf,AWARENESS (Poem)
698c22e4ec065fd7420d7a0d,english,7,4.0,POEM: AWARENESS,English,Easy,mcq,1.0,This poem is written by,"[""Eleanor Farjeon"", ""Sylvia Stults"", ""M. C. Davies"", ""Leigh Hunt""]",,LBA,2025-26,Multiple Choice Questions,67449bf6065a2c5cd2dcba89,7,False,34.78260869565217,english_7.pdf,AWARENESS (Poem)
698c22e4ec065fd7420d7a0e,english,7,4.0,POEM: AWARENESS,English,Easy,mcq,1.0,The word that does not rhyme with sight is,"[""fight"", ""bright"", ""insect"", ""might""]",,LBA,2025-26,Multiple Choice Questions,67449bf6065a2c5cd2dcba89,7,False,32.49999999999999,english_7.pdf,AWARENESS (Poem)
698c22e4ec065fd7420d7a0f,english,7,4.0,POEM: AWARENESS,English,Easy,fill_in_the_blank,1.0,Who has written the poem Awareness?,[],,LBA,2025-26,Short Answers,67449bf6065a2c5cd2dcba89,7,False,31.428571428571427,english_7.pdf,AWARENESS (Poem)
698c22e4ec065fd7420d7a10,english,7,4.0,POEM: AWARENESS,English,Average,fill_in_the_blank,1.0,How is our food contaminated?,[],,LBA,2025-26,Short Answers,67449bf6065a2c5cd2dcba89,7,False,34.48275862068966,english_7.pdf,AWARENESS (Poem)
698c22e4ec065fd7420d7a11,english,7,4.0,POEM: AWARENESS,English,Difficult,fill_in_the_blank,1.0,What message does the poem give?,[],,LBA,2025-26,Short Answers,67449bf6065a2c5cd2dcba89,7,False,37.5,english_7.pdf,AWARENESS (Poem)
698c22e4ec065fd7420d7a12,english,7,4.0,POEM: AWARENESS,English,Average,fill_in_the_blank,1.0,What are sprayed on our food?,[],,LBA,2025-26,Short Answers,67449bf6065a2c5cd2dcba89,7,False,34.48275862068966,english_7.pdf,AWARENESS (Poem)
698c22e4ec065fd7420d7a13,english,7,4.0,POEM: AWARENESS,English,Difficult,fill_in_the_blank,1.0,How do you create awareness among people?,[],,LBA,2025-26,Short Answers,67449bf6065a2c5cd2dcba89,7,False,34.14634146341463,english_7.pdf,AWARENESS (Poem)
