question_id,subject,class,chapter_number,chapter_title,medium,difficulty,answer_type,marks,text,options,key_answer,exam_type,year,group_heading,chapter_id,standard,found_in_pdf,match_score,pdf_source,pdf_section
6982fed297c92115623a57cf,social science,7,12.0,AUSTRALIA,english,Average,mcq,1.0,"It is a nickname for the continent of Australia       
A. New continent 
B. A very flat continent 
C. A desert continent 
D. All of the above",[],To be provided,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca78b,7,True,66.66666666666667,social_science_7.pdf,Australia
6982fed297c92115623a57ce,social science,7,12.0,AUSTRALIA,english,Average,mcq,1.0,"It is twice the size of India and the 7th continent of the world.       
A. Asia 
B. Europe 
C. N. America 
D. Australia",[],To be provided,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca78b,7,True,66.66666666666667,social_science_7.pdf,Australia
6982fed297c92115623a57d2,social science,7,12.0,AUSTRALIA,english,Average,mcq,1.0,"'Black Wood' in the continent of Australia is --------       
A. Blackwood  
B. Sea 
C. River 
D. Lake 
 
6 ------ is the world's largest monolithic area situated towards the west of Lake Eyre, in Australia. 
      
A. Ayersa (Uluru) 
B. Mukamba 
C. Murchison 
D. Ire  

7.  The seasons of Australia are vice versa of the Northern Hemisphere due to ------- reason. 
      
A. Small continent 
B. A very flat continent 
C. Snow fed Continent 
D. Located in the Southern Hemisphere 
 
8. Which of the following is not a tree that grows in Australia.        
A. Cedar 
B. Palm  
C. Beach 
D. Banana 
 
9. 'Shrub' is a type of vegetation found in Australia.       
A. Shrub vegetation 
B. Desert vegetation 
C. grassland vegetation 
D. Tropical vegetation 
 
10. One of the following is a false statement about the platypus.       
A. Lays eggs 
B. Has a furry skin covering 
C. Feed her young ones  
D. It is a beautiful bird like a peacock 
 
11. 'Dingo' is a -------- found in Australia.       
A. Wallabi 
B.  Housefly B. Desert vegetation 
C. Ekidna 
D. wild dog 
 
12. This is the reason why agriculture sector is less in Australia.       
A. Lack of rain  
B. Lack of cultivable land 
C. Lack of irrigation 
D. All of the above 
 
13. It is the main profession in Australia.       
A. Agriculture 
B. Animal husbandry 
C. Potters  
D. None of the above 

14. Check the statements about the climate of Australia. (Difficult)     
1. The storm here is called 'Willy Willis'. 
2. The rainfall here is monsoon type. 
A. Only 2 is correct         C. Only 1 is correct 
B. 1 and 2 are incorrect   D. 1 and 2 are correct",[],To be provided,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca78b,7,True,50.0,social_science_7.pdf,Australia
6982fed297c92115623a57d3,social science,7,12.0,AUSTRALIA,english,Average,mcq,1.0,"The reason behind to call Australia ""the land of rare animals and birds"" because of        
A. All the birds in the world are here. 
B. About 60% of the animals and birds here are not seen anywhere in the world 
C. All the animals in the world are here 
D. All of the above are false.",[],To be provided,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca78b,7,True,66.66666666666667,social_science_7.pdf,Australia
6982fed297c92115623a57dc,social science,7,12.0,AUSTRALIA,english,Average,mcq,1.0,"Examine the statements about Australian agriculture.       
1. Agricultural land is less here 
2. Only 44% of the total population is engaged in agriculture. 
A. 1 and 2 are correct 
B. 1 and 2 are incorrect 
C. Only 1 is correct 
D. Only 2 is correct",[],To be provided,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca78b,7,True,50.0,social_science_7.pdf,Australia
6982fed297c92115623a57e0,social science,7,12.0,AUSTRALIA,english,Average,mcq,1.0,"Check the statements about the population of Australia.       
1. North Wales is the most populous province 
2. The Northern Territory is very scarsely populated 
A. 1 only is correct 
C. 1 and 2 are correct 
B. 1 and 2 are incorrect 
D. Only 2 is correct",[],To be provided,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca78b,7,True,50.0,social_science_7.pdf,Australia
6982fed297c92115623a57e6,social science,7,12.0,AUSTRALIA,english,Average,answer_medium,1.0,Why is Australia called as the flat land?,[],To be provided,LBA,2025-26,Answer in Two or More Sentences,67449b18065a2c5cd2dca78b,7,True,50.0,social_science_7.pdf,Australia
6982fed297c92115623a57d0,social science,7,12.0,AUSTRALIA,english,Average,mcq,1.0,"Lake Eyre, the largest lake in Australia, the land of it is shaped like this.       
A.  Shape of plate 
B.  Shape of bowl 
C. Shaped like a jug 
D. Shape of a vessel",[],To be provided,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca78b,7,True,50.0,social_science_7.pdf,Australia
6982fed297c92115623a57d6,social science,7,12.0,AUSTRALIA,english,Average,mcq,1.0,"'Shrub' is a type of vegetation found in Australia.       
A. Shrub vegetation 
B. Desert vegetation 
C. grassland vegetation 
D. Tropical vegetation",[],To be provided,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca78b,7,True,50.0,social_science_7.pdf,Australia
6982fed297c92115623a57d7,social science,7,12.0,AUSTRALIA,english,Average,mcq,1.0,"One of the following is a false statement about the platypus.       
A. Lays eggs 
B. Has a furry skin covering 
C. Feed her young ones  
D. It is a beautiful bird like a peacock",[],To be provided,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca78b,7,True,50.0,social_science_7.pdf,Australia
6982fed297c92115623a57dd,social science,7,12.0,AUSTRALIA,english,Average,mcq,1.0,"The reason behind to call Australia ""the land of rare animals and birds"" because of        
A. All the birds in the world are here. 
B. About 60% of the animals and birds here are not seen anywhere in the world 
C. All the animals in the world are here 
D. All of the above are false.",[],To be provided,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca78b,7,True,66.66666666666667,social_science_7.pdf,Australia
6982fed297c92115623a57d1,social science,7,12.0,AUSTRALIA,english,Average,mcq,1.0,"A region of Australia that is as ancient as the Deccan Plateau of India.        
A. Eastern Highlands 
B. Middle Lowland  
C. Western Plateau 
D. River system",[],To be provided,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca78b,7,True,50.0,social_science_7.pdf,Australia
6982fed297c92115623a57d5,social science,7,12.0,AUSTRALIA,english,Average,mcq,1.0,"Which of the following is not a tree that grows in Australia.        
A. Cedar 
B. Palm  
C. Beach 
D. Banana",[],To be provided,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca78b,7,True,50.0,social_science_7.pdf,Australia
6982fed297c92115623a57d8,social science,7,12.0,AUSTRALIA,english,Average,mcq,1.0,"'Dingo' is a -------- found in Australia.       
A. Wallabi 
B.  Housefly B. Desert vegetation 
C. Ekidna 
D. wild dog",[],To be provided,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca78b,7,True,50.0,social_science_7.pdf,Australia
6982fed297c92115623a57e2,social science,7,12.0,AUSTRALIA,english,Average,answer_medium,1.0,List the major industries in Australia.,[],To be provided,LBA,2025-26,Answer in Two or More Sentences,67449b18065a2c5cd2dca78b,7,True,66.66666666666667,social_science_7.pdf,Australia
