question_id,subject,class,chapter_number,chapter_title,medium,difficulty,answer_type,marks,text,options,key_answer,exam_type,year,group_heading,chapter_id,standard,found_in_pdf,match_score,pdf_source,pdf_section
698c22e4ec065fd7420d7a3d,english,7,7.0,PROSE: LEG TRAP,English,Easy,mcq,1.0,Past tense form of the word” work” is,"[""working"", ""worked"", ""work"", ""works""]",,LBA,2025-26,Multiple Choice Questions,67ca912d9f0501ae9196ad67,7,True,54.28571428571429,english_7.pdf,UNIT-4: LEG TRAP
698c22e4ec065fd7420d7a3e,english,7,7.0,PROSE: LEG TRAP,English,Easy,mcq,1.0,Dhira was a,"[""hard working boy"", ""lazy boy"", ""neglected boy"", ""rich boy""]",,LBA,2025-26,Multiple Choice Questions,67ca912d9f0501ae9196ad67,7,True,100.0,english_7.pdf,UNIT-4: LEG TRAP
698c22e4ec065fd7420d7a3f,english,7,7.0,PROSE: LEG TRAP,English,Easy,mcq,1.0,The thief stole gold,"[""ring"", ""necklace"", ""earring"", ""chain""]",,LBA,2025-26,Multiple Choice Questions,67ca912d9f0501ae9196ad67,7,True,60.0,english_7.pdf,UNIT-4: LEG TRAP
698c22e4ec065fd7420d7a40,english,7,7.0,PROSE: LEG TRAP,English,Easy,fill_in_the_blank,1.0,"Dhira took ________ decision.    
A) write
B) right
C) wright
D) rite",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196ad67,7,True,55.38461538461539,english_7.pdf,UNIT-4: LEG TRAP
698c22e4ec065fd7420d7a41,english,7,7.0,PROSE: LEG TRAP,English,Easy,mcq,1.0,The customer was wearing,"[""blue shirt and red tie"", ""black shirt and red tie"", ""pink shirt and red tie"", ""red shirt and red type""]",,LBA,2025-26,Multiple Choice Questions,67ca912d9f0501ae9196ad67,7,True,66.66666666666667,english_7.pdf,UNIT-4: LEG TRAP
698c22e4ec065fd7420d7a42,english,7,7.0,PROSE: LEG TRAP,English,Easy,fill_in_the_blank,1.0,"Choose the correct past tense form of the word from the cloud: 
A) trap - ________
B) hear -________
C) think - ________
D) disturb - ________
e) stand - ________",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196ad67,7,False,41.61490683229814,english_7.pdf,UNIT-4: LEG TRAP
698c22e4ec065fd7420d7a43,english,7,7.0,PROSE: LEG TRAP,English,Easy,fill_in_the_blank,1.0,"Fill in the blanks using suitable articles: (a, an, the)
A) I saw ________ accident of a car. 
B) ________brown cat climbed on the table. 
C) I read for half ________ hour every day in ________ evening. 
D) ________ apple fell down from ________ basket. 
e) ________ customer looked like ________ rich man.",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196ad67,7,False,40.72847682119205,english_7.pdf,UNIT-4: LEG TRAP
698c22e4ec065fd7420d7a44,english,7,7.0,PROSE: LEG TRAP,English,Average,fill_in_the_blank,1.0,"Find and write the eight hidden words in the maze: 
B
T
A
B
L
E
S
F
Y
H
Q
F
E
R
G
S
H
I
Z
G
G
D
O
H
B
E
N
D
T
G
L
I
M
F
X
M
R
K
D
R
P
S
G
Y
A
N
Z
T
F
D
H
P
P
W
B
I
C
O
S
T
U
M
E
R
stood, thought, trapped,
disturbed, heard",[],,LBA,2025-26,Short Answers,67ca912d9f0501ae9196ad67,7,False,43.28767123287671,english_7.pdf,UNIT-4: LEG TRAP
698c22e4ec065fd7420d7a45,english,7,7.0,PROSE: LEG TRAP,English,Difficult,fill_in_the_blank,1.0,"Read the given story and rewrite it in the form of a dialogue and practice role play: 
One day, a nut fell on Funny Bunny. “Ouch! The sky is going to fall!"" said Funny Bunny. ""I must tell the King. “On
the way, he met Henny Penny. ""The sky is going to fall, “said Funny Bunny. ""I'm going to tell the King."" ""I'll come
too,"" said Henny Penny. And off they went to find the King. Soon they met Cocky Locky.",[],,LBA,2025-26,Short Answers,67ca912d9f0501ae9196ad67,7,False,43.50000000000001,english_7.pdf,UNIT-4: LEG TRAP
698c22e4ec065fd7420d7a46,english,7,7.0,PROSE: LEG TRAP,English,Easy,fill_in_the_blank,2.0,Who is Dhira?,[],,LBA,2025-26,Answer in Two or More Sentences,67ca912d9f0501ae9196ad67,7,True,61.53846153846154,english_7.pdf,UNIT-4: LEG TRAP
698c22e4ec065fd7420d7a47,english,7,7.0,PROSE: LEG TRAP,English,Easy,fill_in_the_blank,2.0,When did Dhira lose his father?,[],,LBA,2025-26,Answer in Two or More Sentences,67ca912d9f0501ae9196ad67,7,True,70.96774193548387,english_7.pdf,UNIT-4: LEG TRAP
698c22e4ec065fd7420d7a48,english,7,7.0,PROSE: LEG TRAP,English,Easy,fill_in_the_blank,2.0,What was Dhira doing under a tree?,[],,LBA,2025-26,Answer in Two or More Sentences,67ca912d9f0501ae9196ad67,7,True,70.58823529411764,english_7.pdf,UNIT-4: LEG TRAP
698c22e4ec065fd7420d7a49,english,7,7.0,PROSE: LEG TRAP,English,Easy,fill_in_the_blank,2.0,Who helped the police to catch the thief?,[],,LBA,2025-26,Answer in Two or More Sentences,67ca912d9f0501ae9196ad67,7,True,92.6829268292683,english_7.pdf,UNIT-4: LEG TRAP
698c22e4ec065fd7420d7a4a,english,7,7.0,PROSE: LEG TRAP,English,Average,fill_in_the_blank,2.0,"Dhira started earning at a very young age, give reason.",[],,LBA,2025-26,Answer in Two or More Sentences,67ca912d9f0501ae9196ad67,7,True,83.63636363636364,english_7.pdf,UNIT-4: LEG TRAP
698c22e4ec065fd7420d7a4b,english,7,7.0,PROSE: LEG TRAP,English,Difficult,fill_in_the_blank,2.0,How did the customer show his impatience?,[],,LBA,2025-26,Answer in Two or More Sentences,67ca912d9f0501ae9196ad67,7,False,48.78048780487805,english_7.pdf,UNIT-4: LEG TRAP
698c22e4ec065fd7420d7a4c,english,7,7.0,PROSE: LEG TRAP,English,Difficult,fill_in_the_blank,2.0,Describe the appearance of the customer in two sentences.,[],,LBA,2025-26,Answer in Two or More Sentences,67ca912d9f0501ae9196ad67,7,True,52.63157894736843,english_7.pdf,UNIT-4: LEG TRAP
698c22e4ec065fd7420d7a4d,english,7,7.0,PROSE: LEG TRAP,English,Average,fill_in_the_blank,2.0,How did Dhira help the police to catch the thief?,[],,LBA,2025-26,Answer in Two or More Sentences,67ca912d9f0501ae9196ad67,7,True,85.71428571428572,english_7.pdf,UNIT-4: LEG TRAP
