question_id,subject,class,chapter_number,chapter_title,medium,difficulty,answer_type,marks,text,options,key_answer,exam_type,year,group_heading,chapter_id,standard,found_in_pdf,match_score,pdf_source,pdf_section
698c22dcec065fd7420d7921,english,6,10.0,POEM: THE FLY,English,Average,fill_in_the_blank,1.0,"Project work. 
a) Collect the pictures of different insects and prepare an album.
b) Draw the picture of a grasshopper, colour it and name its body parts which are given
in the bracket.
(wings, legs, eyes, antenna)
The Fly (Poem)",[],,LBA,2025-26,Short Answers,67449bf5065a2c5cd2dcb4cb,6,False,43.03178484107579,english_6.pdf,POEM
698c22dcec065fd7420d7922,english,6,10.0,POEM: THE FLY,English,Average,fill_in_the_blank,1.0,I. Four alternatives are given for each of the following questions/incomplete statements. Choose the correct alternative. 1) It’s flying round the __________(Easy) A) Pillow B)  Lampshade C) Door D) window 2) ‘buzzed off’ means ___________(Easy) A) flying B) rolling C) walked away D) gone away 3) Poet felt _________ when he saw the fly. (Easy) A) happy B) excited C) insane D) sad 4) The sound of the horse is _________(Easy) A) neigh B) bark C) hiss D) buzz 5) _________ is not an insect. (Easy) A) butterfly B) frog C) cockroach D) housefly 24,[],,LBA,2025-26,Short Answers,67449bf5065a2c5cd2dcb4cb,6,True,59.69543147208122,english_6.pdf,POEM
698c22dcec065fd7420d7923,english,6,10.0,POEM: THE FLY,English,Easy,fill_in_the_blank,1.0,Where was the fly buzzing in the beginning of the poem?,[],,LBA,2025-26,Short Answers,67449bf5065a2c5cd2dcb4cb,6,True,50.90909090909091,english_6.pdf,POEM
698c22dcec065fd7420d7924,english,6,10.0,POEM: THE FLY,English,Easy,fill_in_the_blank,1.0,List out two places where the fly lands on the speaker.,[],,LBA,2025-26,Short Answers,67449bf5065a2c5cd2dcb4cb,6,False,49.09090909090909,english_6.pdf,POEM
698c22dcec065fd7420d7925,english,6,10.0,POEM: THE FLY,English,Easy,fill_in_the_blank,1.0,Where is the fly walking on?,[],,LBA,2025-26,Short Answers,67449bf5065a2c5cd2dcb4cb,6,True,57.14285714285714,english_6.pdf,POEM
698c22dcec065fd7420d7926,english,6,10.0,POEM: THE FLY,English,Easy,fill_in_the_blank,1.0,Who is the writer of this poem?,[],,LBA,2025-26,Short Answers,67449bf5065a2c5cd2dcb4cb,6,True,51.61290322580645,english_6.pdf,POEM
698c22dcec065fd7420d7927,english,6,10.0,POEM: THE FLY,English,Average,fill_in_the_blank,1.0,What does the poet hear at the end?,[],,LBA,2025-26,Short Answers,67449bf5065a2c5cd2dcb4cb,6,True,60.0,english_6.pdf,POEM
698c22dcec065fd7420d7928,english,6,10.0,POEM: THE FLY,English,Average,fill_in_the_blank,1.0,"``I’ll never, ever, get to sleep’’
a) Who is the speaker here?
b) Why did the speaker say so?
c) Which insect is troubling?",[],,LBA,2025-26,Read and Answer,67449bf5065a2c5cd2dcb4cb,6,False,44.166666666666664,english_6.pdf,POEM
698c22dcec065fd7420d7929,english,6,10.0,POEM: THE FLY,English,Average,fill_in_the_blank,1.0,"“It’s driving me insane’’. 
a) It refers to ________
b) Who is me referred here?
c) What is the meaning of the word ‘insane’?",[],,LBA,2025-26,Read and Answer,67449bf5065a2c5cd2dcb4cb,6,False,46.61016949152542,english_6.pdf,POEM
698c22dcec065fd7420d792a,english,6,10.0,POEM: THE FLY,English,Average,fill_in_the_blank,1.0,"IV. 13. Write the rhyming words for the following. door, pane, close, pain, sleep, shade",[],,LBA,2025-26,One Sentence Answers,67449bf5065a2c5cd2dcb4cb,6,True,50.0,english_6.pdf,POEM
698c22dcec065fd7420d792b,english,6,10.0,POEM: THE FLY,English,Average,fill_in_the_blank,1.0,"V. 14. Identify the verbs in the following lines from the poem: a) ""It's buzzing round the lampshade."" b) ""It's walking on my pillow.""",[],,LBA,2025-26,One Sentence Answers,67449bf5065a2c5cd2dcb4cb,6,False,45.52238805970149,english_6.pdf,POEM
698c22dcec065fd7420d792c,english,6,10.0,POEM: THE FLY,English,Average,fill_in_the_blank,1.0,"VI. 15. Complete the following poem using the words given in the bracket. (Blue, flower, sight, wings, flying) Butterfly, butterfly, _________   so high. Red and ___________ Pretty too. ________    so sweet, Nectar to eat _______ so bright, A lovely________.",[],,LBA,2025-26,Fill in the Blanks,67449bf5065a2c5cd2dcb4cb,6,False,41.955193482688394,english_6.pdf,POEM
698c22dcec065fd7420d792d,english,6,10.0,POEM: THE FLY,English,Average,fill_in_the_blank,1.0,"VII. 16. Complete the following sentences using suitable prepositions. (in, inside, on,) a) The fly is landing ____ my pillow. (Easy) b) The fly is looking ____ my eyeball. (Easy) c)  It’s ____ the window pane. (Easy) d)  There’s a fly _________ my bedroom. (Easy)",[],,LBA,2025-26,Fill in the Blanks,67449bf5065a2c5cd2dcb4cb,6,False,45.77777777777777,english_6.pdf,POEM
698c22dcec065fd7420d792e,english,6,10.0,POEM: THE FLY,English,Average,fill_in_the_blank,1.0,VIII. 17. Quote from memory. There is __________________ _________________________ __________________________ _________________ windowpane. . 25,[],,LBA,2025-26,Fill in the Blanks,67449bf5065a2c5cd2dcb4cb,6,False,29.166666666666664,english_6.pdf,POEM
698c22dcec065fd7420d792f,english,6,10.0,POEM: THE FLY,English,Average,fill_in_the_blank,1.0,"IX. 18. Creative Writing. a. Imagine you are the fly in the poem. Write a short paragraph (about 50-70 words) describing your experience with the person in the room. How do you feel about their reactions? b. In your own words, describe how the speaker feels about the fly's presence. Use evidence from the poem to support your answer -----@@@@@-----",[],,LBA,2025-26,Paragraph Writing,67449bf5065a2c5cd2dcb4cb,6,False,40.97421203438395,english_6.pdf,POEM
