question_id,subject,class,chapter_number,chapter_title,medium,difficulty,answer_type,marks,text,options,key_answer,exam_type,year,group_heading,chapter_id,standard,found_in_pdf,match_score,pdf_source,pdf_section
6982ff0697c92115623a58ad,science,7,4.0,Electric Current and its Effects,english,Easy,mcq,1.0,"Symbol for an electric cell used in an electric circuit:  
 
A.  
               B.  
            
C. 
                      D.",[],Keep it empty for now,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca5f9,7,False,47.05882352941176,science_7.pdf,And
6982ff0697c92115623a58ae,science,7,4.0,Electric Current and its Effects,english,Easy,mcq,1.0,Device containing a simple electric circuit,"[""Torch"", ""Transistor"", ""Transmitter"", ""Television""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca5f9,7,False,44.18604651162791,science_7.pdf,And
6982ff0697c92115623a58af,science,7,4.0,Electric Current and its Effects,english,Easy,mcq,1.0,"In the following simple electric circuit, the electric bulb","[""Will not light up"", ""Will light up"", ""Will burn out"", ""Connection is incorrect.""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca5f9,7,False,44.067796610169495,science_7.pdf,And
6982ff0697c92115623a58b8,science,7,4.0,Electric Current and its Effects,english,Average,mcq,1.0,Name of the device in this picture,"[""Electric oven"", ""Electric bulb"", ""Electric fuse"", ""Electromagnet""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca5f9,7,False,44.11764705882353,science_7.pdf,And
6982ff0697c92115623a58c0,science,7,4.0,Electric Current and its Effects,english,Average,mcq,1.0,"In this picture, which object is used as a switch in the electric circuit?","[""Battery"", ""Bulb"", ""Key"", ""Electric wire""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca5f9,7,False,43.24324324324324,science_7.pdf,And
6982ff0697c92115623a58c2,science,7,4.0,Electric Current and its Effects,english,Easy,mcq,1.0,The device based on the heating effect of electricity is,"[""Fuse"", ""Dynamo"", ""Motor"", ""Speaker""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca5f9,7,False,42.85714285714286,science_7.pdf,And
6982ff0697c92115623a58c5,science,7,4.0,Electric Current and its Effects,english,Average,mcq,1.0,Best electrical conductor among these:,"[""Coffee"", ""Raw plastic"", ""Copper wire"", ""Coconut oil""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca5f9,7,True,50.0,science_7.pdf,And
6982ff0697c92115623a58c8,science,7,4.0,Electric Current and its Effects,english,Easy,mcq,1.0,Device using the magnetic effect:,"[""Fuse"", ""Geyser"", ""Electric bell"", ""Bulb""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca5f9,7,False,42.42424242424242,science_7.pdf,And
6982ff0697c92115623a58ce,science,7,4.0,Electric Current and its Effects,english,Easy,fill_in_the_blank,1.0,Nichrome is a good ___________.,[],Required Answer,LBA,2025-26,Fill in the Blanks,67449b18065a2c5cd2dca5f9,7,False,35.483870967741936,science_7.pdf,And
6982ff0697c92115623a58d0,science,7,4.0,Electric Current and its Effects,english,Average,match_the_following,1.0,A                                           B,[],Keep it empty for now,LBA,2025-26,Match the Following,67449b18065a2c5cd2dca5f9,7,True,66.66666666666667,science_7.pdf,And
6982ff0697c92115623a58d7,science,7,4.0,Electric Current and its Effects,english,Average,match_the_following,1.0,Electromagnet                       ii. Protective device from heating effect,[],Keep it empty for now,LBA,2025-26,Match the Following,67449b18065a2c5cd2dca5f9,7,False,43.63636363636364,science_7.pdf,And
6982ff0697c92115623a58d8,science,7,4.0,Electric Current and its Effects,english,Average,match_the_following,1.0,Electric cell                          iii. Magnetic effect,[],Keep it empty for now,LBA,2025-26,Match the Following,67449b18065a2c5cd2dca5f9,7,False,41.17647058823529,science_7.pdf,And
6982ff0697c92115623a58db,science,7,4.0,Electric Current and its Effects,english,Average,short_answer,1.0,Which device uses the heating effect of electricity?,[],Required Answer,LBA,2025-26,One Sentence Answers,67449b18065a2c5cd2dca5f9,7,False,44.230769230769226,science_7.pdf,And
6982ff0697c92115623a58dc,science,7,4.0,Electric Current and its Effects,english,Average,short_answer,1.0,Where and why is a fuse used?,[],Required Answer,LBA,2025-26,One Sentence Answers,67449b18065a2c5cd2dca5f9,7,False,41.379310344827594,science_7.pdf,And
6982ff0697c92115623a58dd,science,7,4.0,Electric Current and its Effects,english,Average,short_answer,1.0,List two devices used based on the heating effect.,[],Required Answer,LBA,2025-26,One Sentence Answers,67449b18065a2c5cd2dca5f9,7,False,42.00000000000001,science_7.pdf,And
6982ff0697c92115623a58e2,science,7,4.0,Electric Current and its Effects,english,Difficult,short_answer,2.0,List four inventions of Thomas Alva Edison.,[],Required Answer,LBA,2025-26,Answer in Two Sentences,67449b18065a2c5cd2dca5f9,7,False,43.07692307692308,science_7.pdf,And
6982ff0697c92115623a58e4,science,7,4.0,Electric Current and its Effects,english,Difficult,short_answer,2.0,How does the magnetic effect occur when electricity flows through an electric wire?,[],Required Answer,LBA,2025-26,Answer in Two Sentences,67449b18065a2c5cd2dca5f9,7,False,43.37349397590361,science_7.pdf,And
6982ff0697c92115623a58e5,science,7,4.0,Electric Current and its Effects,english,Difficult,short_answer,2.0,Why is plastic coating used on electric wires?,[],Required Answer,LBA,2025-26,Answer in Two Sentences,67449b18065a2c5cd2dca5f9,7,False,43.47826086956522,science_7.pdf,And
6982ff0697c92115623a58e8,science,7,4.0,Electric Current and its Effects,english,Difficult,fill_in_the_blank,3.0,Explain a device based on the magnetic effect.,[],Required Answer,LBA,2025-26,Answer in Three Sentences,67449b18065a2c5cd2dca5f9,7,False,43.47826086956522,science_7.pdf,And
6982ff0697c92115623a58e9,science,7,4.0,Electric Current and its Effects,english,Difficult,fill_in_the_blank,3.0,What measures can be used to make an electromagnet stronger?,[],Required Answer,LBA,2025-26,Answer in Three Sentences,67449b18065a2c5cd2dca5f9,7,False,44.99999999999999,science_7.pdf,And
6982ff0697c92115623a58ea,science,7,4.0,Electric Current and its Effects,english,Difficult,fill_in_the_blank,3.0,How does a fuse wire work? Explain using a diagram.,[],Required Answer,LBA,2025-26,Answer in Three Sentences,67449b18065a2c5cd2dca5f9,7,False,43.13725490196079,science_7.pdf,And
6982ff0697c92115623a58eb,science,7,4.0,Electric Current and its Effects,english,Difficult,fill_in_the_blank,4.0,Explain the function of a fuse wire.,[],Required Answer,LBA,2025-26,Answer in Four Sentences,67449b18065a2c5cd2dca5f9,7,False,44.44444444444444,science_7.pdf,And
6982ff0697c92115623a58f0,science,7,4.0,Electric Current and its Effects,english,Difficult,fill_in_the_blank,5.0,Describe your experience of making a simple electromagnet.,[],Required Answer,LBA,2025-26,Short Answers,67449b18065a2c5cd2dca5f9,7,False,41.379310344827594,science_7.pdf,And
6982ff0697c92115623a58b0,science,7,4.0,Electric Current and its Effects,english,Average,mcq,1.0,When the electric circuit is in the connected position (when the circuit is closed),"[""Current will not flow in the circuit"", ""Current will flow in the circuit."", ""The circuit will burn out."", ""The bulb will burn out.""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca5f9,7,False,42.168674698795186,science_7.pdf,And
6982ff0697c92115623a58ba,science,7,4.0,Electric Current and its Effects,english,Average,mcq,1.0,In this picture,"[""The bulb is lit."", ""The bulb is not lit."", ""The connection should be changed."", ""Another dry cell should be connected.""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca5f9,7,True,53.333333333333336,science_7.pdf,And
6982ff0697c92115623a58be,science,7,4.0,Electric Current and its Effects,english,Average,mcq,1.0,Electricians' screwdrivers and pliers have a plastic or rubber coating. The reason is,"[""Rubber is easily available."", ""Rubber is a good conductor."", ""Rubber is a good insulator."", ""Rubber is hard.""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca5f9,7,False,42.352941176470594,science_7.pdf,And
6982ff0697c92115623a58c9,science,7,4.0,Electric Current and its Effects,english,Average,mcq,1.0,A fuse is made from metal with this property:,"[""Low resistance"", ""Low melting point"", ""Heat tolerant metal"", ""Magnetic metal""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca5f9,7,False,46.666666666666664,science_7.pdf,And
