question_id,subject,class,chapter_number,chapter_title,medium,difficulty,answer_type,marks,text,options,key_answer,exam_type,year,group_heading,chapter_id,standard,found_in_pdf,match_score,pdf_source,pdf_section
6982ff0697c92115623a5837,science,7,2.0,Reproduction in Plants,english,Easy,mcq,1.0,Method of reproduction in rose plants,"[""Sexual"", ""Fragmentation"", ""Budding"", ""Fission""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca599,7,True,51.35135135135135,science_7.pdf,And
6982ff0697c92115623a583e,science,7,2.0,Reproduction in Plants,english,Average,mcq,1.0,"Reproduction by the budding method is given in the figure. The organism reproduces 
by this method is:","[""Amoeba"", ""Yeast"", ""Fungi"", ""Algae""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca599,7,False,39.75903614457831,science_7.pdf,And
6982ff0697c92115623a583f,science,7,2.0,Reproduction in Plants,english,Average,mcq,1.0,Observe the figure. The Type of reproduction shows here is:,"[""Germination"", ""Sexual"", ""Fragmentation"", ""Pollination""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca599,7,False,44.067796610169495,science_7.pdf,And
6982ff0697c92115623a5840,science,7,2.0,Reproduction in Plants,english,Average,mcq,1.0,"Part where zygote is formed in the picture      
A. 
                 B. 
  
C. 
               D.",[],Keep it empty for now,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca599,7,False,44.44444444444444,science_7.pdf,And
6982ff0697c92115623a5841,science,7,2.0,Reproduction in Plants,english,Average,mcq,1.0,Male part necessary for sexual reproduction in plants,"[""Ovary"", ""Stamen"", ""Pistil"", ""Anther""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca599,7,True,54.71698113207547,science_7.pdf,And
6982ff0697c92115623a5842,science,7,2.0,Reproduction in Plants,english,Easy,mcq,1.0,Female part of a flower is,"[""Ovule"", ""Petal"", ""Stamen"", ""Pedicel""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca599,7,False,46.15384615384615,science_7.pdf,And
6982ff0697c92115623a584b,science,7,2.0,Reproduction in Plants,english,Easy,fill_in_the_blank,1.0,Fertilization occurs after the ___________ process.,[],Required Answer,LBA,2025-26,Fill in the Blanks,67449b18065a2c5cd2dca599,7,False,37.254901960784316,science_7.pdf,And
6982ff0697c92115623a584d,science,7,2.0,Reproduction in Plants,english,Easy,fill_in_the_blank,1.0,"New plant arises from the ___________ part of Bryophyllum in its asexual 
reproduction.  
III. 
Match the column A with the column B:",[],Required Answer,LBA,2025-26,Fill in the Blanks,67449b18065a2c5cd2dca599,7,False,38.759689922480625,science_7.pdf,And
6982ff0697c92115623a5853,science,7,2.0,Reproduction in Plants,english,Average,short_answer,1.0,Name the two gametes needed in sexual reproduction in plants.,[],Required Answer,LBA,2025-26,One Sentence Answers,67449b18065a2c5cd2dca599,7,False,47.540983606557376,science_7.pdf,And
6982ff0697c92115623a5857,science,7,2.0,Reproduction in Plants,english,Average,short_answer,1.0,Give an example of plants that reproduce through spores.,[],Required Answer,LBA,2025-26,One Sentence Answers,67449b18065a2c5cd2dca599,7,False,39.28571428571429,science_7.pdf,And
6982ff0697c92115623a585d,science,7,2.0,Reproduction in Plants,english,Easy,short_answer,2.0,Mention two methods of seed dispersal.,[],Required Answer,LBA,2025-26,Answer in Two Sentences,67449b18065a2c5cd2dca599,7,False,42.10526315789473,science_7.pdf,And
6982ff0697c92115623a5860,science,7,2.0,Reproduction in Plants,english,Difficult,short_answer,2.0,How does sexual reproduction increase plants number in a short period?,[],Required Answer,LBA,2025-26,Answer in Two Sentences,67449b18065a2c5cd2dca599,7,True,50.0,science_7.pdf,And
6982ff0697c92115623a5863,science,7,2.0,Reproduction in Plants,english,Average,short_answer,2.0,"How does reproduction occur in Cactus? 
 
VI. Answer the following questions in three-four sentences:",[],Required Answer,LBA,2025-26,Answer in Two Sentences,67449b18065a2c5cd2dca599,7,False,42.85714285714286,science_7.pdf,And
6982ff0697c92115623a5867,science,7,2.0,Reproduction in Plants,english,Average,fill_in_the_blank,3.0,"Draw a neat labelled diagram showing Fertilization in plants. 
VII. Answer the following questions in four-five sentences:",[],Required Answer,LBA,2025-26,Answer in Three Sentences,67449b18065a2c5cd2dca599,7,False,41.7910447761194,science_7.pdf,And
6982ff0697c92115623a5838,science,7,2.0,Reproduction in Plants,english,Easy,mcq,1.0,By this method does reproduction occur in Bryophyllum plants.,"[""Buds on leaf margins"", ""Nodes on the stem"", ""Root"", ""All of the above""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca599,7,False,42.622950819672134,science_7.pdf,And
6982ff0697c92115623a5839,science,7,2.0,Reproduction in Plants,english,Average,mcq,1.0,"Unisexual flowers have   
i. Stamen     ii. Pistil        iii. Stamen and Pistil    iv. Only one of the above is correct  
A. i, ii, iv       B, i, ii      C. Only iv       D. Only ii",[],Keep it empty for now,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca599,7,False,40.136054421768705,science_7.pdf,And
6982ff0697c92115623a5843,science,7,2.0,Reproduction in Plants,english,Easy,mcq,1.0,In plants the process that occurs before the formation of fruits from the flower is,"[""Fertilization"", ""Pollination"", ""Ejection"", ""Hybridization""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca599,7,False,40.963855421686745,science_7.pdf,And
6982ff0697c92115623a5844,science,7,2.0,Reproduction in Plants,english,Average,mcq,1.0,Advantage of hybrid seeds is,"[""Selling"", ""Good yield"", ""No flowers"", ""Low yield""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca599,7,False,46.42857142857143,science_7.pdf,And
6982ff0697c92115623a5848,science,7,2.0,Reproduction in Plants,english,Easy,fill_in_the_blank,1.0,The ___________ inside the ovule develops into a seed after fertilization.,[],Required Answer,LBA,2025-26,Fill in the Blanks,67449b18065a2c5cd2dca599,7,False,40.54054054054054,science_7.pdf,And
6982ff0697c92115623a5849,science,7,2.0,Reproduction in Plants,english,Easy,fill_in_the_blank,1.0,"___________reproduction occurs in potatoes, beans, etc.",[],Required Answer,LBA,2025-26,Fill in the Blanks,67449b18065a2c5cd2dca599,7,False,43.63636363636364,science_7.pdf,And
6982ff0697c92115623a584a,science,7,2.0,Reproduction in Plants,english,Easy,fill_in_the_blank,1.0,The flower is the ___________ organ of the plant.,[],Required Answer,LBA,2025-26,Fill in the Blanks,67449b18065a2c5cd2dca599,7,False,36.73469387755102,science_7.pdf,And
6982ff0697c92115623a584f,science,7,2.0,Reproduction in Plants,english,Average,match_the_following,1.0,"A                                              B  
i. Birds                                1. Male part  
ii. Potato                             2. Female part  
iii. Ovary                            3. Reproduction from vegetative buds  
iv. Pollen grain                   4. Helps in seed dispersal",[],Keep it empty for now,LBA,2025-26,Match the Following,67449b18065a2c5cd2dca599,7,False,41.825095057034225,science_7.pdf,And
6982ff0697c92115623a5854,science,7,2.0,Reproduction in Plants,english,Easy,short_answer,1.0,What is the male reproductive part of a flower?,[],Required Answer,LBA,2025-26,One Sentence Answers,67449b18065a2c5cd2dca599,7,False,48.93617021276596,science_7.pdf,And
6982ff0697c92115623a5856,science,7,2.0,Reproduction in Plants,english,Average,short_answer,1.0,What happens to a ripened ovary in plants after fertilisation?,[],Required Answer,LBA,2025-26,One Sentence Answers,67449b18065a2c5cd2dca599,7,False,43.548387096774185,science_7.pdf,And
6982ff0697c92115623a5858,science,7,2.0,Reproduction in Plants,english,Average,short_answer,1.0,How do fungi grow on bread?,[],Required Answer,LBA,2025-26,One Sentence Answers,67449b18065a2c5cd2dca599,7,False,44.44444444444444,science_7.pdf,And
6982ff0697c92115623a5861,science,7,2.0,Reproduction in Plants,english,Average,short_answer,2.0,All flowers do not produce fruits.Why?,[],Required Answer,LBA,2025-26,Answer in Two Sentences,67449b18065a2c5cd2dca599,7,False,42.10526315789473,science_7.pdf,And
6982ff0697c92115623a5845,science,7,2.0,Reproduction in Plants,english,Average,mcq,1.0,Animals help in seed dispersal are,"[""Fish"", ""Birds"", ""Plants"", ""Insects""]",Keep it empty for now,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca599,7,False,47.05882352941176,science_7.pdf,And
6982ff0697c92115623a5852,science,7,2.0,Reproduction in Plants,english,Easy,short_answer,1.0,Which process is the cause for the formation of fruits in seeds?,[],Required Answer,LBA,2025-26,One Sentence Answers,67449b18065a2c5cd2dca599,7,False,45.3125,science_7.pdf,And
6982ff0697c92115623a5855,science,7,2.0,Reproduction in Plants,english,Easy,short_answer,1.0,Name the female reproductive part of a flower?,[],Required Answer,LBA,2025-26,One Sentence Answers,67449b18065a2c5cd2dca599,7,False,47.82608695652174,science_7.pdf,And
