question_id,subject,class,chapter_number,chapter_title,medium,difficulty,answer_type,marks,text,options,key_answer,exam_type,year,group_heading,chapter_id,standard,found_in_pdf,match_score,pdf_source,pdf_section
68c90707e9df15cbd00dafe6,social science,6,1.0,INTRODUCTION TO HISTORY AND EARLY SOCIETY,English,Easy,fill_in_the_blank,1.0,Chronology in historical narration is called ______________.,[],Timeline,LBA,2024-25,Fill in the Blanks,67449b18065a2c5cd2dca5dd,6,False,35.416666666666664,social_science_6.pdf,And
68c90707e9df15cbd00dafea,social science,6,1.0,INTRODUCTION TO HISTORY AND EARLY SOCIETY,English,Easy,fill_in_the_blank,1.0,The Harappan civilization belongs to the ______________ period.,[],Chalcolithic Age (Copper and Bronze Stone Age),LBA,2024-25,Fill in the Blanks,67449b18065a2c5cd2dca5dd,6,False,34.92063492063492,social_science_6.pdf,And
68c90707e9df15cbd00dafec,social science,6,1.0,INTRODUCTION TO HISTORY AND EARLY SOCIETY,English,Easy,fill_in_the_blank,1.0,The earliest developed beings in the path of evolution are _____________.,[],Unicellular organisms,LBA,2024-25,Fill in the Blanks,67449b18065a2c5cd2dca5dd,6,False,44.03669724770643,social_science_6.pdf,And
68c90707e9df15cbd00dafee,social science,6,1.0,INTRODUCTION TO HISTORY AND EARLY SOCIETY,English,Easy,fill_in_the_blank,1.0,The first place where humans with modern physical features appeared is ______________.,[],South Africa,LBA,2024-25,Fill in the Blanks,67449b18065a2c5cd2dca5dd,6,False,38.1578947368421,social_science_6.pdf,And
68c90707e9df15cbd00dafe2,social science,6,1.0,INTRODUCTION TO HISTORY AND EARLY SOCIETY,English,Easy,fill_in_the_blank,1.0,"Just as humans have memory, the world's memory is ___________.",[],History,LBA,2024-25,Fill in the Blanks,67449b18065a2c5cd2dca5dd,6,False,32.6530612244898,social_science_6.pdf,And
68c90707e9df15cbd00dafe4,social science,6,1.0,INTRODUCTION TO HISTORY AND EARLY SOCIETY,English,Easy,fill_in_the_blank,1.0,One century means ______________ years.,[],100,LBA,2024-25,Fill in the Blanks,67449b18065a2c5cd2dca5dd,6,False,33.333333333333336,social_science_6.pdf,And
68c90707e9df15cbd00daff0,social science,6,1.0,INTRODUCTION TO HISTORY AND EARLY SOCIETY,English,Easy,fill_in_the_blank,1.0,The Stone Ages belong to the ______________ period.,[],Prehistoric period,LBA,2024-25,Fill in the Blanks,67449b18065a2c5cd2dca5dd,6,False,33.333333333333336,social_science_6.pdf,And
68c90707e9df15cbd00daff6,social science,6,1.0,INTRODUCTION TO HISTORY AND EARLY SOCIETY,English,Easy,short_answer,1.0,What does history provide clarity about?,[],When? Where? By whom? Did the event occur?,LBA,2024-25,Answer in One Sentence,67449b18065a2c5cd2dca5dd,6,False,38.961038961038966,social_science_6.pdf,And
68c90707e9df15cbd00daff8,social science,6,1.0,INTRODUCTION TO HISTORY AND EARLY SOCIETY,English,Easy,short_answer,1.0,Who first showed how to write history?,[],Greeks,LBA,2024-25,Answer in One Sentence,67449b18065a2c5cd2dca5dd,6,False,39.473684210526315,social_science_6.pdf,And
68c90707e9df15cbd00db000,social science,6,1.0,INTRODUCTION TO HISTORY AND EARLY SOCIETY,English,Easy,short_answer,1.0,When did human evolution take place?,[],1.8 million years ago,LBA,2024-25,Answer in One Sentence,67449b18065a2c5cd2dca5dd,6,False,41.666666666666664,social_science_6.pdf,And
