question_id,subject,class,chapter_number,chapter_title,medium,difficulty,answer_type,marks,text,options,key_answer,exam_type,year,group_heading,chapter_id,standard,found_in_pdf,match_score,pdf_source,pdf_section
698c22e4ec065fd7420d79d7,english,7,1.0,PROSE: HEALTHY LIFE,English,Easy,mcq,1.0,One who drinks the potion would lose the desire to,"[""die"", ""play"", ""live"", ""work""]",,LBA,2025-26,Multiple Choice Questions,67449bf5065a2c5cd2dcb8de,7,False,30.76923076923077,english_7.pdf,I
698c22e4ec065fd7420d79d8,english,7,1.0,PROSE: HEALTHY LIFE,English,Easy,mcq,1.0,While collecting energy a witch made a mistake in,"[""collecting resources"", ""uttering words"", ""destroying forest"", ""making potion""]",,LBA,2025-26,Multiple Choice Questions,67449bf5065a2c5cd2dcb8de,7,False,40.0,english_7.pdf,I
698c22e4ec065fd7420d79d9,english,7,1.0,PROSE: HEALTHY LIFE,English,Easy,mcq,1.0,All the witches were changed into tiny creatures like,"[""germs"", ""snails"", ""monsters"", ""animals""]",,LBA,2025-26,Multiple Choice Questions,67449bf5065a2c5cd2dcb8de,7,True,50.0,english_7.pdf,I
698c22e4ec065fd7420d79da,english,7,1.0,PROSE: HEALTHY LIFE,English,Easy,mcq,1.0,The doctor could understand that witches could not tolerate,"[""joy and happy"", ""wellbeing"", ""patience"", ""torture""]",,LBA,2025-26,Multiple Choice Questions,67449bf5065a2c5cd2dcb8de,7,False,42.85714285714286,english_7.pdf,I
698c22e4ec065fd7420d79db,english,7,1.0,PROSE: HEALTHY LIFE,English,Easy,mcq,1.0,"In the lesson, the result of explosion led to","[""peace"", ""non-violence"", ""misery"", ""destruction""]",,LBA,2025-26,Multiple Choice Questions,67449bf5065a2c5cd2dcb8de,7,False,30.000000000000004,english_7.pdf,I
698c22e4ec065fd7420d79dc,english,7,1.0,PROSE: HEALTHY LIFE,English,Average,fill_in_the_blank,1.0,What did the people eat during ancient days?,[],,LBA,2025-26,Short Answers,67449bf5065a2c5cd2dcb8de,7,False,40.0,english_7.pdf,I
698c22e4ec065fd7420d79dd,english,7,1.0,PROSE: HEALTHY LIFE,English,Average,fill_in_the_blank,1.0,The witches were furious. Why?,[],,LBA,2025-26,Short Answers,67449bf5065a2c5cd2dcb8de,7,False,30.000000000000004,english_7.pdf,I
698c22e4ec065fd7420d79de,english,7,1.0,PROSE: HEALTHY LIFE,English,Average,fill_in_the_blank,1.0,What is the meaning of potion?,[],,LBA,2025-26,Short Answers,67449bf5065a2c5cd2dcb8de,7,False,40.0,english_7.pdf,I
698c22e4ec065fd7420d79df,english,7,1.0,PROSE: HEALTHY LIFE,English,Average,fill_in_the_blank,1.0,Give reason for the potion to go wrong.,[],,LBA,2025-26,Short Answers,67449bf5065a2c5cd2dcb8de,7,False,47.05882352941176,english_7.pdf,I
698c22e4ec065fd7420d79e0,english,7,1.0,PROSE: HEALTHY LIFE,English,Average,fill_in_the_blank,1.0,Where did the boy find the liquid?,[],,LBA,2025-26,Short Answers,67449bf5065a2c5cd2dcb8de,7,False,30.000000000000004,english_7.pdf,I
698c22e4ec065fd7420d79e1,english,7,1.0,PROSE: HEALTHY LIFE,English,Average,fill_in_the_blank,1.0,Mention the worst disease that is caused due to the potion?,[],,LBA,2025-26,Short Answers,67449bf5065a2c5cd2dcb8de,7,False,30.000000000000004,english_7.pdf,I
698c22e4ec065fd7420d79e2,english,7,1.0,PROSE: HEALTHY LIFE,English,Average,fill_in_the_blank,1.0,List out any two things the boy liked to eat after drinking potion.,[],,LBA,2025-26,Short Answers,67449bf5065a2c5cd2dcb8de,7,False,40.0,english_7.pdf,I
698c22e4ec065fd7420d79e3,english,7,1.0,PROSE: HEALTHY LIFE,English,Average,fill_in_the_blank,1.0,What was the remedy prescribed by the doctor?,[],,LBA,2025-26,Short Answers,67449bf5065a2c5cd2dcb8de,7,False,40.0,english_7.pdf,I
698c22e4ec065fd7420d79e4,english,7,1.0,PROSE: HEALTHY LIFE,English,Difficult,fill_in_the_blank,2.0,Name any three ways for exercise.,[],,LBA,2025-26,Answer in Two or More Sentences,67449bf5065a2c5cd2dcb8de,7,False,40.0,english_7.pdf,I
698c22e4ec065fd7420d79e5,english,7,1.0,PROSE: HEALTHY LIFE,English,Difficult,fill_in_the_blank,2.0,Why is exercise good for us?,[],,LBA,2025-26,Answer in Two or More Sentences,67449bf5065a2c5cd2dcb8de,7,False,30.000000000000004,english_7.pdf,I
698c22e4ec065fd7420d79e6,english,7,1.0,PROSE: HEALTHY LIFE,English,Easy,fill_in_the_blank,2.0,Mention any four examples for healthy food.,[],,LBA,2025-26,Answer in Two or More Sentences,67449bf5065a2c5cd2dcb8de,7,False,30.000000000000004,english_7.pdf,I
698c22e4ec065fd7420d79e7,english,7,1.0,PROSE: HEALTHY LIFE,English,Difficult,fill_in_the_blank,2.0,What is the message of the lesson Healthy Life?,[],,LBA,2025-26,Answer in Two or More Sentences,67449bf5065a2c5cd2dcb8de,7,False,40.0,english_7.pdf,I
698c22e4ec065fd7420d79e8,english,7,1.0,PROSE: HEALTHY LIFE,English,Average,fill_in_the_blank,1.0,"She suggested all the witches to come together. 
A) Who is ‘she’ here?
B) Why were they called together?
C) Where did they gather?",[],,LBA,2025-26,Read and Answer,67449bf5065a2c5cd2dcb8de,7,False,40.0,english_7.pdf,I
698c22e4ec065fd7420d79e9,english,7,1.0,PROSE: HEALTHY LIFE,English,Average,fill_in_the_blank,1.0,"He stopped going out of the house. 
A) Who is he referred to?
B) What did he continue to do?
C) Why did he do so?",[],,LBA,2025-26,Read and Answer,67449bf5065a2c5cd2dcb8de,7,False,40.0,english_7.pdf,I
698c22e4ec065fd7420d79ea,english,7,1.0,PROSE: HEALTHY LIFE,English,Easy,fill_in_the_blank,1.0,"Many years ago, everyone was ________ and healthy. (weak /strong)",[],,LBA,2025-26,Fill in the Blanks,67449bf5065a2c5cd2dcb8de,7,True,50.0,english_7.pdf,I
698c22e4ec065fd7420d79eb,english,7,1.0,PROSE: HEALTHY LIFE,English,Easy,fill_in_the_blank,1.0,One who drinks the potion would lose the ________ to live. (desire/ disgust),[],,LBA,2025-26,Fill in the Blanks,67449bf5065a2c5cd2dcb8de,7,False,30.76923076923077,english_7.pdf,I
698c22e4ec065fd7420d79ec,english,7,1.0,PROSE: HEALTHY LIFE,English,Easy,fill_in_the_blank,1.0,The meaning of the word explosion is ________ (outburst/ implosion),[],,LBA,2025-26,Fill in the Blanks,67449bf5065a2c5cd2dcb8de,7,False,40.0,english_7.pdf,I
698c22e4ec065fd7420d79ed,english,7,1.0,PROSE: HEALTHY LIFE,English,Easy,fill_in_the_blank,1.0,All the witches turned into ________creatures. (big/tiny),[],,LBA,2025-26,Fill in the Blanks,67449bf5065a2c5cd2dcb8de,7,False,40.0,english_7.pdf,I
698c22e4ec065fd7420d79ee,english,7,1.0,PROSE: HEALTHY LIFE,English,Easy,fill_in_the_blank,1.0,The boy ________ the potion fully. (swallowed/spilled),[],,LBA,2025-26,Fill in the Blanks,67449bf5065a2c5cd2dcb8de,7,False,30.000000000000004,english_7.pdf,I
