question_id,subject,class,chapter_number,chapter_title,medium,difficulty,answer_type,marks,text,options,key_answer,exam_type,year,group_heading,chapter_id,standard,found_in_pdf,match_score,pdf_source,pdf_section
68c90707e9df15cbd00db035,social science,6,2.0,INDIA - OUR PRIDE,English,Easy,short_answer,1.0,How did the name ‘India’ originate?,[],The land ruled by Emperor Bharata,LBA,2024-25,Answer in One Sentence,68c90707b2047575edbc37c7,6,False,43.47826086956522,social_science_6.pdf,INDIA – OUR PRIDE
68c90707e9df15cbd00db04b,social science,6,2.0,INDIA - OUR PRIDE,English,Easy,fill_in_the_blank,1.0,The greatest contributors to the world are ______________.,[],Indians,LBA,2024-25,Fill in the Blanks,68c90707b2047575edbc37c7,6,False,42.42424242424242,social_science_6.pdf,INDIA – OUR PRIDE
68c90707e9df15cbd00db073,social science,6,2.0,INDIA - OUR PRIDE,English,Difficult,map_based,5.0,"Draw the map of India and mark the following places: Bihar, Vadodara, Chennai.",[],[image],LBA,2024-25,Map Activity,68c90707b2047575edbc37c7,6,False,45.45454545454546,social_science_6.pdf,INDIA – OUR PRIDE
68c90707e9df15cbd00db041,social science,6,2.0,INDIA - OUR PRIDE,English,Easy,short_answer,1.0,How many centuries before Copernicus did Aryabhata live?,[],10th century,LBA,2024-25,Answer in One Sentence,68c90707b2047575edbc37c7,6,False,44.067796610169495,social_science_6.pdf,INDIA – OUR PRIDE
68c90707e9df15cbd00db043,social science,6,2.0,INDIA - OUR PRIDE,English,Easy,short_answer,1.0,Where did Indians prepare longitude maps for sailors?,[],Ujjain,LBA,2024-25,Answer in One Sentence,68c90707b2047575edbc37c7,6,False,45.16129032258065,social_science_6.pdf,INDIA – OUR PRIDE
68c90707e9df15cbd00db057,social science,6,2.0,INDIA - OUR PRIDE,English,Easy,fill_in_the_blank,1.0,The person who brought freedom to India using non-violence is ______________.,[],Mahatma Gandhi,LBA,2024-25,Fill in the Blanks,68c90707b2047575edbc37c7,6,False,43.99999999999999,social_science_6.pdf,INDIA – OUR PRIDE
68c90707e9df15cbd00db059,social science,6,2.0,INDIA - OUR PRIDE,English,Easy,fill_in_the_blank,1.0,India's first artificial satellite is ______________.,[],Aryabhata,LBA,2024-25,Fill in the Blanks,68c90707b2047575edbc37c7,6,False,32.14285714285714,social_science_6.pdf,INDIA – OUR PRIDE
68c90707e9df15cbd00db061,social science,6,2.0,INDIA - OUR PRIDE,English,Average,match_pairs,1.0,,[],,LBA,2024-25,Match the Following,68c90707b2047575edbc37c7,6,False,0.0,social_science_6.pdf,INDIA – OUR PRIDE
68c90707e9df15cbd00db067,social science,6,2.0,INDIA - OUR PRIDE,English,Average,analogy,2.0,Persians: Hindu :: Greeks: __________,[],Indus,LBA,2024-25,Word Relation,68c90707b2047575edbc37c7,6,False,33.333333333333336,social_science_6.pdf,INDIA – OUR PRIDE
68c90707e9df15cbd00db06b,social science,6,2.0,INDIA - OUR PRIDE,English,Average,short_answer,3.0,Name four World Heritage Sites in India.,[],"Hampi, Pattadakal, Taj Mahal in Agra, Konark Sun Temple",LBA,2024-25,Answer in 2-4 Sentences,68c90707b2047575edbc37c7,6,False,40.0,social_science_6.pdf,INDIA – OUR PRIDE
68c90707e9df15cbd00db06d,social science,6,2.0,INDIA - OUR PRIDE,English,Average,short_answer,3.0,Explain Indian values.,[],"- Acharyadevo Bhava (Teacher is like a God)
- Non-violence
- May all people be happy
- Equality of all religions",LBA,2024-25,Answer in 2-4 Sentences,68c90707b2047575edbc37c7,6,False,45.714285714285715,social_science_6.pdf,INDIA – OUR PRIDE
