question_id,subject,class,chapter_number,chapter_title,medium,difficulty,answer_type,marks,text,options,key_answer,exam_type,year,group_heading,chapter_id,standard,found_in_pdf,match_score,pdf_source,pdf_section
698c22e4ec065fd7420d7a4e,english,7,8.0,POEM: FROTH AND BUBBLE,English,Average,fill_in_the_blank,1.0,"Project work: Collect quotes of great personalities and write them on the notice board every
day. 
FROTH AND BUBBLE (Poem)",[],,LBA,2025-26,Short Answers,67ca912d9f0501ae9196ad77,7,False,44.13145539906104,english_7.pdf,Bubble
698c22e4ec065fd7420d7a4f,english,7,8.0,POEM: FROTH AND BUBBLE,English,Easy,mcq,1.0,The poem Froth and Bubble is written by,"[""Willam Wordsworth"", ""Adam Lindsay Gordon"", ""Sylvia Stults"", ""M.C Davies""]",,LBA,2025-26,Multiple Choice Questions,67ca912d9f0501ae9196ad77,7,False,43.58974358974359,english_7.pdf,Bubble
698c22e4ec065fd7420d7a50,english,7,8.0,POEM: FROTH AND BUBBLE,English,Easy,mcq,1.0,"In the poem, ‘feeble’ means","[""helpless"", ""strong"", ""weak"", ""bold""]",,LBA,2025-26,Multiple Choice Questions,67ca912d9f0501ae9196ad77,7,False,48.0,english_7.pdf,Bubble
698c22e4ec065fd7420d7a51,english,7,8.0,POEM: FROTH AND BUBBLE,English,Easy,mcq,1.0,According to the poet ‘Life is mostly’,"[""Froth and bubble"", ""God\u2019s gift"", ""certain"", ""beautiful""]",,LBA,2025-26,Multiple Choice Questions,67ca912d9f0501ae9196ad77,7,False,44.44444444444444,english_7.pdf,Bubble
698c22e4ec065fd7420d7a52,english,7,8.0,POEM: FROTH AND BUBBLE,English,Easy,fill_in_the_blank,1.0,Identify the different pairs of rhyming words given below :,[],,LBA,2025-26,Short Answers,67ca912d9f0501ae9196ad77,7,False,45.76271186440678,english_7.pdf,Bubble
698c22e4ec065fd7420d7a53,english,7,8.0,POEM: FROTH AND BUBBLE,English,Average,fill_in_the_blank,2.0,What is gentle emotion compared to in the poem?,[],,LBA,2025-26,Answer in Two or More Sentences,67ca912d9f0501ae9196ad77,7,False,48.93617021276596,english_7.pdf,Bubble
698c22e4ec065fd7420d7a54,english,7,8.0,POEM: FROTH AND BUBBLE,English,Difficult,fill_in_the_blank,2.0,According to the poet what is life?,[],,LBA,2025-26,Answer in Two or More Sentences,67ca912d9f0501ae9196ad77,7,False,48.57142857142858,english_7.pdf,Bubble
698c22e4ec065fd7420d7a55,english,7,8.0,POEM: FROTH AND BUBBLE,English,Average,fill_in_the_blank,2.0,"Write synonyms for the following words 
goal, labour, seek, courage",[],,LBA,2025-26,Answer in Two or More Sentences,67ca912d9f0501ae9196ad77,7,False,40.944881889763785,english_7.pdf,Bubble
698c22e4ec065fd7420d7a56,english,7,8.0,POEM: FROTH AND BUBBLE,English,Difficult,fill_in_the_blank,2.0,How do you respond to others’ trouble?,[],,LBA,2025-26,Answer in Two or More Sentences,67ca912d9f0501ae9196ad77,7,True,54.054054054054056,english_7.pdf,Bubble
698c22e4ec065fd7420d7a57,english,7,8.0,POEM: FROTH AND BUBBLE,English,Average,fill_in_the_blank,1.0,"Read the following poem and write the theme of the poem in your mother tongue: 
Question not, but live and labour
Till your goal be won,
Helping every feeble neighbour,
Seeking help from none;
Life is mostly froth and bubble,
Two things stand like stone:
Kindness in another’s trouble,
Courage in your own.
-------------------------------
labour, won, neighbour, one,
bubble, stone, trouble, own",[],,LBA,2025-26,Short Answers,67ca912d9f0501ae9196ad77,7,False,42.32804232804233,english_7.pdf,Bubble
