question_id,subject,class,chapter_number,chapter_title,medium,difficulty,answer_type,marks,text,options,key_answer,exam_type,year,group_heading,chapter_id,standard,found_in_pdf,match_score,pdf_source,pdf_section
698c22dcec065fd7420d7839,english,6,1.0,PROSE: THE LIGHTHOUSE,English,Easy,fill_in_the_blank,1.0,"A land next to the sea is called ________ 
A) shore
B) island
C) lighthouse
D) village",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196ac64,6,False,44.705882352941174,english_6.pdf,I
698c22dcec065fd7420d783a,english,6,1.0,PROSE: THE LIGHTHOUSE,English,Easy,fill_in_the_blank,1.0,"Meaning of the word ‘thrilled’ is ________ 
A) scared
B) excited
C) anger
D) fun",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196ac64,6,False,46.753246753246756,english_6.pdf,I
698c22dcec065fd7420d783b,english,6,1.0,PROSE: THE LIGHTHOUSE,English,Easy,fill_in_the_blank,1.0,"Don’t dry my red shirt in the sun. It will become ________ 
A) fearless
B) colourless
C) helpless
D) hopeless",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196ac64,6,False,42.056074766355145,english_6.pdf,I
698c22dcec065fd7420d783c,english,6,1.0,PROSE: THE LIGHTHOUSE,English,Easy,fill_in_the_blank,1.0,"Find the antonym of the word ‘Dangerous’.  
A) stop
B) save
C) safe
D) short",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196ac64,6,False,45.833333333333336,english_6.pdf,I
698c22dcec065fd7420d783d,english,6,1.0,PROSE: THE LIGHTHOUSE,English,Easy,fill_in_the_blank,1.0,"Find the synonym of the word ‘Excursion’.  
A) picnic
B) enjoy
C) excitement
D) family",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196ac64,6,False,43.90243902439024,english_6.pdf,I
698c22dcec065fd7420d783e,english,6,1.0,PROSE: THE LIGHTHOUSE,English,Easy,fill_in_the_blank,1.0,"A person who catches fish for a living. 
A) shepherd
B) fisherman
C) butcher
D) hunter",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196ac64,6,False,47.05882352941176,english_6.pdf,I
698c22dcec065fd7420d783f,english,6,1.0,PROSE: THE LIGHTHOUSE,English,Easy,fill_in_the_blank,1.0,"A journey by sea is known as ________ 
A) voyage
B) trip
C) travel
D) visit",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196ac64,6,False,40.54054054054054,english_6.pdf,I
698c22dcec065fd7420d7840,english,6,1.0,PROSE: THE LIGHTHOUSE,English,Easy,fill_in_the_blank,1.0,"Find the describing word for ‘Rose’. 
A) neat
B) ugly
C) tall
D) red",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196ac64,6,False,45.36082474226804,english_6.pdf,I
698c22dcec065fd7420d7841,english,6,1.0,PROSE: THE LIGHTHOUSE,English,Easy,fill_in_the_blank,1.0,"Fill in the missing letters to get a meaningful word.
a. One who sails across a sea or a river       –   S __ __ L __ R. 
b. An area of a land by the side of the sea   –   S __ A S __ __ R E.",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196ac64,6,False,43.67816091954023,english_6.pdf,I
698c22dcec065fd7420d7842,english,6,1.0,PROSE: THE LIGHTHOUSE,English,Average,fill_in_the_blank,1.0,"Punctuate the following. 
rajiv exclaimed how clever of the humans",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196ac64,6,False,43.07692307692308,english_6.pdf,I
698c22dcec065fd7420d7843,english,6,1.0,PROSE: THE LIGHTHOUSE,English,Easy,fill_in_the_blank,1.0,"Fill in the blank with appropriate tense forms of the verbs given in brackets. 
Rajiv asked his father, when ________ (is) the first lighthouse built?",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196ac64,6,False,46.308724832214764,english_6.pdf,I
698c22dcec065fd7420d7844,english,6,1.0,PROSE: THE LIGHTHOUSE,English,Easy,fill_in_the_blank,1.0,"Fill in the blank with an appropriate preposition. 
In olden days, wood fires would be lit ________ high places on the shore.",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196ac64,6,False,42.74193548387096,english_6.pdf,I
698c22dcec065fd7420d7845,english,6,1.0,PROSE: THE LIGHTHOUSE,English,Average,fill_in_the_blank,1.0,"Fill in the blank with the suitable article. 
Madhav bought ________ ice cream to his son Rajiv.",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196ac64,6,False,43.15789473684211,english_6.pdf,I
698c22dcec065fd7420d7846,english,6,1.0,PROSE: THE LIGHTHOUSE,English,Easy,fill_in_the_blank,1.0,"Underline the adjective in the following sentence. 
Lighthouse is a strong building in the shape of a tower near the seashore.",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196ac64,6,False,45.599999999999994,english_6.pdf,I
698c22dcec065fd7420d7847,english,6,1.0,PROSE: THE LIGHTHOUSE,English,Easy,fill_in_the_blank,1.0,"Identify the parts of speech of the underlined word given. 
Rahul is driving a car.",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196ac64,6,False,45.12195121951219,english_6.pdf,I
698c22dcec065fd7420d7848,english,6,1.0,PROSE: THE LIGHTHOUSE,English,Easy,fill_in_the_blank,1.0,"Rearrange the words into a meaningful sentence. 
was / Rajiv / happy / very",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196ac64,6,False,45.945945945945944,english_6.pdf,I
698c22dcec065fd7420d7849,english,6,1.0,PROSE: THE LIGHTHOUSE,English,Average,fill_in_the_blank,1.0,Where did Rajiv and his father go?,[],,LBA,2025-26,One Sentence Answers,67ca912d9f0501ae9196ac64,6,True,55.88235294117647,english_6.pdf,I
698c22dcec065fd7420d784a,english,6,1.0,PROSE: THE LIGHTHOUSE,English,Average,fill_in_the_blank,1.0,"Have you seen a lighthouse, where?",[],,LBA,2025-26,One Sentence Answers,67ca912d9f0501ae9196ac64,6,True,52.94117647058824,english_6.pdf,I
698c22dcec065fd7420d784b,english,6,1.0,PROSE: THE LIGHTHOUSE,English,Difficult,fill_in_the_blank,1.0,How do modern lighthouses work?,[],,LBA,2025-26,One Sentence Answers,67ca912d9f0501ae9196ac64,6,True,51.61290322580645,english_6.pdf,I
698c22dcec065fd7420d784c,english,6,1.0,PROSE: THE LIGHTHOUSE,English,Average,fill_in_the_blank,1.0,What are the uses of lighthouses?,[],,LBA,2025-26,One Sentence Answers,67ca912d9f0501ae9196ac64,6,True,51.515151515151516,english_6.pdf,I
698c22dcec065fd7420d784d,english,6,1.0,PROSE: THE LIGHTHOUSE,English,Difficult,fill_in_the_blank,1.0,How did the lighthouses guide the sailors to safety?,[],,LBA,2025-26,Short Answers,67ca912d9f0501ae9196ac64,6,False,46.15384615384615,english_6.pdf,I
698c22dcec065fd7420d784e,english,6,1.0,PROSE: THE LIGHTHOUSE,English,Difficult,fill_in_the_blank,1.0,Describe a lighthouse in your own words.,[],,LBA,2025-26,Short Answers,67ca912d9f0501ae9196ac64,6,True,50.0,english_6.pdf,I
698c22dcec065fd7420d784f,english,6,1.0,PROSE: THE LIGHTHOUSE,English,Difficult,fill_in_the_blank,1.0,What incidents in your life made you thrilled?,[],,LBA,2025-26,Short Answers,67ca912d9f0501ae9196ac64,6,False,47.82608695652174,english_6.pdf,I
698c22dcec065fd7420d7850,english,6,1.0,PROSE: THE LIGHTHOUSE,English,Easy,fill_in_the_blank,1.0,Where did Rohan and Aryan go?,[],,LBA,2025-26,Read and Answer,67ca912d9f0501ae9196ac64,6,True,55.172413793103445,english_6.pdf,I
698c22dcec065fd7420d7851,english,6,1.0,PROSE: THE LIGHTHOUSE,English,Easy,fill_in_the_blank,1.0,What animals did they see?,[],,LBA,2025-26,Read and Answer,67ca912d9f0501ae9196ac64,6,True,57.692307692307686,english_6.pdf,I
698c22dcec065fd7420d7852,english,6,1.0,PROSE: THE LIGHTHOUSE,English,Average,fill_in_the_blank,1.0,What did they learn?,[],,LBA,2025-26,Read and Answer,67ca912d9f0501ae9196ac64,6,True,55.00000000000001,english_6.pdf,I
698c22dcec065fd7420d7853,english,6,1.0,PROSE: THE LIGHTHOUSE,English,Average,fill_in_the_blank,1.0,Write a description or an account of what the picture suggests in a paragraph.,[],,LBA,2025-26,Picture Description,67ca912d9f0501ae9196ac64,6,False,44.87179487179487,english_6.pdf,I
698c22dcec065fd7420d7854,english,6,1.0,PROSE: THE LIGHTHOUSE,English,Average,fill_in_the_blank,1.0,"Prepare a model of a light house and present it before the class. 
The Rainbow (Poem)",[],,LBA,2025-26,Picture Description,67ca912d9f0501ae9196ac64,6,False,45.238095238095234,english_6.pdf,I
698c22dcec065fd7420d7855,english,6,1.0,PROSE: THE LIGHTHOUSE,English,Average,fill_in_the_blank,1.0,I. Four alternatives are given for each of the following questions/incomplete statements. Only one of them is appropriate or correct. Choose the correct alternative and complete the following.,[],,LBA,2025-26,Short Answers,67ca912d9f0501ae9196ac64,6,False,44.270833333333336,english_6.pdf,I
