question_id,subject,class,chapter_number,chapter_title,medium,difficulty,answer_type,marks,text,options,key_answer,exam_type,year,group_heading,chapter_id,standard,found_in_pdf,match_score,pdf_source,pdf_section
698c2304ec065fd7420d8a6d,english,10,16.0,POEM: Off to Outer Space Tomorrow Morning,English,Average,fill_in_the_blank,2.0,"According to the poet outer space is solitary confinement for him. Why ? (2023 March, 2023
June,2017 April, June2018)",[],,LBA,2025-26,Answer in Two or More Sentences,67ca912d9f0501ae9196af2f,10,False,43.58974358974359,english_10.pdf,OR
698c2304ec065fd7420d8a6e,english,10,16.0,POEM: Off to Outer Space Tomorrow Morning,English,Average,fill_in_the_blank,2.0,"The poet is ‘off to outer space tomorrow morning’. What does he ask the readers to do?( 2016 June)
OR
The speaker in ‘Off to Outer Space Tomorrow Morning’ is uncertain of his return. How does he
express this?",[],,LBA,2025-26,Answer in Two or More Sentences,67ca912d9f0501ae9196af2f,10,False,46.568627450980394,english_10.pdf,OR
698c2304ec065fd7420d8a6f,english,10,16.0,POEM: Off to Outer Space Tomorrow Morning,English,Average,fill_in_the_blank,2.0,"State the reason for the poet to say that ""Calendars and clocks are useless in space"" (2019 April,2019
June)",[],,LBA,2025-26,Answer in Two or More Sentences,67ca912d9f0501ae9196af2f,10,False,48.14814814814815,english_10.pdf,OR
698c2304ec065fd7420d8a70,english,10,16.0,POEM: Off to Outer Space Tomorrow Morning,English,Average,fill_in_the_blank,2.0,"The speaker says ""Tea cups, circling round me like the planets round the sun"". Why does it happen
only in space and not on earth?",[],,LBA,2025-26,Answer in Two or More Sentences,67ca912d9f0501ae9196af2f,10,False,48.06201550387597,english_10.pdf,OR
698c2304ec065fd7420d8a71,english,10,16.0,POEM: Off to Outer Space Tomorrow Morning,English,Average,fill_in_the_blank,2.0,What might have been the purpose of the poet behind the repetition of the last line in each stanza?,[],,LBA,2025-26,Answer in Two or More Sentences,67ca912d9f0501ae9196af2f,10,True,52.52525252525253,english_10.pdf,OR
698c2304ec065fd7420d8a72,english,10,16.0,POEM: Off to Outer Space Tomorrow Morning,English,Average,fill_in_the_blank,2.0,How would people on earth watch the astronaut? Would it affect him in any way?  (2018 April),[],,LBA,2025-26,Answer in Two or More Sentences,67ca912d9f0501ae9196af2f,10,False,46.15384615384615,english_10.pdf,OR
698c2304ec065fd7420d8a73,english,10,16.0,POEM: Off to Outer Space Tomorrow Morning,English,Average,fill_in_the_blank,2.0,Give some instances of daily routine mentioned in the poem ‘Off to Outer Space Tomorrow Morning’.,[],,LBA,2025-26,Answer in Two or More Sentences,67ca912d9f0501ae9196af2f,10,False,48.421052631578945,english_10.pdf,OR
698c2304ec065fd7420d8a74,english,10,16.0,POEM: Off to Outer Space Tomorrow Morning,English,Average,fill_in_the_blank,2.0,How has the poet described the life in space in the poem ‘Off to Outer Space Tomorrow Morning’?,[],,LBA,2025-26,Answer in Two or More Sentences,67ca912d9f0501ae9196af2f,10,True,51.61290322580645,english_10.pdf,OR
698c2304ec065fd7420d8a75,english,10,16.0,POEM: Off to Outer Space Tomorrow Morning,English,Average,fill_in_the_blank,1.0,"“There won’t be any calendar, there won’t be any clock”
(2020 April, September 2025)
A) Who is the speaker?
B) Why won't there be any calendars and clocks?
C) What is the speaker referring to as ‘ There’, in the sentence?",[],,LBA,2025-26,Read and Answer,67ca912d9f0501ae9196af2f,10,False,45.79439252336449,english_10.pdf,OR
698c2304ec065fd7420d8a76,english,10,16.0,POEM: Off to Outer Space Tomorrow Morning,English,Average,fill_in_the_blank,1.0,"“Daylight will be on the switch and winter under lock”
A) ‘Winter under lock’- what does this mean?
B) Where would all the above happen?
C) Who is the poet of this poem?
D) When does the speaker say this?",[],,LBA,2025-26,Read and Answer,67ca912d9f0501ae9196af2f,10,False,49.0,english_10.pdf,OR
