question_id,subject,class,chapter_number,chapter_title,medium,difficulty,answer_type,marks,text,options,key_answer,exam_type,year,group_heading,chapter_id,standard,found_in_pdf,match_score,pdf_source,pdf_section
698c22e4ec065fd7420d7a7c,english,7,11.0,PROSE: JOURNEY TO THE TOP,English,Easy,mcq,1.0,Bachendri pal was born in,"[""Bhopal"", ""Nakuri"", ""Delhi"", ""Chennai""]",,LBA,2025-26,Multiple Choice Questions,67449bf5065a2c5cd2dcb573,7,False,40.0,english_7.pdf,Top
698c22e4ec065fd7420d7a7d,english,7,11.0,PROSE: JOURNEY TO THE TOP,English,Easy,mcq,1.0,Bachendri pal’s father was a,"[""coach"", ""lawyer"", ""tradesman"", ""trainer""]",,LBA,2025-26,Multiple Choice Questions,67449bf5065a2c5cd2dcb573,7,False,40.74074074074075,english_7.pdf,Top
698c22e4ec065fd7420d7a7e,english,7,11.0,PROSE: JOURNEY TO THE TOP,English,Easy,mcq,1.0,The highest sports award given in India is,"[""Ashoka Chakra"", ""Arjuna Award"", ""Gold Medal"", ""Dronacharya Award""]",,LBA,2025-26,Multiple Choice Questions,67449bf5065a2c5cd2dcb573,7,False,38.095238095238095,english_7.pdf,Top
698c22e4ec065fd7420d7a7f,english,7,11.0,PROSE: JOURNEY TO THE TOP,English,Easy,mcq,1.0,Bachendri pal studied M.A in,"[""Sanskrit"", ""English"", ""Urdu"", ""Hindi""]",,LBA,2025-26,Multiple Choice Questions,67449bf5065a2c5cd2dcb573,7,False,39.28571428571429,english_7.pdf,Top
698c22e4ec065fd7420d7a80,english,7,11.0,PROSE: JOURNEY TO THE TOP,English,Easy,mcq,1.0,The Nepali name for the highest peak in the world is,"[""Dhaulagiri"", ""Kanchan ganga"", ""Sagarmatha"", ""Annapurna""]",,LBA,2025-26,Multiple Choice Questions,67449bf5065a2c5cd2dcb573,7,False,42.307692307692314,english_7.pdf,Top
698c22e4ec065fd7420d7a81,english,7,11.0,PROSE: JOURNEY TO THE TOP,English,Easy,fill_in_the_blank,1.0,Who was Bachendri pal?,[],,LBA,2025-26,One Sentence Answers,67449bf5065a2c5cd2dcb573,7,False,33.333333333333336,english_7.pdf,Top
698c22e4ec065fd7420d7a82,english,7,11.0,PROSE: JOURNEY TO THE TOP,English,Average,fill_in_the_blank,1.0,How did she earn money when she was a student?,[],,LBA,2025-26,One Sentence Answers,67449bf5065a2c5cd2dcb573,7,False,39.13043478260869,english_7.pdf,Top
698c22e4ec065fd7420d7a83,english,7,11.0,PROSE: JOURNEY TO THE TOP,English,Average,fill_in_the_blank,1.0,Mention Bachendri pal’s educational qualification.,[],,LBA,2025-26,One Sentence Answers,67449bf5065a2c5cd2dcb573,7,False,38.775510204081634,english_7.pdf,Top
698c22e4ec065fd7420d7a84,english,7,11.0,PROSE: JOURNEY TO THE TOP,English,Easy,fill_in_the_blank,1.0,Which mountains did Bachendri climb during her time at NIM?,[],,LBA,2025-26,One Sentence Answers,67449bf5065a2c5cd2dcb573,7,False,46.51162790697675,english_7.pdf,Top
698c22e4ec065fd7420d7a85,english,7,11.0,PROSE: JOURNEY TO THE TOP,English,Easy,fill_in_the_blank,1.0,When was Bachendri selected for the Indian Everest Expedition?,[],,LBA,2025-26,One Sentence Answers,67449bf5065a2c5cd2dcb573,7,False,40.32258064516129,english_7.pdf,Top
698c22e4ec065fd7420d7a86,english,7,11.0,PROSE: JOURNEY TO THE TOP,English,Difficult,fill_in_the_blank,2.0,Describe Bachendri pal’s childhood.,[],,LBA,2025-26,Answer in Two or More Sentences,67449bf5065a2c5cd2dcb573,7,False,43.13725490196079,english_7.pdf,Top
