question_id,subject,class,chapter_number,chapter_title,medium,difficulty,answer_type,marks,text,options,key_answer,exam_type,year,group_heading,chapter_id,standard,found_in_pdf,match_score,pdf_source,pdf_section
698c22f5ec065fd7420d8106,english,9,8.0,POEM: The Wonderful Words,English,Average,fill_in_the_blank,1.0,"Fill in the blank with suitable preposition.
( from,of,in,by,up,to,for)
A) Jumman and his family were tired ……… the old relative.
B) Jumman and Algu were greatly respected ………. the village.
C) My wife knows best how ………. run the house.
D) I will abide ……….her decision.
e)
Let no one deviate …………the path of justice.",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196ae25,9,False,42.85714285714286,english_9.pdf,OR
698c22f5ec065fd7420d8107,english,9,8.0,POEM: The Wonderful Words,English,Average,fill_in_the_blank,1.0,"Fill in the blank with suitable preposition.
( from,of,in,by,up,to,for)
A) Jumman and his family were tired ……… the old relative.
B) Jumman and Algu were greatly respected ………. the village.
C) My wife knows best how ………. run the house.
D) I will abide ……….her decision.
e)
Let no one deviate …………the path of justice.",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196ae25,9,False,42.85714285714286,english_9.pdf,OR
698c22f5ec065fd7420d8108,english,9,8.0,POEM: The Wonderful Words,English,Average,fill_in_the_blank,1.0,"Fill in the blank with suitable preposition.
( from,of,in,by,up,to,for)
A) Jumman and his family were tired ……… the old relative.
B) Jumman and Algu were greatly respected ………. the village.
C) My wife knows best how ………. run the house.
D) I will abide ……….her decision.
e)
Let no one deviate …………the path of justice.",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196ae25,9,False,42.85714285714286,english_9.pdf,OR
698c22f5ec065fd7420d8109,english,9,8.0,POEM: The Wonderful Words,English,Average,fill_in_the_blank,1.0,"Fill in the blank with suitable preposition.
( from,of,in,by,up,to,for)
A) Jumman and his family were tired ……… the old relative.
B) Jumman and Algu were greatly respected ………. the village.
C) My wife knows best how ………. run the house.
D) I will abide ……….her decision.
e)
Let no one deviate …………the path of justice.",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196ae25,9,False,42.85714285714286,english_9.pdf,OR
698c22f5ec065fd7420d810a,english,9,8.0,POEM: The Wonderful Words,English,Average,fill_in_the_blank,1.0,"A) The other word for ‘abide’ is ……………………
( accept,defend,reject,suggest)
B) Match the words in Column A with their Synonyms in Column B.
Column A                                    Column B
Abide by                                      animal
Beast                                            aware of
Propose                                       rarely
Obvious                                       accept
Seldom                                        suggest
Realize                                         clear",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196ae25,9,False,41.75824175824175,english_9.pdf,OR
698c22f5ec065fd7420d810b,english,9,8.0,POEM: The Wonderful Words,English,Average,fill_in_the_blank,1.0,"A) The other word for ‘abide’ is ……………………
( accept,defend,reject,suggest)
B) Match the words in Column A with their Synonyms in Column B.
Column A                                    Column B
Abide by                                      animal
Beast                                            aware of
Propose                                       rarely
Obvious                                       accept
Seldom                                        suggest
Realize                                         clear",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196ae25,9,False,41.75824175824175,english_9.pdf,OR
698c22f5ec065fd7420d810c,english,9,8.0,POEM: The Wonderful Words,English,Average,fill_in_the_blank,1.0,"A) The other word for ‘abide’ is ……………………
( accept,defend,reject,suggest)
B) Match the words in Column A with their Synonyms in Column B.
Column A                                    Column B
Abide by                                      animal
Beast                                            aware of
Propose                                       rarely
Obvious                                       accept
Seldom                                        suggest
Realize                                         clear",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196ae25,9,False,41.75824175824175,english_9.pdf,OR
698c22f5ec065fd7420d810d,english,9,8.0,POEM: The Wonderful Words,English,Average,fill_in_the_blank,1.0,"A) The other word for ‘abide’ is ……………………
( accept,defend,reject,suggest)
B) Match the words in Column A with their Synonyms in Column B.
Column A                                    Column B
Abide by                                      animal
Beast                                            aware of
Propose                                       rarely
Obvious                                       accept
Seldom                                        suggest
Realize                                         clear",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196ae25,9,False,41.75824175824175,english_9.pdf,OR
698c22f5ec065fd7420d810e,english,9,8.0,POEM: The Wonderful Words,English,Easy,fill_in_the_blank,1.0,"Identify the correct infinitive in the given sentences.
A) My wife knows best how to run the house.
B) The old woman decided to take the case to the village panchayath.
C) “That’s all I have to say”, he concluded.
D) He promised to look after her as long as she lived.",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196ae25,9,False,45.05494505494505,english_9.pdf,OR
698c22f5ec065fd7420d810f,english,9,8.0,POEM: The Wonderful Words,English,Easy,fill_in_the_blank,1.0,"Identify the correct infinitive in the given sentences.
A) My wife knows best how to run the house.
B) The old woman decided to take the case to the village panchayath.
C) “That’s all I have to say”, he concluded.
D) He promised to look after her as long as she lived.",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196ae25,9,False,45.05494505494505,english_9.pdf,OR
