question_id,subject,class,chapter_number,chapter_title,medium,difficulty,answer_type,marks,text,options,key_answer,exam_type,year,group_heading,chapter_id,standard,found_in_pdf,match_score,pdf_source,pdf_section
6982fed297c92115623a5681,social science,7,2.0,FIRST WAR OF INDIAN INDEPENDENCE (1857 - 58 C.E),english,Average,mcq,1.0,The  first Indian sepoy to rebel against the British in 1857.,"[""Ishwar Pandey"", ""Nana Saheb"", ""Mangal Pandey"", ""Tatya Tope""]",To be provided,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca719,7,False,48.33333333333333,social_science_7.pdf,INDIA
6982fed297c92115623a5683,social science,7,2.0,FIRST WAR OF INDIAN INDEPENDENCE (1857 - 58 C.E),english,Average,mcq,1.0,A) Ishwar Pandey,"[""Nana Saheb"", ""Mangal Pandey"", ""Tatya Tope \n6. The  1857 revolt begin."", ""Meerut""]",To be provided,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca719,7,True,56.25,social_science_7.pdf,INDIA
6982fed297c92115623a5688,social science,7,2.0,FIRST WAR OF INDIAN INDEPENDENCE (1857 - 58 C.E),english,Average,fill_in_the_blank,1.0,The law stating that adopted children had no rights was introduced by _______,[],To be provided,LBA,2025-26,Fill in the Blanks,67449b18065a2c5cd2dca719,7,False,45.45454545454546,social_science_7.pdf,INDIA
6982fed297c92115623a568b,social science,7,2.0,FIRST WAR OF INDIAN INDEPENDENCE (1857 - 58 C.E),english,Average,match_the_following,5.0,What was the immediate cause of the 1857 revolt?,[],To be provided,LBA,2025-26,Match the Following,67449b18065a2c5cd2dca719,7,True,58.33333333333333,social_science_7.pdf,INDIA
6982fed297c92115623a568c,social science,7,2.0,FIRST WAR OF INDIAN INDEPENDENCE (1857 - 58 C.E),english,Average,match_the_following,5.0,"List the states affected by the British policy of ""no rights to adopted children.",[],To be provided,LBA,2025-26,Match the Following,67449b18065a2c5cd2dca719,7,False,48.14814814814815,social_science_7.pdf,INDIA
6982fed297c92115623a568d,social science,7,2.0,FIRST WAR OF INDIAN INDEPENDENCE (1857 - 58 C.E),english,Average,match_the_following,5.0,"Mention the main causes of the First War of Independence.     
 in 4–5 sentences:",[],To be provided,LBA,2025-26,Match the Following,67449b18065a2c5cd2dca719,7,True,63.51351351351351,social_science_7.pdf,INDIA
6982fed297c92115623a568e,social science,7,2.0,FIRST WAR OF INDIAN INDEPENDENCE (1857 - 58 C.E),english,Average,match_the_following,5.0,Describe the social and religious impact during the First War of Independence.,[],To be provided,LBA,2025-26,Match the Following,67449b18065a2c5cd2dca719,7,True,58.97435897435898,social_science_7.pdf,INDIA
6982fed297c92115623a5690,social science,7,2.0,FIRST WAR OF INDIAN INDEPENDENCE (1857 - 58 C.E),english,Average,match_the_following,5.0,What were the consequences of the First War of Independence?,[],To be provided,LBA,2025-26,Match the Following,67449b18065a2c5cd2dca719,7,True,66.66666666666667,social_science_7.pdf,INDIA
6982fed297c92115623a567f,social science,7,2.0,FIRST WAR OF INDIAN INDEPENDENCE (1857 - 58 C.E),english,Average,mcq,1.0,Two major women who fought against the British in the 1857 First War of Independence.,"[""Rani Durgavati and Padmavati  B)Chennamma and BelavadiMallamma \n C)Lakshmibai and Hazrat Mahal"", ""None of these""]",To be provided,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca719,7,True,57.647058823529406,social_science_7.pdf,INDIA
6982fed297c92115623a5680,social science,7,2.0,FIRST WAR OF INDIAN INDEPENDENCE (1857 - 58 C.E),english,Average,mcq,1.0,The  Indian sepoys declare as the Emperor of India during the 1857 revolt,"[""Nana Saheb"", ""Mangal Pandey"", ""Tatya Tope"", ""Bahadur Shah II""]",To be provided,LBA,2025-26,Multiple Choice Questions,67449b18065a2c5cd2dca719,7,True,55.55555555555556,social_science_7.pdf,INDIA
