question_id,subject,class,chapter_number,chapter_title,medium,difficulty,answer_type,marks,text,options,key_answer,exam_type,year,group_heading,chapter_id,standard,found_in_pdf,match_score,pdf_source,pdf_section
698c22e4ec065fd7420d7a58,english,7,9.0,PROSE: THE WONDER BOWL,English,Easy,mcq,1.0,The old couple lived in a,"[""bungalow"", ""hut"", ""prison"", ""forest""]",,LBA,2025-26,Multiple Choice Questions,67449bf5065a2c5cd2dcb48f,7,False,36.0,english_7.pdf,Bowl
698c22e4ec065fd7420d7a59,english,7,9.0,PROSE: THE WONDER BOWL,English,Easy,mcq,1.0,"One evening, the couple sat after finishing","[""breakfast"", ""lunch"", ""dinner"", ""supper""]",,LBA,2025-26,Multiple Choice Questions,67449bf5065a2c5cd2dcb48f,7,False,37.2093023255814,english_7.pdf,Bowl
698c22e4ec065fd7420d7a5a,english,7,9.0,PROSE: THE WONDER BOWL,English,Easy,mcq,1.0,Baucis placed -------- on the table.,"[""coffee"", ""water"", ""milk"", ""tea""]",,LBA,2025-26,Multiple Choice Questions,67449bf5065a2c5cd2dcb48f,7,False,41.666666666666664,english_7.pdf,Bowl
698c22e4ec065fd7420d7a5b,english,7,9.0,PROSE: THE WONDER BOWL,English,Easy,mcq,1.0,The couple together decided that the strangers were,"[""angels"", ""beggars"", ""visitors"", ""neighbours""]",,LBA,2025-26,Multiple Choice Questions,67449bf5065a2c5cd2dcb48f,7,False,36.36363636363637,english_7.pdf,Bowl
698c22e4ec065fd7420d7a5c,english,7,9.0,PROSE: THE WONDER BOWL,English,Easy,mcq,1.0,Philemon took the strangers to,"[""a hotel"", ""his cottage"", ""the temple"", ""the hospital""]",,LBA,2025-26,Multiple Choice Questions,67449bf5065a2c5cd2dcb48f,7,False,42.85714285714286,english_7.pdf,Bowl
698c22e4ec065fd7420d7a5d,english,7,9.0,PROSE: THE WONDER BOWL,English,Average,fill_in_the_blank,1.0,What did the couple hear one evening?,[],,LBA,2025-26,One Sentence Answers,67449bf5065a2c5cd2dcb48f,7,False,35.13513513513513,english_7.pdf,Bowl
698c22e4ec065fd7420d7a5e,english,7,9.0,PROSE: THE WONDER BOWL,English,Average,fill_in_the_blank,1.0,What did Philemon say to his wife?,[],,LBA,2025-26,One Sentence Answers,67449bf5065a2c5cd2dcb48f,7,False,35.29411764705882,english_7.pdf,Bowl
698c22e4ec065fd7420d7a5f,english,7,9.0,PROSE: THE WONDER BOWL,English,Average,fill_in_the_blank,1.0,What did Baucis whisper to her husband?,[],,LBA,2025-26,One Sentence Answers,67449bf5065a2c5cd2dcb48f,7,False,35.89743589743589,english_7.pdf,Bowl
698c22e4ec065fd7420d7a60,english,7,9.0,PROSE: THE WONDER BOWL,English,Average,fill_in_the_blank,1.0,Why could the couple hardly sleep?,[],,LBA,2025-26,One Sentence Answers,67449bf5065a2c5cd2dcb48f,7,False,36.36363636363637,english_7.pdf,Bowl
698c22e4ec065fd7420d7a61,english,7,9.0,PROSE: THE WONDER BOWL,English,Average,fill_in_the_blank,1.0,What was the couple’s wish?,[],,LBA,2025-26,One Sentence Answers,67449bf5065a2c5cd2dcb48f,7,False,38.297872340425535,english_7.pdf,Bowl
698c22e4ec065fd7420d7a62,english,7,9.0,PROSE: THE WONDER BOWL,English,Average,fill_in_the_blank,2.0,What made the couple think that the strangers were not ordinary people?,[],,LBA,2025-26,Answer in Two or More Sentences,67449bf5065a2c5cd2dcb48f,7,False,36.8,english_7.pdf,Bowl
698c22e4ec065fd7420d7a63,english,7,9.0,PROSE: THE WONDER BOWL,English,Difficult,fill_in_the_blank,2.0,How did the God’s messengers bless the couple?,[],,LBA,2025-26,Answer in Two or More Sentences,67449bf5065a2c5cd2dcb48f,7,False,35.55555555555555,english_7.pdf,Bowl
698c22e4ec065fd7420d7a64,english,7,9.0,PROSE: THE WONDER BOWL,English,Difficult,fill_in_the_blank,4.0,Describe the hospitality of the old couple in your own words.,[],,LBA,2025-26,Answer in Four or More Sentences,67449bf5065a2c5cd2dcb48f,7,False,39.34426229508197,english_7.pdf,Bowl
698c22e4ec065fd7420d7a65,english,7,9.0,PROSE: THE WONDER BOWL,English,Average,fill_in_the_blank,1.0,"“Don’t worry, good lady”   
A) Who said this?
B) Who is the ‘lady’?
C) When did the speaker say so?",[],,LBA,2025-26,Read and Answer,67449bf5065a2c5cd2dcb48f,7,False,33.12883435582822,english_7.pdf,Bowl
698c22e4ec065fd7420d7a66,english,7,9.0,PROSE: THE WONDER BOWL,English,Average,fill_in_the_blank,1.0,"“We are much pleased with your kindness”.  
A) Who does the word ‘we’ refer to?
B) Who was it said to?
C) When did the speaker say so?",[],,LBA,2025-26,Read and Answer,67449bf5065a2c5cd2dcb48f,7,False,37.5,english_7.pdf,Bowl
698c22e4ec065fd7420d7a67,english,7,9.0,PROSE: THE WONDER BOWL,English,Easy,fill_in_the_blank,1.0,Tea is hot but ice cream is ________,[],,LBA,2025-26,Fill in the Blanks,67449bf5065a2c5cd2dcb48f,7,False,39.43661971830986,english_7.pdf,Bowl
698c22e4ec065fd7420d7a68,english,7,9.0,PROSE: THE WONDER BOWL,English,Easy,fill_in_the_blank,1.0,The elephant is a big animal and the mouse is a________ animal.,[],,LBA,2025-26,Fill in the Blanks,67449bf5065a2c5cd2dcb48f,7,False,36.50793650793651,english_7.pdf,Bowl
