question_id,subject,class,chapter_number,chapter_title,medium,difficulty,answer_type,marks,text,options,key_answer,exam_type,year,group_heading,chapter_id,standard,found_in_pdf,match_score,pdf_source,pdf_section
698c22e4ec065fd7420d7a9b,english,7,13.0,PROSE: NEST WITH GRAND PARENTS,English,Easy,mcq,1.0,” You can accommodate your things elsewhere” -the word accommodate means,"[""throw"", ""arrange"", ""feel sorry"", ""clean""]",,LBA,2025-26,Multiple Choice Questions,67449bf5065a2c5cd2dcb682,7,False,40.0,english_7.pdf,I
698c22e4ec065fd7420d7a9c,english,7,13.0,PROSE: NEST WITH GRAND PARENTS,English,Easy,mcq,1.0,Anjali and her family lived in,"[""Delhi"", ""Bengaluru"", ""Bombay"", ""Pune""]",,LBA,2025-26,Multiple Choice Questions,67449bf5065a2c5cd2dcb682,7,False,40.0,english_7.pdf,I
698c22e4ec065fd7420d7a9d,english,7,13.0,PROSE: NEST WITH GRAND PARENTS,English,Easy,mcq,1.0,Anjali was too afraid of her father’s wrath. The word ‘wrath’ means,"[""size"", ""colour"", ""great anger"", ""politeness""]",,LBA,2025-26,Multiple Choice Questions,67449bf5065a2c5cd2dcb682,7,False,40.0,english_7.pdf,I
698c22e4ec065fd7420d7a9e,english,7,13.0,PROSE: NEST WITH GRAND PARENTS,English,Easy,mcq,1.0,The word relating to God or heaven is,"[""divine"", ""threat"", ""lust"", ""proud""]",,LBA,2025-26,Multiple Choice Questions,67449bf5065a2c5cd2dcb682,7,True,50.0,english_7.pdf,I
698c22e4ec065fd7420d7a9f,english,7,13.0,PROSE: NEST WITH GRAND PARENTS,English,Easy,mcq,1.0,Anjali got into the habit of reading the newspaper. The person who was responsible for her habit was,"[""Dada"", ""Dadi"", ""Father"", ""mother""]",,LBA,2025-26,Multiple Choice Questions,67449bf5065a2c5cd2dcb682,7,True,50.0,english_7.pdf,I
698c22e4ec065fd7420d7aa0,english,7,13.0,PROSE: NEST WITH GRAND PARENTS,English,Average,fill_in_the_blank,2.0,State any one character of Anjali before her grandparents started living with them.,[],,LBA,2025-26,Answer in Two or More Sentences,67449bf5065a2c5cd2dcb682,7,True,50.0,english_7.pdf,I
698c22e4ec065fd7420d7aa1,english,7,13.0,PROSE: NEST WITH GRAND PARENTS,English,Average,fill_in_the_blank,2.0,Why was Anjali unhappy?,[],,LBA,2025-26,Answer in Two or More Sentences,67449bf5065a2c5cd2dcb682,7,False,40.0,english_7.pdf,I
698c22e4ec065fd7420d7aa2,english,7,13.0,PROSE: NEST WITH GRAND PARENTS,English,Difficult,fill_in_the_blank,2.0,What was the change in Anjali’s family after her grandparents went to Rita’s place?,[],,LBA,2025-26,Answer in Two or More Sentences,67449bf5065a2c5cd2dcb682,7,True,50.0,english_7.pdf,I
698c22e4ec065fd7420d7aa3,english,7,13.0,PROSE: NEST WITH GRAND PARENTS,English,Difficult,fill_in_the_blank,2.0,"” oh! can I have my room back then? Dada -Dadi, when are you going?” Did Anjali’s exclamation remain
same later? Explain.",[],,LBA,2025-26,Answer in Two or More Sentences,67449bf5065a2c5cd2dcb682,7,False,40.0,english_7.pdf,I
698c22e4ec065fd7420d7aa4,english,7,13.0,PROSE: NEST WITH GRAND PARENTS,English,Average,fill_in_the_blank,2.0,How did Dadi involve in Anjali’s family?,[],,LBA,2025-26,Answer in Two or More Sentences,67449bf5065a2c5cd2dcb682,7,False,30.000000000000004,english_7.pdf,I
698c22e4ec065fd7420d7aa5,english,7,13.0,PROSE: NEST WITH GRAND PARENTS,English,Difficult,fill_in_the_blank,2.0,How is your relationship with your grandparents in your family?,[],,LBA,2025-26,Answer in Two or More Sentences,67449bf5065a2c5cd2dcb682,7,True,50.0,english_7.pdf,I
698c22e4ec065fd7420d7aa6,english,7,13.0,PROSE: NEST WITH GRAND PARENTS,English,Difficult,fill_in_the_blank,2.0,Anjali’s grandparents came to live with her family. Give reasons.,[],,LBA,2025-26,Answer in Two or More Sentences,67449bf5065a2c5cd2dcb682,7,True,50.0,english_7.pdf,I
698c22e4ec065fd7420d7aa7,english,7,13.0,PROSE: NEST WITH GRAND PARENTS,English,Average,fill_in_the_blank,2.0,How were grandparents helpful to Anjali in her daily work?,[],,LBA,2025-26,Answer in Two or More Sentences,67449bf5065a2c5cd2dcb682,7,True,50.0,english_7.pdf,I
698c22e4ec065fd7420d7aa8,english,7,13.0,PROSE: NEST WITH GRAND PARENTS,English,Average,fill_in_the_blank,1.0,"“But, Ma, where will my things go?” 
A) Who is the speaker?
B) What did Ma reply?
C) When was this said?",[],,LBA,2025-26,Read and Answer,67449bf5065a2c5cd2dcb682,7,False,40.0,english_7.pdf,I
698c22e4ec065fd7420d7aa9,english,7,13.0,PROSE: NEST WITH GRAND PARENTS,English,Average,fill_in_the_blank,1.0,"They would not go with them to eat out at restaurants.  
A) Who is ‘they’?
B) who does ‘them’ refer to?
C) Why wouldn’t they eat outside?",[],,LBA,2025-26,Read and Answer,67449bf5065a2c5cd2dcb682,7,True,50.0,english_7.pdf,I
698c22e4ec065fd7420d7aaa,english,7,13.0,PROSE: NEST WITH GRAND PARENTS,English,Easy,fill_in_the_blank,1.0,Parent’s parents are called ________ .,[],,LBA,2025-26,Fill in the Blanks,67449bf5065a2c5cd2dcb682,7,True,50.0,english_7.pdf,I
698c22e4ec065fd7420d7aab,english,7,13.0,PROSE: NEST WITH GRAND PARENTS,English,Easy,fill_in_the_blank,1.0,My sister and brother are called ________ .,[],,LBA,2025-26,Fill in the Blanks,67449bf5065a2c5cd2dcb682,7,True,50.0,english_7.pdf,I
698c22e4ec065fd7420d7aac,english,7,13.0,PROSE: NEST WITH GRAND PARENTS,English,Easy,fill_in_the_blank,1.0,Mother’s sister is called ________,[],,LBA,2025-26,Fill in the Blanks,67449bf5065a2c5cd2dcb682,7,False,30.000000000000004,english_7.pdf,I
698c22e4ec065fd7420d7aad,english,7,13.0,PROSE: NEST WITH GRAND PARENTS,English,Easy,fill_in_the_blank,1.0,Brother’s daughter is called ________,[],,LBA,2025-26,Fill in the Blanks,67449bf5065a2c5cd2dcb682,7,False,40.0,english_7.pdf,I
698c22e4ec065fd7420d7aae,english,7,13.0,PROSE: NEST WITH GRAND PARENTS,English,Easy,fill_in_the_blank,1.0,Dad’s brother is called ________,[],,LBA,2025-26,Fill in the Blanks,67449bf5065a2c5cd2dcb682,7,False,30.000000000000004,english_7.pdf,I
